"Shopping Cart","Καλάθι"
"Invalid method: %1","Μη έγκυρη μέθοδος: %1"
"City","Πόλη"
"Country","Χώρα"
"State/Province","Νομός/επαρχία"
"Zip/Postal Code","Ταχυδρομικός κώδικας"
"My Cart (1 item)","Το καλάθι μου (1 είδος)"
"My Cart (%1 items)","Το καλάθι μου (%1 αντικείμενα)"
"My Cart","Το καλάθι μου"
"%1: Line %2","%1: Line %2"
"For delivery questions.","Για ερωτήσεις για τις παραδόσεις."
"Customer is already registered","Ο πελάτης είναι ήδη εγγεγραμένος"
"Your session has expired","Η περίοδος λειτουργίας έχει λήξει"
"A letter with further instructions will be sent to your email.","Μια επιστολή με τις περαιτέρω οδηγίες θα σταλεί στο email σας."
"You added %1 to your shopping cart.","Προσθέσατε %1 στο καλάθι αγορών σας."
"We can't add this item to your shopping cart right now.","Δεν μπορούμε να προσθέσουμε αυτό το προϊόν στο καλάθι των αγορών σας αυτή τη στιγμή."
"Out of stock","Εξαντλημένο"
"Please select at least one product to add to cart","Please select at least one product to add to cart"
"The quote item isn't found. Verify the item and try again.","The quote item isn't found. Verify the item and try again."
"We cannot configure the product.","Δεν μπορούμε να διαμορφώσουμε το προϊόν."
"You used coupon code ""%1"".","Χρησιμοποιήσατε το κωδικό κουπονιού ""%1""."
"The coupon code ""%1"" is not valid.","Ο κωδικός κουπονιού ""%1"" δεν είναι έγκυρος."
"You canceled the coupon code.","Ακυρώσατε τον κωδικό κουπονιού."
"We cannot apply the coupon code.","Δεν μπορούμε να εφαρμόσουμε το κωδικό κουπονιού."
"We can't remove the item.","Δεν είναι δυνατή η κατάργηση του στοιχείου."
"%1 was updated in your shopping cart.","Το %1 ενημερώθηκε στο καλάθι αγορών σας."
"We can't update the item right now.","Δεν είναι δυνατή η ενημέρωση του στοιχείου αυτή τη στιγμή."
"Page Not Found","Page Not Found"
"Something went wrong while saving the page. Please refresh the page and try again.","Κάτι πήγε στραβά κατά την αποθήκευση της σελίδας. Παρακαλώ ανανεώστε τη σελίδα και προσπαθήστε ξανά."
"We can't update the shopping cart.","Δεν είναι δυνατή η ενημέρωση του καλαθιού."
"One-page checkout is turned off.","Η ολοκλήρωση αγοράς μίας σελίδας είναι απενεργοποιημένη."
"Guest checkout is disabled.","Η αγορά ως επισκέπτης είναι απενεργοποιημένη."
"Checkout","Αγορά"
"Page not found.","Η σελίδα δεν βρέθηκε."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
