"Country","Țara"
"Allowed Credit Card Types","Tipuri Card de Credit permise"
"Add Rule","Adaugă Regulă"
"Braintree Settlement Report","Raportul de decontare Braintree"
"Sorry, but something went wrong","Ne pare rău, dar ceva nu a mers bine"
"We can't initialize checkout.","Nu putem inițializa comanda."
"No authorization transaction to proceed capture.","Nicio tranzacție de autorizare pentru a trece la capturare."
"Transaction is successful.","Tranzacția a reușit."
"Braintree error response.","Răspunsul de eroare Braintree."
"Payment method nonce can't be retrieved.","Metoda de plată nu poate fi recuperată."
"Wrong transaction status","Stare greșită a tranzacției"
"Authorize","Autorizează"
"Authorize and Capture","Autorizează și Capturează"
"--Please Select--","--Vă rugăm să selectați--"
"Credit Card","Card de credit"
"ending","sfârșit"
"expires","expiră"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Vă rugăm să acceptați toți termenii și condițiile înainte de a plasa comanda."
"Transaction was failed.","Tranzacția a eșuat."
"Credit Card Type","Tip card de credit"
"Credit Card Number","Număr card de credit"
"Please, enter valid Credit Card Number","Vă rugăm, introduceți un număr valid de card de credit"
"Expiration Date","Dată expirare"
"Please, enter valid Expiration Date","Vă rugăm, introduceți o dată de expirare validă"
"Card Verification Number","Număr verificare card"
"Please, enter valid Card Verification Number","Vă rugăm, introduceți un număr de verificare valid"
"Are you sure you want to delete this PayPal account","Sunteți sigur că doriți să ștergeți acest cont PayPal"
"PayPal Account","Cont PayPal"
"PayPal Logo","Logo PayPal"
"Actions","Acțiuni"
"Delete","Șterge"
"Credit Card Information","Informații card de credit"
"What is this?","Ce este aceasta?"
"Save for later use.","Salvați pentru utilizare ulterioară."
"Place Order","Finalizați comanda"
"This payment is not available","Această plată nu este disponibilă"
"MM","LL"
"YY","AA"
"Please try again with another form of payment.","Vă rugăm să încercați din nou cu o altă formă de plată."
"Sorry, but something went wrong.","Ne pare rău, dar ceva nu a mers bine."
"Payment ","Plată "
"Credit card type is not accepted by this merchant account.","Tipul cardului de credit nu este acceptat de acest cont de comerciant."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Tranzacția poate fi anulată numai dacă starea este autorizată, submitted_for_settlement, sau - pentru PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Tranzacțiile de credit nu pot fi rambursate."
"Cannot refund a transaction unless it is settled.","Nu se poate rambursa o tranzacție decât dacă este decontată."
"Cannot submit for settlement unless status is authorized.","Nu se poate depune la decontare decât dacă starea este autorizată."
"Customer does not have any credit cards.","Clientul nu are carduri de credit."
"Transaction has already been completely refunded.","Tranzacția a fost deja rambursată complet."
"Payment instrument type is not accepted by this merchant account.","Tipul de instrument de plată nu este acceptat de acest cont de comerciant."
"Processor authorization code cannot be set unless for a voice authorization.","Codul de autorizare a procesorului nu poate fi setat decât pentru o autorizație vocală."
"Refund amount is too large.","Suma rambursării este prea mare."
"Settlement amount is too large.","Suma decontării este prea mare."
"Cannot provide a billing address unless also providing a credit card.","Nu se poate furniza o adresă de facturare decât dacă se furnizează și un card de credit."
"Cannot refund a transaction with a suspended merchant account.","Nu se poate rambursa o tranzacție cu un cont de comerciant suspendat."
"Merchant account does not support refunds.","Contul comerciantului nu acceptă rambursări."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Nu se poate rambursa tranzacția în starea de decontare a acestui cont de comerciant. Încercați din nou după ce tranzacția s-a decontat."
"PayPal is not enabled for your merchant account.","PayPal nu este activat pentru contul dvs. de comerciant."
"Partial settlements are not supported by this processor.","Plățile parțiale nu sunt acceptate de acest procesor."
"Cannot submit for partial settlement.","Nu se poate depune pentru decontare parțială."
