"Country","Valsts"
"Allowed Credit Card Types","Atļautie kredītkaršu veidi"
"Add Rule","Pievienot noteikumu"
"Braintree Settlement Report","Braintree norēķinu atskaite"
"Sorry, but something went wrong","Atvainojiet, kļūda"
"We can't initialize checkout.","Nevar inicializēt pirkšanu."
"No authorization transaction to proceed capture.","Nav autorizācijas transakcijas lai turpinātu saņemšanu."
"Transaction is successful.","Transakcija ir veiksmīga."
"Braintree error response.","Braintree kļūdas atbilde."
"Payment method nonce can't be retrieved.","Nevar saņemt nekādu maksājuma veidu."
"Wrong transaction status","Nepareizs transakcijas statuss"
"Authorize","Autorizēt"
"Authorize and Capture","Autorizēt un saņemt"
"--Please Select--","--Lūdzu izvēlieties--"
"Credit Card","Kredītkarte"
"ending","beigu"
"expires","beigu termiņš"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Lai veiktu pirkumu, jums jāpiekrīt visiem noteikumiem."
"Transaction was failed.","Transakcija nav izdevusies."
"Credit Card Type","Kredītkartes veids"
"Credit Card Number","Kredītkartes numurs"
"Please, enter valid Credit Card Number","Ievadiet derīgu kredītkartes numuru"
"Expiration Date","Derīguma termiņš"
"Please, enter valid Expiration Date","Ievadiet derīgu kartes derīguma termiņu"
"Card Verification Number","Kredītkartes pārbaudes kods"
"Please, enter valid Card Verification Number","Ievadiet derīgu kartesu pārbaudes numuru"
"Are you sure you want to delete this PayPal account","Vai tiešām vēlaties dzēst šo Paypal kontu"
"PayPal Account","Paypal konts"
"PayPal Logo","PayPal logo"
"Actions","Darbības"
"Delete","Dzēst"
"Credit Card Information","Kredītkartes informācija"
"What is this?","Kas tas ir?"
"Save for later use.","Saglabāt turpmākai lietošanai."
"Place Order","Veikt pasūtījumu"
"This payment is not available","Šis maksājums nav pieejams"
"MM","MM"
"YY","YY"
"Please try again with another form of payment.","Lūdzu, mēģiniet vēlreiz, izmantojot citu maksājuma veidu."
"Sorry, but something went wrong.","Atvainojiet, kļūda."
"Payment ","Maksājums "
"Credit card type is not accepted by this merchant account.","Pārdevēja kontā šī veida kredītkartes netiek pieņemtas."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transakcijas var anulēt tikai ja tās ir ar stutusu authorized, submitted_for_settlement, vai - priekš PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Kredīta transakcijas nevar tikt atgrieztas."
"Cannot refund a transaction unless it is settled.","Nevar atgriezt transakciju pirms tā ir saņemta."
"Cannot submit for settlement unless status is authorized.","Nevar nosūtīt saņemšanai ja statuss ir neatorizēts."
"Customer does not have any credit cards.","Klientam nav kredītkartes."
"Transaction has already been completely refunded.","Transakcija jau ir pilnībā atgriezta."
