"Search Term","Término de búsqueda"
"Results","Resultados"
"Uses","Usos"
"Search Terms","Términos de búsqueda"
"Search Synonyms","Buscar sinónimos"
"New Synonym Group","Nuevo grupo de sinónimos"
"Back","Atrás"
"Delete Synonym Group","Eliminar grupo de sinónimos"
"Are you sure you want to delete this synonym group?","¿Está seguro que desea eliminar este grupo de sinónimos?"
"Reset","Restablecer"
"Save and Continue Edit","Guardar y continuar editando"
"Save Synonym Group","Guardar grupo de sinónimos"
"Search","Buscar"
"Add New Search Term","Añadir nuevo término de búsqueda"
"Save Search","Guardar búsqueda"
"Delete Search","Borrar búsqueda"
"Edit Search '%1'","Editar búsqueda '%1'"
"New Search","Nueva búsqueda"
"Search Information","Información de búsqueda"
"General Information","Información general"
"No","No 	"
"Yes","Sí"
"Search Query","Término de búsqueda"
"Store","Tienda"
"Number of results","Número de resultados"
"Number of results (For the last time placed)","Número de resultados (colocado por última vez)"
"For the last time placed.","Para la última vez que se ha colocado."
"Number of Uses","Número de usos"
"Redirect URL","URL de redirección"
"ex. http://domain.com","por ejemplo, http://dominio.es"
"Display in Suggested Terms","Mostrar en términos sugeridos"
"The synonym group has been deleted.","Se ha eliminado el grupo de sinónimos."
"An error was encountered while performing delete operation.","Se ha producido un error mientras realiza la operación de eliminación."
"We can't find a synonym group to delete.","No podemos encontrar un grupo de sinónimos para borrar."
"This synonyms group no longer exists.","El grupo de sinónimos, ya no existe."
"Edit Synonym Group","Editar grupo de sinónimos"
"Synonym Group","Grupo de sinónimos"
"Failed to delete %1 synonym group(s).","Error al eliminar %1 grupo de sinónimos."
"A total of %1 synonym group(s) have been deleted.","Se ha eliminado un total de %1 grupo (s) de sinónimo."
"Marketing","Mercadotecnia"
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","Los sinónimos de búsqueda no son compatibles con el motor de búsqueda %1. Cualquier sinónimos que ingrese no será utilizado."
"This synonym group no longer exists.","El grupo de sinonimos, ya no existe."
"You saved the synonym group.","Guardaste el grupo de sinónimos."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Los términos que ingresó, (%1), pertenecen a 1 grupo de sinónimos existente, %2. Selecciona la casilla de verificación ""Fusionar sinónimos existentes"" para que los términos se puedan fusionar."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Los términos que ingresó, (%1), pertenecen a %2 grupos de sinónimos existentes, %3 y %4. Selecciona la casilla de verificación ""Fusionar sinónimos existentes"" para que los términos se puedan fusionar."
"You deleted the search.","Ha eliminado la búsqueda."
"We can't find a search term to delete.","No podemos encontrar un término de búsqueda a eliminar."
"This search no longer exists.","Esta búsqueda ya no existe."
"Edit Search","Editar búsqueda"
"Please select searches.","Por favor seleccione búsquedas."
"Total of %1 record(s) were deleted.","Total de %1 registros fueron borrados."
"Reports","Informes"
"Search Terms Report","Informe de términos de búsqueda"
"You saved the search term.","Guardaste el término de búsqueda."
"Something went wrong while saving the search query.","Algo salió mal al guardar la consulta de búsqueda."
"You already have an identical search term query.","Ya tiene una consulta de término de búsqueda idéntica."
"Your search query can't be longer than %1, so we shortened your query.","La consulta de búsqueda no puede ser más larga que %1, por lo que se acortó su solicitud."
"Synonym group with id %1 cannot be deleted. %2","El grupo de sinónimos con id %1 no se puede eliminar. %2"
"Merge conflict with existing synonym group(s): %1","Fusionar conflicto con grupos de sinónimos existentes: %1"
"All Websites","Todos sitios web"
"    All Store Views","    Todas las vistas de la tienda"
"All Store Views","Todas las vistas de la tienda"
