"Add Tax","Pievienot nodokli"
"Delete Tax","Dzēst nodokli"
"All Websites","Visas lapas"
"FPT","Fiksētā nodokļu likme"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
"Including FPT only","Iekļaut tikai VN"
"Including FPT and FPT description","Iekļaut VN un VN aprakstu"
"Excluding FPT. Including FPT description and final price","Izņemot fiksēto nodokļu likmi. Iekļaujot fiksētās nodokļu likmes aprakstu un vērtību"
"Excluding FPT","Neiekļaut VN"
"label_value","label_value"
"frontend_label","frontend_label"
"Fixed Product Tax","Valsts Nodeva"
"Country/State","Valsts/Štats"
"Tax","Nodokļi"
"Website","Mājas lapa"
"Action","Darbība"
"Excl. Tax","Bez PVN"
"Total","Kopā"
"Incl. Tax","Ar PVN"
"Total Incl. Tax","Kopā ar nodokli"
"Final Price","Gala cena"
"Incl. tax","Incl. tax"
"Excl. tax","Excl. tax"
"Total incl. tax","Total incl. tax"
"Fixed Product Taxes","Valsts Nodevas"
"Enable FPT","Ieslēgt VN"
"Display Prices In Product Lists","Rādīt cenas produktu sarakstos"
"Display Prices On Product View Page","Rādīt cenas produkta skata lapā"
"Display Prices In Sales Modules","Rādīt cenas pārdošanas moduļos"
"Display Prices In Emails","Rādīt cenas e-pastos"
"Apply Tax To FPT","Pielietot nodokli fiksētajai nodokļu likmei"
"Include FPT In Subtotal","Iekļaut VN starpsummā"
