"Add Tax","Vergi ekle"
"Delete Tax","Vergiyi sil"
"All Websites","Tüm Web siteleri"
"FPT","FPT"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
"Including FPT only","Sadece FPT Dahil"
"Including FPT and FPT description","FPT ve FPT açıklaması dahil"
"Excluding FPT. Including FPT description and final price","FPT hariç. FPT dahil açıklama ve son ücret"
"Excluding FPT","FPT Hariç Tutuluyor"
"label_value","label_value"
"frontend_label","başlangıç_etiketi"
"Fixed Product Tax","Sabit Ürün Vergisi"
"Country/State","Ülke/Eyalet"
"Tax","Vergi"
"Website","Web sitesi"
"Action","Eylem"
"Excl. Tax","Vergi Hariç"
"Total","Toplam"
"Incl. Tax","Vergi Dahil"
"Total Incl. Tax","Vergi dahil toplam"
"Final Price","Son Fiyat"
"Incl. tax","Incl. tax"
"Excl. tax","Excl. tax"
"Total incl. tax","Total incl. tax"
"Fixed Product Taxes","Sabit Ürün Vergileri"
"Enable FPT","FPT Aktif et"
"Display Prices In Product Lists","Ürün Listelerinde Fiyatları Göster"
"Display Prices On Product View Page","Ürün Gösterim Sayfasında Fiyat Göster"
"Display Prices In Sales Modules","Satış Modüllerinde Fiyat Göster"
"Display Prices In Emails","E-postalerda Fiyatları Göster"
"Apply Tax To FPT","FPT'ye vergi uygula"
"Include FPT In Subtotal","FPT Ara Toplama Eklensin"
