"Indexer Management","ניהול אינדקסים"
"Update by Schedule","עדכון על פי לוח הזמנים"
"Update on Save","עדכון בעת שמירה"
"Reindex required","נדרש אינדוקס מחדש"
"Ready","מוכן"
"Processing","מעבד"
"Never","לעולם לא"
"%1 index is locked by another reindex process. Skipping.","%1 אינדקס נעול על-ידי תהליך אחר אשר מאונדקס. מדלג."
"Index Management","ניהול אינדקס"
"Please select indexers.","אנא בחר מאנדקסים."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 מאנדקס/ים נמצאים במצב ""עדכון מתוזמן""."
"We couldn't change indexer(s)' mode because of an error.","לא ניתן לשנות את מצב המאנדקס/ים עקב שגיאה."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 מאנדקס/ים נמצאים במצב ""עדכון בעת שמירה""."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running."
"State for the same indexer","State for the same indexer"
"State for the same view","State for the same view"
"Field '%1' not found","שדה '%1' לא נמצא"
"Some Exception Message","Some Exception Message"
"Test Phrase","בחן ביטוי"
"Change indexer mode","שינוי מצב בונה האינדקסים"
"Indexer","מאנדקס"
"Description","תיאור"
"Mode","מצב"
"Status","סטטוס"
"Updated","עודכן"
