"Indexer Management","Indexelő kezelés"
"%status (%count in backlog)","%status (%count in backlog)"
"Update by Schedule","Ütemezett frissítés"
"Update on Save","Frissítés mentéskor"
"Reindex required","Újraindexelése szükséges"
"Ready","Kész"
"Processing","Feldolgozás alatt"
"Never","Soha"
"has been rebuilt successfully in %time","has been rebuilt successfully in %time"
"%1 index is locked by another reindex process. Skipping.","A(z) %1 indexet egy másik újraindexelő folyamat zárolja. Átugrás."
"Index Management","Index kezelés"
"Please select indexers.","Kérjük, válassza ki az indexelőket."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 indexelő ""Ütemezett frissítés"" üzemmódban van."
"We couldn't change indexer(s)' mode because of an error.","Nem sikerült módosítani az indexelő(k) módját, hiba miatt."
"%1 indexer(s) were invalidated.","%1 indexer(s) were invalidated."
"We couldn't invalidate indexer(s) because of an error.","We couldn't invalidate indexer(s) because of an error."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 indexelő ""Frissítés mentéskor"" üzemmódban van."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","Egy vagy több <a href=""%1"">indexelő érvénytelen</a>. Ellenőrizze, hogy a <a href=""%2"" target=""_blank"">Magento cron ütemező</a> fut-e."
"Child process failed with message: %1","Child process failed with message: %1"
"State for the same indexer","State for the same indexer"
"State for the same view","State for the same view"
"Field '%1' not found","'%1' mező nem található"
"Some Exception Message","Néhány kivétel üzenet"
"Test Phrase","Teszt mondat"
"Change indexer mode","Indexelő üzemmód-váltás"
"Invalidate index","Invalidate index"
"Are you sure you want to invalidate the selected index(es)?","Are you sure you want to invalidate the selected index(es)?"
"Indexer","Indexelő"
"Description","Leírás"
"Mode","Mód"
"Status","Állapot"
"Schedule Status","Schedule Status"
"Updated","Frissítve"
