"Indexer Management","Manajemen Pengindeksan"
"Update by Schedule","Update by Schedule"
"Update on Save","Update on Save"
"Reindex required","Reindex required"
"Ready","Siap"
"Processing","Memproses"
"Never","Jangan pernah"
"%1 index is locked by another reindex process. Skipping.","%1 index is locked by another reindex process. Skipping."
"Index Management","Manajemen Indeks"
"Please select indexers.","Silahkan pilih pengindeks."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 indexer(s) are in ""Update by Schedule"" mode."
"We couldn't change indexer(s)' mode because of an error.","We couldn't change indexer(s)' mode because of an error."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 indexer(s) are in ""Update on Save"" mode."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","Satu atau beberapa <a href=""%1"">pengindeks tidak valid</a>. Pastikan <a href=""%2"" target=""_blank"">tugas kiriman Magento</a> sedang berjalan."
"State for the same indexer","State for the same indexer"
"State for the same view","State for the same view"
"Field '%1' not found","Bidang '%1' tidak ditemukan"
"Some Exception Message","Beberapa Pesan Pengecualian"
"Test Phrase","Uji Frase"
"Change indexer mode","Ubah mode pengindeks"
"Indexer","Indexer"
"Description","Deskripsi"
"Mode","Mode"
"Status","Keadaan"
"Updated","Diperbarui"
