"Indexer Management","Управление индексами"
"%status (%count in backlog)","%status (%count in backlog)"
"Update by Schedule","Обновлять по расписанию"
"Update on Save","Обновление при сохранении"
"Reindex required","Требуется переиндексация"
"Ready","Готово"
"Processing","Обработка"
"Never","Никогда"
"has been rebuilt successfully in %time","has been rebuilt successfully in %time"
"%1 index is locked by another reindex process. Skipping.","Индекс %1 заблокирован другим процессом индексации. Пропуск."
"Index Management","Управление индексами"
"Please select indexers.","Пожалуйста, выберите индексы."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 indexer(s) are in ""Update by Schedule"" mode."
"We couldn't change indexer(s)' mode because of an error.","We couldn't change indexer(s)' mode because of an error."
"%1 indexer(s) were invalidated.","%1 indexer(s) were invalidated."
"We couldn't invalidate indexer(s) because of an error.","We couldn't invalidate indexer(s) because of an error."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 indexer(s) are in ""Update on Save"" mode."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running."
"Child process failed with message: %1","Child process failed with message: %1"
"State for the same indexer","State for the same indexer"
"State for the same view","State for the same view"
"Field '%1' not found","Field '%1' not found"
"Some Exception Message","Some Exception Message"
"Test Phrase","Тестовая Фраза"
"Change indexer mode","Change indexer mode"
"Invalidate index","Invalidate index"
"Are you sure you want to invalidate the selected index(es)?","Are you sure you want to invalidate the selected index(es)?"
"Indexer","Indexer"
"Description","Описание"
"Mode","Режим"
"Status","Статус"
"Schedule Status","Schedule Status"
"Updated","Обновлено"
