"Custom Variables","متغیرهای سفارشی"
"Add New Variable","افزودن متغیر جدید"
"Save and Continue Edit","ذخيره و ادامه ويرايش"
"Custom Variable ""%1""","متغیر سفارشی ""%1"""
"New Custom Variable","متغیر سفارشی جدید"
"Variable","متغیر"
"Variable Code","کد متغیر"
"Variable Name","نام متغیر"
"Use Default Variable Values","استفاده از مقادیر متغیر پیش فرض"
"No","خیر"
"Yes","بله"
"Variable HTML Value","مقدار HTML متغیر"
"Variable Plain Value","مقدار ساده‌ی متغیر"
"You deleted the custom variable.","شما متغیر سفارشی را حذف کردید."
"You saved the custom variable.","شما متغیر سفارشی را ذخیره کردید."
"Variable Code must be unique.","کد متغییر باید یکتا باشد."
"Validation has failed.","تایید اعتبار ناموفق بود."
"%1","%1"
"Insert Variable...","افزودن متغیر..."
"Variable ID","شناسه‌ی متغیر"
"Name","نام"
