"Custom Variables","Variabel Khusus"
"Add New Variable","Tambahkan Variabel baru"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Custom Variable ""%1""","Variabel Khusus ""%1"""
"New Custom Variable","Custom Variabel Baru"
"Variable","Variabel"
"Variable Code","Kode Variabel"
"Variable Name","Nama Variabel"
"Use Default Variable Values","Gunakan Nilai Variabel Bawaan"
"No","Tidak"
"Yes","Ya"
"Variable HTML Value","Nilai HTML Variabel"
"Variable Plain Value","Nilai Rencana Variabel"
"You deleted the custom variable.","Anda menghapus variabel khusus."
"You saved the custom variable.","Anda menyimpan variabel khusus."
"Variable Code must be unique.","Variable Code must be unique."
"Validation has failed.","Validation has failed."
"%1","%1"
"Insert Variable...","Masukkan Variabel..."
"Variable ID","ID variabel"
"Name","Nama"
