"Custom Variables","Персонализирани променливи"
"Add New Variable","Добавяне на нова променлива"
"Save and Continue Edit","Запази и продължи редактиране"
"Custom Variable ""%1""","Персонализирана променлива ""%1"""
"New Custom Variable","Новa потребителскa променлива"
"Variable","Променлива"
"Variable Code","Променлив код"
"Variable Name","Име на променлива"
"Use Default Variable Values","Използвайте променливи стойности по подразбиране"
"No","Не"
"Yes","Да"
"Variable HTML Value","Стойност на променливата HTML"
"Variable Plain Value","Обикновенa променлива стойност"
"You deleted the custom variable.","Изтрихте персонализирана променлива."
"You saved the custom variable.","Записахте персонализирана променлива."
"Variable Code must be unique.","Променливия код трябва да бъде уникален."
"Validation has failed.","Неуспешна проверка."
"%1","%1"
"Insert Variable...","Вмъкване на променлива..."
"Custom Variable","Custom Variable"
"Base URL","Base URL"
"Secure Base URL","Secure Base URL"
"Web","Web"
"Edit Variable","Edit Variable"
"Insert Variable","Insert Variable"
"The variable %1 is no longer available. Select a different variable.","The variable %1 is no longer available. Select a different variable."
"Cancel","Cancel"
"Save","Save"
"Variable ID","ИД на променлива"
"Name","Име"
"Type","Type"
"Code","Code"
