"Custom Variables","Variáveis Personalizadas"
"Add New Variable","Adicionar a nova variável"
"Save and Continue Edit","Gravar e Continuar Edição"
"Custom Variable ""%1""","Variável personalizada ""%1"""
"New Custom Variable","Nova variável personalizada"
"Variable","Variável"
"Variable Code","Código da Variável"
"Variable Name","Nome da Variável"
"Use Default Variable Values","Usar valores de variável padrão"
"No","Não"
"Yes","Sim"
"Variable HTML Value","Valor da variável HTML"
"Variable Plain Value","Valor de variável simples"
"You deleted the custom variable.","Você excluiu a variável personalizada."
"You saved the custom variable.","Você gravou a variável personalizada."
"Variable Code must be unique.","Código da Variável deve ser único."
"Validation has failed.","Validação falhou."
"%1","%1"
"Insert Variable...","Inserir Variável..."
"Variable ID","Id da Variável"
"Name","Nome"
