"No token found.","Tidak ditemukan token."
"Wrong request.","Permintaan yang salah."
"Deletion failure. Please try again.","Penghapusan kegagalan Silahkan coba lagi."
"Stored Payment Method was successfully removed","Penghapusan kegagalan Silahkan coba lagi"
"Stored Payment Methods","Metode Pembayaran Tersimpan"
"No available payment tokens for specified order payment.","Tidak ada token pembayaran yang tersedia untuk pembayaran pesanan tertentu."
"Card Number","Nomor kartu"
"Expiration Date","Tanggal kadaluarsa"
"Type","Mengetik"
"You have no stored payment methods.","Anda tidak memiliki metode pembayaran yang tersimpan."
"ending","akhir"
"Actions","Tindakan"
"Delete","Menghapus"
"PayPal Account","Akun paypal"
"Cancel","Membatalkan"
"No payment tokens are available for the specified order payment.","No payment tokens are available for the specified order payment."
"Credit Card was successfully removed","Credit Card was successfully removed"
"My Credit Cards","Kartu Kredit Saya"
"You have no credit cards.","You have no credit cards."
