"Gift Messages are not applicable for empty cart","Quà tặng tin nhắn là không áp dụng cho giỏ hàng rỗng"
"Gift Messages are not applicable for virtual products","Tin nhắn quà tặng không áp dụng cho các sản phẩm ảo"
"Gift Message is not available","Quà tặng tin nhắn là không có sẵn"
"Could not add gift message to shopping cart","Không thể thêm tin nhắn quà tặng vào giỏ hàng"
"There is no item with provided id in the cart","Không có sản phẩm nào với id trong giỏ hàng được cung cấp"
"There is no product with provided  itemId: %1 in the cart","Không có sản phẩm nào với id được cung cấp: %1 trong giỏ hàng"
"There is no item with provided id in the order","Không có sản phẩm nào với id được cung cấp trong đơn hàng"
"There is no item with provided id in the order or gift message isn't allowed","Không sản phẩm trùng với id được cung cấp hoặc quà tặng tin nhắn không được phép"
"Could not add gift message to order: ""%1""","Không thể thêm tin nhắn quà tặng vào đơn đặt hàng: ""%1"""
"There is no order with provided id or gift message isn't allowed","Không có sản phẩm phù hợp với id đã cung cấp hoặc quà tặng tin nhắn không được phép"
"There is no order with provided id","Không có đơn hàng nào với id được cung cấp"
"Gift Messages are not applicable for empty order","Quà tặng tin nhắn không áp dụng cho đơn đặt hàng không có sản phẩm"
"Could not add gift message to order's item: ""%1""","Không thể thêm tin nhắn quà tặng cho sản phẩm của đơn hàng: ""%1"""
"Unknown entity type","Kiểu thực thể không rõ"
"Test label","Nhãn Kiểm tra"
"Use Config Settings","Sử dụng cấu hình cài đặt"
"From","Từ"
"To","Đến"
"Message","Tin nhắn"
"Cancel","Hủy bỏ"
"OK","Đồng ý"
"Gift Options","Tùy chọn Quà tặng"
"Gift Message","Tin nhắn quà tặng"
"Do you have any gift items in your order?","Bạn có sản phẩm nào như Quà tặng nào trong đặt hàng của bạn không?"
"Add Gift Options","Add Gift Options"
"Gift Options for the Entire Order","Tùy chọn Quà tặng cho toàn bộ đơn hàng"
"Leave this box blank if you don't want to leave a gift message for the entire order.","Hãy để trống phần này nếu bạn không muốn để lại một tin nhắn quà cho toàn bộ các đơn hàng."
"Gift Options for Individual Items","Tùy chọn Quà tặng cho từng sản phẩm"
"<span>Item %1</span> of %2","<span>sản phẩm %1</span> của %2"
"Leave a box blank if you don't want to add a gift message for that item.","Để trống phần này nếu bạn không muốn thêm tin nhắn quà tặng cho sản phẩm này."
"Add Gift Options for the Entire Order","Thêm tùy chọn quà tặng cho toàn bộ đơn hàng"
"You can leave this box blank if you don't want to add a gift message for this address.","Có thể để trống phần này nếu không muốn thêm tin nhắn quà tặng cho địa chỉ này."
"Add Gift Options for Individual Items","Add Gift Options for Individual Items"
"You can leave this box blank if you don't want to add a gift message for the item.","Có thể để trống phần này nếu không muốn thêm tin nhắn quà tặng cho sản phẩm này."
"Gift Message (optional)","Quà tặng tin nhắn (tùy chọn)"
"To:","Đến:"
"From:","Từ:"
"Message:","Tin nhắn:"
"Update","Cập nhật"
"Gift options","Tùy chọn Quà tặng"
"Edit","Chỉnh sửa"
"Delete","Xóa bỏ"
"Allow Gift Messages on Order Level","Cho phép tin nhắn Quà tặng trên cấp độ đơn hàng"
"Allow Gift Messages for Order Items","Cho phép tin nhắn quà tặng cho sản phẩm trong đơn hàng"
"Gift Messages is not applicable for empty cart","Quà tặng tin nhắn không áp dụng cho giỏ hàng rỗng"
"Gift Messages is not applicable for virtual products","Tin nhắn quà tặng không áp dụng cho các sản phẩm ảo"
"Gift Messages is not applicable for empty order","Quà tặng tin nhắn không áp dụng cho đơn đặt hàng không có sản phẩm"
"Add gift options","Thêm tùy chọn quà"
"Add gift options for Individual Items","Thêm tùy chọn Quà tặng cho từng sản phẩm"
"Gift messages can't be used for an empty cart. Add an item and try again.","Gift messages can't be used for an empty cart. Add an item and try again."
"Gift messages can't be used for virtual products.","Gift messages can't be used for virtual products."
"The gift message isn't available.","The gift message isn't available."
"The gift message couldn't be added to Cart.","The gift message couldn't be added to Cart."
"No item with the provided ID was found in the Cart. Verify the ID and try again.","No item with the provided ID was found in the Cart. Verify the ID and try again."
"No product with the ""%1"" itemId exists in the Cart. Verify your information and try again.","No product with the ""%1"" itemId exists in the Cart. Verify your information and try again."
"No item with the provided ID was found in the Order. Verify the ID and try again.","No item with the provided ID was found in the Order. Verify the ID and try again."
"No item with the provided ID was found in the Order, or a gift message isn't allowed. Verify and try again.","No item with the provided ID was found in the Order, or a gift message isn't allowed. Verify and try again."
"The gift message couldn't be added to the ""%1"" order.","The gift message couldn't be added to the ""%1"" order."
"Either no order exists with this ID or gift message isn't allowed.","Either no order exists with this ID or gift message isn't allowed."
"No order exists with this ID. Verify your information and try again.","No order exists with this ID. Verify your information and try again."
"Gift messages can't be used for an empty order. Create an order, add an item, and try again.","Gift messages can't be used for an empty order. Create an order, add an item, and try again."
"The gift message couldn't be added to the ""%1"" order item.","The gift message couldn't be added to the ""%1"" order item."
