"Backup options","Параметры резервного копирования"
"Warning","Внимание"
"Cancel","Отмена"
"Ok","Oк"
"Insert Widget...","Вставить Виджет..."
"No records found.","Записей не найдено."
"Recent items","Недавние продукты"
"Show all...","Показать все..."
"Please enter a number greater 0 in this field.","Пожалуйста, введите число больше 0 в это поле."
"Please select one of each ratings above.","Пожалуйста, выберите один из каждого рейтинга выше."
"Please specify Url.","Пожалуйста, укажите Url."
"Method %s does not exist on jQuery.decorate","Метода %s не существует в jQuery.decorate"
"Close","Закрыть"
"Next","Следующее"
"Previous","Предыдущее"
"Please wait...","Пожалуйста подождите..."
"Loading...","Загрузка..."
"All ","Все "
"more","больше"
"Save","Сохранить"
"Translate","Перевести"
"Submit","Отправить"
"Please enter {0} words or less.","Пожалуйста, введите {0} слов или меньше."
"Please enter at least {0} words.","Пожалуйста, введите как минимум {0} слова."
"Please enter between {0} and {1} words.","Пожалуйста, введите между {0} и {1} словами."
"Letters or punctuation only please","Только буквы или знаки препинания, пожалуйста"
"Letters, numbers, spaces or underscores only please","Только буквы, цифры или символ подчеркивания, пожалуйста"
"Letters only please","Только буквы, пожалуйста"
"No white space please","Без пробелов, пожалуйста"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Ваш ZIP-код должен быть в диапазоне от 902xx-хххх до 905-xx-xxxx"
"A positive or negative non-decimal number please","Положительное или отрицательное-десятичное число пожалуйста"
"The specified vehicle identification number (VIN) is invalid.","Идентификационный номер указанного транспортного средства (VIN) является недопустимым."
"Please enter a correct date","Пожалуйста, введите правильную дату"
"Please enter a valid time, between 00:00 and 23:59","Пожалуйста введите действительный время между 00:00 и 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Пожалуйста введите действительный время между 00:00 и 12:00"
"Please specify a valid phone number","Пожалуйста, укажите правильный номер телефона"
"Please specify a valid mobile number","Пожалуйста, укажите правильный номер телефона"
"Please enter at least {0} characters","Введите хотя бы {0} символов"
"Please remove invalid characters: {0}.","Пожалуйста, удалите недопустимые символы: {0}."
"Please enter a valid credit card number.","Пожалуйста введите действительный номер кредитной карты."
"Please enter a valid IP v4 address.","Введите действующий IP v4 адрес."
"Please enter a valid IP v6 address.","Введите действующий IP v6 адрес."
"Invalid format.","Недопустимый формат."
"HTML tags are not allowed.","HTML теги не разрешены."
"Please select an option.","Выбери один из вариантов."
"Empty Value.","Пустое значение."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Пожалуйста, используйте только буквы (a-z или A-Z), цифры (0-9) или пробелы только в этой области."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Пожалуйста, используйте только буквы (a-z или A-Z), цифры (0-9) или подчеркивание (_) в этой области, первый символ должен быть буквой."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Пожалуйста, используйте только буквы (a-z или A-Z), цифры (0-9), пробелы и «#» в этой области."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Пожалуйста, введите действительный номер телефона. Например (123) 456-7890 или 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","Пожалуйста, введите действительный номер факса (Ex: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Пожалуйста, введите действительный адрес электронной почты (Ex: johndoe@domain.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Пожалуйста, введите 6 или более символов. Начальные и конечные пробелы игнорируются."
"Please enter 7 or more characters, using both numeric and alphabetic.","Пожалуйста, введите 7 или более символов, используя как числа, так и букв."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Минимальная длина этого поля должно быть равно или больше %1 символов. Начальные и конечные пробелы игнорируются."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Минимум различных классов символов в пароле — %1. Классы символов: нижний регистр, верхний регистр, цифры, Специальные символы."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Пожалуйста, введите допустимый URL-адрес. Требуется протокол (http://, https:// или ftp: / /)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Пожалуйста, введите допустимый URL-адрес. Например, http://www.example.com или www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Пожалуйста, введите допустимый XML-идентификатор (Ex: something_1, block5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Пожалуйста, введите действительный номер социального страхования (Ex: 123-45-6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Пожалуйста, введите действительный zip код (Ex: 90602 или 90602-1234)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Пожалуйста, используйте этот формат даты: дд/мм/гггг. К примеру 17/03/2006 для 17 марта, 2006."
"Please enter a valid $ amount. For example $100.00.","Пожалуйста, введите действительное $ кол-во. К примеру $100.00."
"Please enter a number 0 or greater in this field.","Пожалуйста, введите число 0 или больше в это поле."
"Please enter a number greater than 0 in this field.","Пожалуйста, введите число больше 0 в это поле."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Пожалуйста, введите действительный CSS-Длина (Ex: 100px, 77pt, 20em, .5ex или 50%)."
"Please enter a valid number in this field.","Пожалуйста введите правильный номер в это поле."
"The value is not within the specified range.","Значение не находится в пределах указанного диапазона."
"Please use letters only (a-z or A-Z) in this field.","Пожалуйста, используйте только буквы (a-z или A-Z) в этой области."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Пожалуйста, используйте только буквы (a-z), цифры (0-9) или подчеркивание (_) в этой области, первый символ должен быть буквой."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","Пожалуйста, используйте только буквы (a-z или A-Z) и цифры (0-9) в этой области. Без пробелов или другие символы разрешены."
"Please enter a valid date.","Пожалуйста, введите правильную дату."
"Make sure the To Date is later than or the same as the From Date.","Убедитесь, что конец периода не находится ранее его начала."
"Please make sure your passwords match.","Убедитесь, что ваши пароли совпадают."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","Пожалуйста, введите действительный ключ URL-адреса (Например: ""example-page"", ""example-page.html"" или ""anotherlevel/example-page"")."
"Please enter a valid zip code.","Пожалуйста, введите правильный индекс."
"Please select one of the options above.","Пожалуйста, выберите один из параметров выше."
"Please select State/Province.","Пожалуйста, выберите край/область."
"Please select a file.","Пожалуйста, выберите файл."
"The field isn't complete.","Поле не является полным."
"This is a required field.","Это поле обязательно для заполнения."
"Please select one of the options.","Пожалуйста, выберите один из параметров."
"Please enter a value less than or equal to %s.","Пожалуйста введите значение меньшее или равное %s."
"Please enter a value greater than or equal to %s.","Пожалуйста введите значение большее или равное %s."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","Пожалуйста, введите адреса электронной почты, разделенные запятыми. На пример johndoe@domain.com, johnsmith@domain.com."
"Card type does not match credit card number.","Тип карты не совпадает с номером кредитной карты."
"Credit card number does not match credit card type.","Номер кредитной карты не соответствует типу кредитной карты."
"Incorrect credit card expiration date.","Неправильный срок истечения кредитной карты."
"Please enter a valid credit card verification number.","Пожалуйста введите действительный номер проверки карты."
"Please enter issue number or start date for switch/solo card type.","Пожалуйста, введите номер задачи или дату начала для карты типа switch/solo."
"Please enter less or equal than %1 symbols.","Пожалуйста, введите меньше или ровно %1 символов."
"Please enter more or equal than %1 symbols.","Пожалуйста, введите больше или ровно %1 символов."
"Please enter positive number in this field.","Пожалуйста, введите положительное число в этом поле."
"Please enter a valid value, ex: 10,20,30","Введите допустимое значение, ex: 10,20,30"
"Please enter a valid value from list","Введите допустимое значение из списка"
"Please enter valid SKU key.","Пожалуйста, введите действительный ключ SKU."
"Please enter a valid number.","Пожалуйста, введите действительный номер."
"This is required field","Это поле обязательно для заполнения"
"Admin is a required field in each row.","Администратор обязательное поле в каждой строке."
"Password cannot be the same as email address.","Пароль не должен совпадать c адресом электронной почты."
"Please fix this field.","Пожалуйста, исправьте это поле."
"Please enter a valid email address.","Введите допустимый адрес электронной почты."
"Please enter a valid URL.","Пожалуйста, введите допустимый URL-адрес."
"Please enter a valid date (ISO).","Пожалуйста, введите корректную дату (ISO)."
"Please enter only digits.","Пожалуйста, введите только цифры."
"Please enter the same value again.","Снова введите то же значение."
"Please enter no more than {0} characters.","Введите не более чем {0} символов."
"Please enter at least {0} characters.","Введите хотя бы {0} символов."
"Please enter a value between {0} and {1} characters long.","Пожалуйста, введите значение между {0} и {1} символов."
"Please enter a value between {0} and {1}.","Пожалуйста, введите значение между {0} и {1}."
"Please enter a value less than or equal to {0}.","Пожалуйста введите значение меньшее или равное {0}."
"Please enter a value greater than or equal to {0}.","Пожалуйста введите значение большее или равное {0}."
"Please specify the quantity of product(s).","Пожалуйста, укажите кол-во продукта(ов)."
"Please enter a date between %min and %max.","Пожалуйста введите дату между %min и %max."
