"Invalid domain name: %1","Érvénytelen domain név: %1"
"Invalid cookie lifetime: %1","Érvénytelen süti élettartam: %1"
"Invalid cookie path","Érvénytelen süti útvonal"
"We use cookies to make your experience better.","Sütiket használunk a jobb felhasználói élmény érdekében."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Hogy megfeleljünk az új elektronikus hírközlési adatvédelmi irányelvnek, engedélyt kell kérnünk a sütik használatához."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">További tudnivalók</a>."
"Allow Cookies","Sütik engedélyezése"
"Cookies are disabled in your browser.","Cookies are disabled in your browser."
"Default Cookie Settings","Alapértelmezett sütibeállítások"
"Cookie Lifetime","Süti élettartama"
"Enter the Cookie Lifetime in seconds.","Enter the Cookie Lifetime in seconds."
"Cookie Path","Süti útvonala"
"Enter a valid cookie path. e.g. /","Enter a valid cookie path. e.g. /"
"Cookie Domain","Süti domain neve"
"Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com""","Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com"""
"Use HTTP Only","Csak HTTP használata"
"<strong class=""colorRed"">Warning</strong>:  Do not set to ""No"". User security could be compromised.","<strong class=""colorRed"">Warning</strong>:  Do not set to ""No"". User security could be compromised."
"Cookie Restriction Mode","Süti korlátozási mód"
"When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations.","When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations."
