"Invalid domain name: %1","Domain nama tidak benar: %1"
"Invalid cookie lifetime: %1","Waktu aktif cookie tidak benar: %1"
"Invalid cookie path","Jalur cookie tidak benar"
"We use cookies to make your experience better.","Kami menggunakan cookie untuk membuat pengalaman anda lebih baik."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","Untuk mematuhi direktif e-privasi baru, kita perlu meminta izin Anda untuk mengatur cookie."
"<a href=""%1"">Learn more</a>.","<a href=""%1"">Pelajari lebih lanjut</a>."
"Allow Cookies","Mengizinkan Cookies"
"Cookies are disabled in your browser.","Cookies are disabled in your browser."
"Default Cookie Settings","Setting standar cookie"
"Cookie Lifetime","Cookie seumur hidup"
"Enter the Cookie Lifetime in seconds.","Enter the Cookie Lifetime in seconds."
"Cookie Path","Jalur Cookie"
"Enter a valid cookie path. e.g. /","Enter a valid cookie path. e.g. /"
"Cookie Domain","Domain Cookie"
"Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com""","Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com"""
"Use HTTP Only","Gunakan HTTP Only"
"<strong class=""colorRed"">Warning</strong>:  Do not set to ""No"". User security could be compromised.","<strong class=""colorRed"">Warning</strong>:  Do not set to ""No"". User security could be compromised."
"Cookie Restriction Mode","Mode Pembatasan Kuki"
"When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations.","When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations."
