"Invalid domain name: %1","שם לא חוקי עבוד דומיין: %1"
"Invalid cookie lifetime: %1","זמן תפוגה לא חוקי עבור cookie: %1"
"Invalid cookie path","נתיב קובץ cookie לא חוקי"
"We use cookies to make your experience better.","אנו משתמשים ב-Cookies כדי לשפר את החוויה שלך."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","כדי לקיים ההנחיה החדשה של e-Privacy, עלינו לבקש את הסכמתך להגדיר את ה-Cookies."
"<a href=""%1"">Learn more</a>.","<a href=""%1""> קבלת מידע נוסף</a>."
"Allow Cookies","אפשר קבצי Cookie"
"Default Cookie Settings","הגדרות מחדל של cookies"
"Cookie Lifetime","תוקף הcookie"
"Cookie Path","נתיב קובץ cookie"
"Cookie Domain","דומיין cookie"
"Use HTTP Only","שימוש ב-HTTP בלבד"
"Cookie Restriction Mode","Cookie במצב הגבלה"
"Cookies are disabled in your browser.","Cookies are disabled in your browser."
"Enter the Cookie Lifetime in seconds.","Enter the Cookie Lifetime in seconds."
"Enter a valid cookie path. e.g. /","Enter a valid cookie path. e.g. /"
"Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com""","Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com"""
"When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations.","When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations."
