"Invalid domain name: %1","Vale domeeni nimi: %1"
"Invalid cookie lifetime: %1","Invalid cookie lifetime: %1"
"Invalid cookie path","Kehtetu küpsise teekond"
"We use cookies to make your experience better.","Et teid paremini teenindada, siis kasutame küpsiseid."
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies."
"<a href=""%1"">Learn more</a>.","<a href=""%1""> Lisateave</a>."
"Allow Cookies","Küpsiste lubamine"
"Default Cookie Settings","Küpsiste vaikesätted"
"Cookie Lifetime","Küpsise eluiga"
"Cookie Path","Cookie Path"
"Cookie Domain","Küpsise domeen"
"Use HTTP Only","Kasuta vaid HTTP-d"
"Cookie Restriction Mode","Cookie Restriction Mode"
"Cookies are disabled in your browser.","Cookies are disabled in your browser."
"Enter the Cookie Lifetime in seconds.","Enter the Cookie Lifetime in seconds."
"Enter a valid cookie path. e.g. /","Enter a valid cookie path. e.g. /"
"Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com""","Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com"""
"When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations.","When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations."
