"Invalid domain name: %1","不正なドメイン名: %1"
"Invalid cookie lifetime: %1","不正な cookie の有効期限: %1"
"Invalid cookie path","不正なcookieパス"
"We use cookies to make your experience better.","cookieを使うことによって使い勝手がよくなります。"
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.","新しいeプライバシーの規定を順守するために、cookieを設定する承諾を求めています。"
"<a href=""%1"">Learn more</a>.","<a href=""%1"">更に詳細</a>."
"Allow Cookies","Cookieを許可"
"Default Cookie Settings","ディフォルトのCookie設定"
"Cookie Lifetime","Cookieの有効期限"
"Cookie Path","Cookieパス"
"Cookie Domain","Cookieドメイン"
"Use HTTP Only","HTTPだけ使用可能"
"Cookie Restriction Mode","Cookie制限モード"
"<strong style=""color:red"">Warning</strong>:  Do not set to ""No"". User security could be compromised.","<strong style=""color:red"">Warning</strong>:  Do not set to ""No"". User security could be compromised."
"'Invalid domain name: ' .","'Invalid domain name: ' ."
"'Invalid cookie lifetime: ' .","'Invalid cookie lifetime: ' ."
