"ALL GROUPS","全てのグループ"
"Customer Group","顧客グループ"
"Minimum Qty","最小個数"
"Add Minimum Qty","最小個数を追加"
"We can't rebuild the index for an undefined product.","未定義製品のためのインデックスを再構築できません。"
"Could not rebuild index for empty products array","空の製品のアレイのためのインデックスを再構築できませんでした"
"The stock item for Product is not valid.","商品の在庫数が不正です。"
"This product is out of stock.","商品は在庫切れです。"
"Some of the products are out of stock.","幾つかの商品は在庫切れです。"
"The stock item for Product in option is not valid.","オプション商品の在庫数が不正です。"
"Undefined product type","未定義の製品タイプ"
"%1 is not a correct comparison method.","%1は正しい比較手段ではありません。"
"No Backorders","バックオーダーなし"
"Allow Qty Below 0","在庫数0個以下を許可する"
"Allow Qty Below 0 and Notify Customer","在庫数0個以下を許可し、顧客に通知する"
"In Stock","在庫あり"
"Out of Stock","在庫切れ"
"Unable to save Stock Item","在庫アイテムを保存できません"
"Stock Item with id ""%1"" does not exist.","id ""%1"" のストック商品は存在しません。"
"Unable to remove Stock Item with id ""%1""","IDが ""%1"" の在庫アイテムを削除できません"
"Unable to save Stock","在庫を保存できません"
"Stock with id ""%1"" does not exist.","id ""%1"" のストックは存在しません。"
"Unable to remove Stock with id ""%1""","ID ""%1"" のを取り在庫を除くことができません"
"Unable to save Stock Status","在庫状況を保存できません"
"Unable to remove Stock Status for product %1","製品 %1 の在庫状況を削除できません"
"Invalid stock id: %1. Only default stock with id %2 allowed","無効な在庫ID： %1 ID %2のデフォルト在庫のみが許可されます"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","無効な在庫アイテムID： %1　nullまたは0より大きい数値である必要があります。"
"Invalid stock item id: %1. Assigned stock item id is %2","無効な在庫アイテムID： %1　割り当てられた在庫アイテムIDは %2です"
"Not all of your products are available in the requested quantity.","すべての商品を希望された数量準備することができませんでした。"
"Product with SKU ""%1"" does not exist","SKU ""%1"" は商品は存在しません"
"The fewest you may purchase is %1.","購入の最低限数量は%1です。"
"Please correct the quantity for some products.","特定商品の数量を修正してください。"
"The most you may purchase is %1.","購入の最大限数量は%1です。"
"We don't have as many ""%1"" as you requested."," 要求された""%1""数在庫がありませんでした。 "
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2."," 要求された""%1""数在庫がありませんでした, ですが残りの%2は取り寄せをおこないます。"
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","要求された""%1""数在庫がありませんでした, ですが残>
     りの%2は取り寄せをおこないます。"
"You can buy %1 only in quantities of %2 at a time.","%1は数量%2づつのみ一度に買うことができます。"
"You can buy this product only in quantities of %1 at a time.","この商品は数量%1づつのみ一度に買うことができます。"
"Decimal qty increments is not allowed.","小数点の数量倍数は許可されていません。"
"Stock Status","在庫状況"
"Quantity","個数"
"Advanced Inventory","拡張在庫設定"
"%1 is available to buy in increments of %2","%1は%2の数量づつ購入が可能です"
"Only %1 left","%1のみ残っています"
"Product availability","商品在庫あり"
"Product Name","商品名"
"Qty","個数"
"Inventory Section","インベントリセクション"
"Inventory","在庫"
"Stock Options","ストックオプション"
"Decrease Stock When Order is Placed","注文を受けると在庫を減らす。"
"Set Items' Status to be In Stock When Order is Cancelled","注文がキャンセルされたときにはセット商品の状態を在庫ありにする"
"Display Out of Stock Products","在庫切れ商品を表示する"
"Products will still be shown by direct product URLs.","商品は商品のURLで表示され続けます。"
"Only X left Threshold","「X点在庫有り」と表記する閾値"
"Display Products Availability in Stock on Storefront","店頭での在庫の在庫表示"
"Product Stock Options","商品在庫オプション"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","個別のカートではなく、カート内の各アイテムに対してこれらの設定が適用されます。ご注意ください。"
"Manage Stock","在庫管理"
"Backorders","バックオーダー"
"Maximum Qty Allowed in Shopping Cart","カートの中で許可する最大個数"
"Out-of-Stock Threshold","在庫切れ限界値"
"Minimum Qty Allowed in Shopping Cart","カートの中で許可する最小個数"
"Notify for Quantity Below","これ以下の数量になれば通知"
"Automatically Return Credit Memo Item to Stock","返金時に在庫数を更新する"
"Enable Qty Increments","個数の増分を許可する"
"Qty Increments","個数の増分"
"Stock","在庫数"
"Index stock","インデックス在庫数"
"Use Config Settings","設定を使用"
"Qty Uses Decimals","個数に小数表記を使う"
"Allow Multiple Boxes for Shipping","配送に複数のボックスを許可する"
"Done","Done"
