"ALL GROUPS","WSZYSTKIE GRUPY"
"Customer Group","Grupa klienta"
"Minimum Qty","Minimalna ilość"
"Add Minimum Qty","Dodaj minimalną ilość"
"We can't rebuild the index for an undefined product.","Nie można przebudować indeksu dla niezdefiniowanego produktu."
"Could not rebuild index for empty products array","Nie można odbudować indeksu do pustej tablicy produktów"
"The stock item for Product is not valid.","Pozycja magazynowa dla produktu jest nieprawidłowa."
"This product is out of stock.","Ten produkt jest niedostępny na magazynie."
"Some of the products are out of stock.","Niektóre produkty nie są obecnie na magazynie."
"The stock item for Product in option is not valid.","Jednostka ilości dla produktu w opcji nie jest poprawna."
"Undefined product type","Niezdefiniowany rodzaj produktu"
"%1 is not a correct comparison method.","%1 nie jest poprawną metodą porównania."
"No Backorders","Bez rezerwacji"
"Allow Qty Below 0","Zezwól na ilość mniejszą od 0"
"Allow Qty Below 0 and Notify Customer","Zezwól na ilość mniejszą od 0 i powiadom klienta"
"In Stock","W magazynie"
"Out of Stock","Brak w magazynie"
"Unable to save Stock Item","Nie można zapisać pozycji magazynowej"
"Stock Item with id ""%1"" does not exist.","Pozycja magazynowa o id ""%1"" nie istnieje."
"Unable to remove Stock Item with id ""%1""","Nie można usunąć pozycji zapasów o identyfikatorze ""%1"""
"Unable to save Stock","Nie można zapisać zapasów"
"Stock with id ""%1"" does not exist.","Zapas o id ""%1"" nie istnieje."
"Unable to remove Stock with id ""%1""","Nie można usunąć stanu o identyfikatorze ""%1"""
"Unable to save Stock Status","Nie można zapisać stanu zapasów"
"Unable to remove Stock Status for product %1","Nie można usunąć stanu magazynowego dla produktu %1"
"Invalid stock id: %1. Only default stock with id %2 allowed","Nieprawidłowy identyfikator towaru: %1. Dozwolony jest tylko domyślny zapas o identyfikatorze %2"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Nieprawidłowy identyfikator pozycji magazynowej: %1. Powinno być null lub wartość numeryczna większa niż 0"
"Invalid stock item id: %1. Assigned stock item id is %2","Nieprawidłowy identyfikator pozycji magazynowej: %1. Przypisany identyfikator pozycji magazynowej to %2"
"Not all of your products are available in the requested quantity.","Nie wszystkie produkty są dostępne w żądanej ilości."
"Product with SKU ""%1"" does not exist","Produkt o jednostce SKU ""%1"" nie istnieje"
"The fewest you may purchase is %1.","Najmniej, ile możesz zakupić to %1."
"Please correct the quantity for some products.","Proszę poprawić ilość dla niektórych produktów."
"The most you may purchase is %1.","Maksymalna kwota zakupu wynosi %1."
"We don't have as many ""%1"" as you requested.","Nie mamy tylu ""%1"", o ile prosiłeś."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","Nie mamy tyle ""%1"", ile zamawiasz, jednak zarezerwujemy pozostałe %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","Nie mamy ""%1"" w żądanej ilości, więc zarezerwujemy pozostałe %2."
"You can buy %1 only in quantities of %2 at a time.","Możesz kupić %1 tylko w ilościach po %2 na raz."
"You can buy this product only in quantities of %1 at a time.","Możesz kupić ten produkt tylko w ilościach po %1 na raz."
"Decimal qty increments is not allowed.","Dziesiętne przyrosty ilości nie są dozwolone."
"Stock Status","Stan magazynowy"
"Quantity","Ilość"
"Advanced Inventory","Stan magazynowy"
"%1 is available to buy in increments of %2","%1 jest do kupienia w przyrostach co %2"
"Only %1 left","Tylko %1 pozostał"
"Product availability","Dostępność produktu"
"Product Name","Nazwa produktu"
"Qty","Ilość"
"Inventory Section","Sekcja stanów magazynowych"
"Inventory","Magazyn"
"Stock Options","Opcje stanów"
"Decrease Stock When Order is Placed","Zmniejsz stan magazynowy po złożeniu zamówienia"
"Set Items' Status to be In Stock When Order is Cancelled","Ustaw status produktu na Dostępny kiedy zamówienie zostanie anulowane"
"Display Out of Stock Products","Pokazuj produkty, których brak w magazynie"
"Products will still be shown by direct product URLs.","Produkt będzie nadla widoczny pod bezpośrednim podanym adresem."
"Only X left Threshold","Przedział do pozostało X produktów"
"Display Products Availability in Stock on Storefront","Pokazuj dostępność produktów w sklepie"
"Product Stock Options","Opcje stanów magazynowych"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Pamiętaj, że te ustawienia odnoszą się do pojedynczych pozycji w koszyku, a nie do całego koszyka."
"Manage Stock","Zarządzaj stanami"
"Backorders","Rezerwacje"
"Maximum Qty Allowed in Shopping Cart","Maksymalna ilość w koszyku"
"Out-of-Stock Threshold","Przedział dla braku w magazynie"
"Minimum Qty Allowed in Shopping Cart","Minimalna ilość w koszyku"
"Notify for Quantity Below","Powiadamiaj o ujemnej ilości"
"Automatically Return Credit Memo Item to Stock","Automatycznie zwróć produkt z faktury korygującej do magazynu"
"Enable Qty Increments","Włącz zwiększanie ilości"
"Qty Increments","Zwiększanie ilości"
"Stock","Zapasy"
"Index stock","Indeksuj stany"
"Use Config Settings","Używaj ustawienia z konfiguracji"
"Qty Uses Decimals","Ilość używa wartości dziesiętnych"
