"ALL GROUPS","所有分组"
"Customer Group","客户组"
"Minimum Qty","退款后自动返回库存"
"Add Minimum Qty","添加最低数量"
"We can't rebuild the index for an undefined product.","我们不能重建索引未定义的产品。"
"Could not rebuild index for empty products array","无法重建索引空的产品阵列"
"The stock item for Product is not valid.","产品的库存记录不是有效的。"
"This product is out of stock.","该产品已售罄。"
"Some of the products are out of stock.","部分产品已脱销。"
"The stock item for Product in option is not valid.","
选项中的产品的库存项目无效。 "
"Undefined product type","未定义的产品类型"
"%1 is not a correct comparison method.","%1 不是一个正确的比较方法。"
"No Backorders","没有延期交货"
"Allow Qty Below 0","允许数量低于 0"
"Allow Qty Below 0 and Notify Customer","允许数量低于 0 并通知客户"
"In Stock","有货"
"Out of Stock","缺货"
"Unable to save Stock Item","无法保存库存项目"
"Stock Item with id ""%1"" does not exist.","Id 为""%1""的库存项目不存在。"
"Unable to remove Stock Item with id ""%1""","无法删除编号id为 ""%1"" 的现货项"
"Unable to save Stock","无法保存现货库存"
"Stock with id ""%1"" does not exist.","股票与 id""%1""并不存在。"
"Unable to remove Stock with id ""%1""","无法删除编号id为 ""%1"" 的现货库存"
"Unable to save Stock Status","无法保存现货库存状态"
"Unable to remove Stock Status for product %1","无法删除现货库存状态为 %1 的产品"
"Invalid stock id: %1. Only default stock with id %2 allowed","无效的库存id: %1。只有默认库存与允许的 id %2"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","无效的库存项目 id: %1。应为 null 或数值型值大于 0"
"Invalid stock item id: %1. Assigned stock item id is %2","无效的库存项目 id: %1。分配的库存项 id 是 %2"
"Not all of your products are available in the requested quantity.","不是所有的产品都在要求的数量。"
"Product with SKU ""%1"" does not exist","产品与 SKU""%1""不存在"
"The fewest you may purchase is %1.","您可以购买最少是 %1。"
"Please correct the quantity for some products.","请更正一些产品的数量。"
"The most you may purchase is %1.","您最多可以购买的数量是 %1。"
"We don't have as many ""%1"" as you requested.","我们没有您要求的那么多“% 1”。"
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","我们没有像很多""%1""作为你的要求，但是我们还回来订单剩余的 %2。"
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","我们没有""%1""在请求的数量，所以我们马上就回来订单剩余的 %2。"
"You can buy %1 only in quantities of %2 at a time.","你可以一次买只在数量的 %2 %1。"
"You can buy this product only in quantities of %1 at a time.","你可以一次买这种产品只在 %1 的数量。"
"Decimal qty increments is not allowed.","不允许小数数量的增量。"
"Stock Status","现货库存状态"
"Quantity","数量"
"Advanced Inventory","高级库存"
"%1 is available to buy in increments of %2","%1 是 %2 的可购买的增量"
"Only %1 left","只有 %1 左"
"Product availability","产品的可用性"
"Product Name","产品名称"
"Qty","数量"
"Inventory Section","库存类目"
"Inventory","库存"
"Stock Options","股票期权"
"Decrease Stock When Order is Placed","减少库存时订单"
"Set Items' Status to be In Stock When Order is Cancelled","当订单取消时，将物品的状态设置为库存状态。 "
"Display Out of Stock Products","显示库存产品"
"Products will still be shown by direct product URLs.","产品仍将通过直接产品 Url 所示。"
"Only X left Threshold","只留下阈值的 X"
"Display Products Availability in Stock on Storefront","在店面上显示产品的可用性"
"Product Stock Options","产品股票期权"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","请注意，这些设置适用于购物车中的单个物品，不适用整个购物车。"
"Manage Stock","数量增加"
"Backorders","延期交货"
"Maximum Qty Allowed in Shopping Cart","购物车中允许的最大数量"
"Out-of-Stock Threshold","缺货的阈值"
"Minimum Qty Allowed in Shopping Cart","购物车中允许的最小数量"
"Notify for Quantity Below","数量通知如下"
"Automatically Return Credit Memo Item to Stock","自动返回到股票的信用备忘项目"
"Enable Qty Increments","启用数量增量"
"Qty Increments","数量的增量"
"Stock","股票"
"Index stock","有货"
"Use Config Settings","使用配置设置"
"Qty Uses Decimals","数量使用小数"
"Allow Multiple Boxes for Shipping","允许分箱物流快递"
"Display products availability in stock on Storefront.","在股市上店面中显示产品的可用性。"
"Use Deferred Stock Update","使用延迟现货库存更新"
"Changing can take some time due to processing whole catalog.","由于处理整个目录，更改可能需要一些时间。"
"The Product stock item is invalid. Verify the stock item and try again.","产品库存项无效。验证库存项，然后重试。"
"The stock item was unable to be saved. Please try again.","无法保存库存项。请再试一次。"
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","找不到ID为""%1""的库存项。请核实ID，然后重试。"
"The stock was unable to be saved. Please try again.","无法保存库存。请重试。"
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","找不到ID为""%1""的库存。请核实ID，然后重试。"
"The stock status was unable to be saved. Please try again.","无法保存库存状态。请重试。"
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","库存ID值""%1"" 无效。输入默认值 %2 然后重试。"
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","库存项 ID值""%1""无效。输入零或一个数字后再试。"
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","库存项 ID值""%1""无效。使用已分配的值""%2""然后重试。"
"The Product with the ""%1"" SKU doesn't exist.","不存在SKU为""%1""的产品。"
"The requested qty is not available","请求的数量不可用"
"Quantity increments can't use decimals. Enter a new increment and try again.","数量增量不能使用小数。请输入一个新增量，然后重试。"
