"ALL GROUPS","VŠETKY SKUPINY"
"Customer Group","Zákaznicka skupina"
"Minimum Qty","Minimálne množstvo"
"Add Minimum Qty","Pridať minimálne množstvo"
"We can't rebuild the index for an undefined product.","Nemožeme vygenerovať nové indexy pre neznámy produkt."
"Could not rebuild index for empty products array","Nebolo možené vygenerovať nové indexy pre prázdne pole"
"The stock item for Product is not valid.","Neplatná skladová položka produktu."
"This product is out of stock.","Tento tovar nieje na sklade."
"Some of the products are out of stock.","Niektoré produkty niesú na sklade."
"The stock item for Product in option is not valid.","Neplatná skladová položka pre možnosť produktu."
"Undefined product type","Nedefinovaný typ produktu"
"%1 is not a correct comparison method.","%1 nie je správna metóda pre porovnanie."
"No Backorders","Žiadne do-objednávky"
"Allow Qty Below 0","Povoliť množstvo menšie než 0"
"Allow Qty Below 0 and Notify Customer","Povoliť množstvo menšie ako 0 a upozorniť zákazníka"
"In Stock","Skladom"
"Out of Stock","Vypredané"
"Unable to save Stock Item","Unable to save Stock Item"
"Stock Item with id ""%1"" does not exist.","Skladová položka s id ""%1"" neexistuje."
"Unable to remove Stock Item with id ""%1""","Unable to remove Stock Item with id ""%1"""
"Unable to save Stock","Unable to save Stock"
"Stock with id ""%1"" does not exist.","Zásoba s id ""%1"" neexistuje."
"Unable to remove Stock with id ""%1""","Unable to remove Stock with id ""%1"""
"Unable to save Stock Status","Unable to save Stock Status"
"Unable to remove Stock Status for product %1","Unable to remove Stock Status for product %1"
"Invalid stock id: %1. Only default stock with id %2 allowed","Neplatné id zásoby: %1. Je povolená len predvolená zásoba s id %2"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Neplatné id skladovej položky: %1. Mala by byť null aelbo číselná hodnota väčšia ako 0"
"Invalid stock item id: %1. Assigned stock item id is %2","Neplatné id skladovej položky: %1. Priradené id skladová položky je: %2"
"Not all of your products are available in the requested quantity.","Nie všetky produkty sú dostupné v požadovanom množstve."
"Product with SKU ""%1"" does not exist","Produkt s katalogovým číslom ""%1"" neexistuje"
"The fewest you may purchase is %1.","Najmenej čo môžete zakúpiť, je %1."
"Please correct the quantity for some products.","Prosím opravte množstvo pre niektoré výrobky."
"The most you may purchase is %1.","Najviac čo môžete zakúpiť, je %1."
"We don't have as many ""%1"" as you requested.","We don't have as many ""%1"" as you requested."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","Nemáme toľko ""%1"" ako ste požiadal, ale doobjenáme chýbajúcich %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","Nemáme ""%1"" v požadovanom množstve, ale doobjednáme chýbajúcích %2."
"You can buy %1 only in quantities of %2 at a time.","Teraz môžete kúpiť len %2 %1."
"You can buy this product only in quantities of %1 at a time.","Môžete si kúpiť tento produkt len v množstve %1 naraz."
"Decimal qty increments is not allowed.","Navyšovanie množstva po desatinách nie je povolené."
"Stock Status","Stav skladu"
"Quantity","Množstvo"
"Advanced Inventory","Pokročilý inventár"
"%1 is available to buy in increments of %2","%1 je možné zakúpiť po %2"
"Only %1 left","Zostáva len %1"
"Product availability","Dostupnosť produktu"
"Product Name","Názov produktu"
"Qty","Množstvo"
"Inventory Section","Sekcia inventáru"
"Inventory","Inventár"
"Stock Options","Možnosti zásob"
"Decrease Stock When Order is Placed","Znižovať stav zásob podľa objednávok"
"Set Items' Status to be In Stock When Order is Cancelled","Po zrušení objednávky nastaviť stav zásoby na ""Skladom"""
"Display Out of Stock Products","Zobrazovať vypredané produkty"
"Products will still be shown by direct product URLs.","Výrobok bude stále dostupný zadaním priamej URL adresy."
"Only X left Threshold","Only X left Threshold"
"Display Products Availability in Stock on Storefront","Zobraziť dostupnosť produktov na sklade v obchode"
"Product Stock Options","Možnosti zásoby produktu"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Please note that these settings apply to individual items in the cart, not to the entire cart."
"Manage Stock","Správa zásob"
"Backorders","Do-objednávky"
"Maximum Qty Allowed in Shopping Cart","Maximálne množstvo povolené v nákupnom košíku"
"Out-of-Stock Threshold","Out-of-Stock Threshold"
"Minimum Qty Allowed in Shopping Cart","Minimálne množstvo povolené v nákupnom košíku"
"Notify for Quantity Below","Upozorniť na množstvo nižšie"
"Automatically Return Credit Memo Item to Stock","Automatically Return Credit Memo Item to Stock"
"Enable Qty Increments","Povoliť množstvo po krokoch"
"Qty Increments","Množstevný krok"
"Stock","Zásoba"
"Index stock","Index zásoby"
"Use Config Settings","Použiť nastavenie konfirurácie"
"Qty Uses Decimals","Množstvo používa desatinné miesta"
"Allow Multiple Boxes for Shipping","Povoliť viaceré balíky pre doručenie"
"Done","Done"
