"ALL GROUPS","ВСИЧКИ ГРУПИ"
"Customer Group","Клиентска група"
"Minimum Qty","Минимално количество"
"Add Minimum Qty","Добави минимално количество"
"We can't rebuild the index for an undefined product.","Не може да създадете отново индекса за неопределен продукт."
"Could not rebuild index for empty products array","Не можем да конструираме отново индекс за празен продуктов масив"
"The stock item for Product is not valid.","The stock item for Product is not valid."
"This product is out of stock.","Този продукт е изчерпан."
"Some of the products are out of stock.","Някои от продуктите са изчерпани на склад"
"The stock item for Product in option is not valid.","The stock item for Product in option is not valid."
"Undefined product type","Недефиниран продуктов тип"
"%1 is not a correct comparison method.","%1 не е правилен метод за сравнение."
"No Backorders","Без поръчки за неналични продукти"
"Allow Qty Below 0","Позволи наличност под 0"
"Allow Qty Below 0 and Notify Customer","Позволи количество под 0 и уведоми купувача"
"In Stock","В наличност"
"Out of Stock","Няма наличност"
"Unable to save Stock Item","Не може да запази наличността на продукта"
"Stock Item with id ""%1"" does not exist.","Наличността на продукт с id ""%1"" не съществува."
"Unable to remove Stock Item with id ""%1""","Невъзможно намаляване на наличностите на продукт с id ""%1"""
"Unable to save Stock","Невъзможно запазване на наличност"
"Stock with id ""%1"" does not exist.","Наличност с id ""%1"" не съществува."
"Unable to remove Stock with id ""%1""","Невъзможно премахване на наличност с id ""%1"""
"Unable to save Stock Status","Невъзможно запазване на статус за наличност"
"Unable to remove Stock Status for product %1","Не е възможно да се премахне статуса за наличност на продукт %1"
"Invalid stock id: %1. Only default stock with id %2 allowed","Невалидна наличност на id: %1. Позволена е наличност само по подразбиране с id %2"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Невалидна наличност на продукт id: %1. Трябва да е нула или нцифрова стойност над 0"
"Invalid stock item id: %1. Assigned stock item id is %2","Invalid stock item id: %1. Assigned stock item id is %2"
"Not all of your products are available in the requested quantity.","Не всички всички продукти са налични в желаното от Вас количество."
"Product with SKU ""%1"" does not exist","Продукт с кат. номер ""%1"" не съществува"
"The fewest you may purchase is %1.","Можете да закупите най-малко %1."
"Please correct the quantity for some products.","Моля коригирайте количеството на някои продукти."
"The most you may purchase is %1.","Можете за закупите най-много %1."
"We don't have as many ""%1"" as you requested.","Желаното количество от продукт ""%1"" не е налично."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","Не са толкова ""%1"" колкото поискахте, но ще поръчаме останалите %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","Не разполагаме с ""%1"" в исканото количество, така ще поръчаме останалите %2."
"You can buy %1 only in quantities of %2 at a time.","Можете да закупите %1 само в количества от %2 в даден момент."
"You can buy this product only in quantities of %1 at a time.","Можете да закупите този продукт само в количества от  %1 наведнъж."
"Decimal qty increments is not allowed.","Увеличаване с десетни не е позволено."
"Stock Status","Статус на наличност"
"Quantity","Количество: "
"Advanced Inventory","Разширено управление на инвентар"
"%1 is available to buy in increments of %2","%1 е достъпен за закупуване на стъпки от %2"
"Only %1 left","Останали са само %1"
"Product availability","Наличност на продукта"
"Product Name","Име на продукт"
"Qty","Кол-во"
"Inventory Section","Раздел Наличност"
"Inventory","Наличност"
"Stock Options","Опции за наличност"
"Decrease Stock When Order is Placed","Намали складовата наличност, когато е направена поръчка"
"Set Items' Status to be In Stock When Order is Cancelled","Задаване на продуктите в наличност, когато поръчката е отказана"
"Display Out of Stock Products","Показване на продукти на склад"
"Products will still be shown by direct product URLs.","Продуктите все още ще бъдат показани чрез директен URL адрес на продукта."
"Only X left Threshold","Само X ляв праг"
"Display Products Availability in Stock on Storefront","Показване на стокова наличност на продукти в магазина"
"Product Stock Options","Опции за наличност на продукти"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Моля, имайте предвид, че тези настройки се прилагат за отделни артукули в количката, не към цялата количка."
"Manage Stock","Управление на наличности"
"Backorders","Поръчки за неналични продукти"
"Maximum Qty Allowed in Shopping Cart","Позволено максимално количество за количката за пазаруване"
"Out-of-Stock Threshold","Праг на изчерпана наличност"
"Minimum Qty Allowed in Shopping Cart","Позволено минимално количество в количката"
"Notify for Quantity Below","Уведоми за ниско количество"
"Automatically Return Credit Memo Item to Stock","Автоматично връщане на продукт на склад при издаване на кредитно известие"
"Enable Qty Increments","Позволи увеличаване на количеството"
"Qty Increments","Увеличаване на количеството"
"Stock","Наличност"
"Index stock","Индекс наличност"
"Use Config Settings","Използвай настройките на конфигурацията"
"Qty Uses Decimals","Количеството използва десетици"
"Allow Multiple Boxes for Shipping","Позволи няколко кутии за доставка"
"Display products availability in stock on Storefront.","Показване на наличността в магазина."
"Use Deferred Stock Update","Използвайте отсрочени актуализация на наличности"
"Changing can take some time due to processing whole catalog.","Промяната може да отнеме известно време поради обработка на целия каталог."
"The Product stock item is invalid. Verify the stock item and try again.","The Product stock item is invalid. Verify the stock item and try again."
"The stock item was unable to be saved. Please try again.","The stock item was unable to be saved. Please try again."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock item with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock was unable to be saved. Please try again.","The stock was unable to be saved. Please try again."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock status was unable to be saved. Please try again.","The stock status was unable to be saved. Please try again."
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The requested qty is not available","The requested qty is not available"
"Quantity increments can't use decimals. Enter a new increment and try again.","Quantity increments can't use decimals. Enter a new increment and try again."
