"ALL GROUPS","TẤT CẢ CÁC NHÓM"
"Customer Group","Nhóm khách hàng"
"Minimum Qty","Số lượng tối thiểu"
"Add Minimum Qty","Thêm số lượng tối thiểu"
"We can't rebuild the index for an undefined product.","Chúng tôi không thể xây dựng lại các chỉ số cho một sản phẩm không xác định."
"Could not rebuild index for empty products array","Không thể xây dựng lại các chỉ số cho mảng sản phẩm trống rỗng"
"The stock item for Product is not valid.","Sản phẩm trong kho là không hợp lệ."
"This product is out of stock.","Sản phẩm này tạm hết."
"Some of the products are out of stock.","Một số sản phẩm đang hết hàng."
"The stock item for Product in option is not valid.","Kho hàng cho sản phẩm trong tùy chọn là không hợp lệ."
"Undefined product type","Loại sản phẩm không xác định"
"%1 is not a correct comparison method.","%1 không phải là một phương pháp so sánh chính xác."
"No Backorders","Không có đơn hàng bị trả lại"
"Allow Qty Below 0","Cho phép Số lượng dưới 0"
"Allow Qty Below 0 and Notify Customer","Cho phép Số lượng dưới 0 và thông báo cho khách hàng"
"In Stock","Còn hàng"
"Out of Stock","Tạm hết hàng"
"Unable to save Stock Item","Không thể lưu sản phẩm trong kho hàng"
"Stock Item with id ""%1"" does not exist.","Sản phẩm trong kho với id ""%1"" không tồn tại."
"Unable to remove Stock Item with id ""%1""","Không thể loại bỏ sản phẩm trong kho với id ""%1"""
"Unable to save Stock","Không thể lưu kho"
"Stock with id ""%1"" does not exist.","Kho với id ""%1"" không tồn tại."
"Unable to remove Stock with id ""%1""","Không thể loại bỏ kho với id ""%1"""
"Unable to save Stock Status","Không thể lưu trạng thái kho"
"Unable to remove Stock Status for product %1","Không thể loại bỏ trạng thái lưu kho cho các sản phẩm %1"
"Invalid stock id: %1. Only default stock with id %2 allowed","Id kho hàng không hợp lệ: %1. Chỉ mặc định kho hàng với id %2 cho phép"
"Invalid stock item id: %1. Should be null or numeric value greater than 0","Id sản phẩm trong kho không hợp lệ: %1. Nên để trống hoặc điền giá trị số lớn hơn 0"
"Invalid stock item id: %1. Assigned stock item id is %2","Id sản phẩm trong kho không hợp lệ: %1. id sản phẩm trong kho được chỉ định là %2"
"Not all of your products are available in the requested quantity.","Không phải tất cả các sản phẩm đều có sẵn trong số lượng yêu cầu."
"Product with SKU ""%1"" does not exist","Các sản phẩm với mã sản phẩm ""%1"" không tồn tại"
"The fewest you may purchase is %1.","Số lượng ít nhất bạn có thể mua là %1."
"Please correct the quantity for some products.","Xin vui lòng nhập chính xác số lượng cho một số sản phẩm."
"The most you may purchase is %1.","Bạn có thể mua tối đa là %1."
"We don't have as many ""%1"" as you requested.","Chúng tôi không có nhiều ""%1"" như bạn yêu cầu."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","Chúng tôi không có nhiều ""%1"" khi bạn yêu cầu, nhưng chúng tôi sẽ quay lại thứ tự %2 còn lại."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","Chúng tôi không có ""%1"" được yêu cầu về số lượng, do đó, chúng tôi sẽ quay lại thứ tự %2 còn lại."
"You can buy %1 only in quantities of %2 at a time.","Bạn có thể mua %1 chỉ với số lượng %2 một lúc."
"You can buy this product only in quantities of %1 at a time.","Bạn chỉ có thể mua sản phẩm này với số lượng %1 một lần."
"Decimal qty increments is not allowed.","Gia tăng số lượng dạng thập phân là không được cho phép."
"Stock Status","Tình trạng kho hàng"
"Quantity","Số lượng"
"Advanced Inventory","Nâng cấp kho hàng"
"%1 is available to buy in increments of %2","%1 có sẵn để mua trong gia lượng của %2"
"Only %1 left","Chỉ còn %1"
"Product availability","Tình trạng tồn kho sản phẩm"
"Product Name","Tên sản phẩm"
"Qty","Số lượng"
"Inventory Section","Mục Hàng tồn kho"
"Inventory","Hàng tồn kho"
"Stock Options","Tùy chọn kho hàng"
"Decrease Stock When Order is Placed","Giảm số lượng trong kho khi đơn đặt hàng được đặt"
"Set Items' Status to be In Stock When Order is Cancelled","Thiết lập trạng thái sản phẩm trong kho hàng khi đơn đặt hàng bị hủy"
"Display Out of Stock Products","Hiện thị sản phẩm đã hết hàng"
"Products will still be shown by direct product URLs.","Sản phẩm sẽ vẫn được hiển thị bởi URLs trực tiếp."
"Only X left Threshold","Chỉ còn lại mức X"
"Display Products Availability in Stock on Storefront","Hiển thị các sản phẩm sẵn có trong kho ở Storefront"
"Product Stock Options","Tùy chọn kho sản phẩm"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Please note that these settings apply to individual items in the cart, not to the entire cart."
"Manage Stock","Quản lý kho"
"Backorders","Đơn hàng tồn đọng"
"Maximum Qty Allowed in Shopping Cart","Số lượng tối đa được cho phép trong giỏ hàng"
"Out-of-Stock Threshold","Ngưỡng hết hàng"
"Minimum Qty Allowed in Shopping Cart","Số lượng tối thiểu được cho phép trong giỏ hàng"
"Notify for Quantity Below","Thông báo cho cho số lượng dưới đây"
"Automatically Return Credit Memo Item to Stock","Tự động trả lại sản phẩm ghi nhớ tín dụng về kho"
"Enable Qty Increments","Cho phép gia số số lượng"
"Qty Increments","Gia số số lượng"
"Stock","Lưu kho"
"Index stock","Chỉ số lưu kho"
"Use Config Settings","Sử dụng cấu hình cài đặt"
"Qty Uses Decimals","Số lượng sử dụng số thập phân"
"Allow Multiple Boxes for Shipping","Cho phép nhiều hộp để vận chuyển"
"Display products availability in stock on Storefront.","Hiển thị các sản phẩm sẵn có vào các cổ phiếu trên cửa hàng."
"Use Deferred Stock Update","Sử dụng cập nhật kho chậm"
"Changing can take some time due to processing whole catalog.","Thay đổi có thể cần mất một thời gian để xử lý toàn bộ danh mục."
"The Product stock item is invalid. Verify the stock item and try again.","The Product stock item is invalid. Verify the stock item and try again."
"The stock item was unable to be saved. Please try again.","The stock item was unable to be saved. Please try again."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock item with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock was unable to be saved. Please try again.","The stock was unable to be saved. Please try again."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock status was unable to be saved. Please try again.","The stock status was unable to be saved. Please try again."
