"ALL GROUPS","TODOS LOS GRUPOS"
"Customer Group","Grupo del cliente"
"Minimum Qty","Cantidad mínima"
"Add Minimum Qty","Añadir cantidad mínima"
"We can't rebuild the index for an undefined product.","No se puede reconstruir el índice para un artículo no definido."
"Could not rebuild index for empty products array","No podría reconstruir índice de variedad de productos de vacío"
"The Product stock item is invalid. Verify the stock item and try again.","The Product stock item is invalid. Verify the stock item and try again."
"This product is out of stock.","Este artículo está fuera de stock."
"Some of the products are out of stock.","Algunos de los productos están fuera de stock."
"The stock item for Product in option is not valid.","El estado de existencia para la opción seleccionada no es válida."
"Undefined product type","Tipo de artículo no definido"
"%1 is not a correct comparison method.","%s no es un método de comparación correcto."
"No Backorders","No hay pedidos pendientes"
"Allow Qty Below 0","Permitir cantidad menor que 0"
"Allow Qty Below 0 and Notify Customer","Permitir cantidad menor que 0 y notificar al cliente"
"In Stock","En Stock"
"Out of Stock","Sin stock"
"The stock item was unable to be saved. Please try again.","The stock item was unable to be saved. Please try again."
"The stock item with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock item with the ""%1"" ID wasn't found. Verify the ID and try again."
"The stock was unable to be saved. Please try again.","The stock was unable to be saved. Please try again."
"The stock with the ""%1"" ID wasn't found. Verify the ID and try again.","The stock with the ""%1"" ID wasn't found. Verify the ID and try again."
"Unable to remove Stock with id ""%1""","No se puede quitar Stock con el id ""%1"""
"The stock status was unable to be saved. Please try again.","The stock status was unable to be saved. Please try again."
"Unable to remove Stock Status for product %1","No se puede quitar el estado de Stock de producto %1"
"The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again.","The ""%1"" value is invalid for stock ID. Enter stock with a default value of %2 to try again."
"The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again.","The ""%1"" value is invalid for stock item ID. Enter either zero or a number than zero to try again."
"The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again.","The ""%1"" value is invalid for stock item ID. Use the stock item ID's assigned ""%2"" value and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"Please correct the quantity for some products.","Por favor corregir la cantidad de algunos productos."
"The fewest you may purchase is %1.","Lo menos que puedes comprar es %1."
"The requested qty exceeds the maximum qty allowed in shopping cart","The requested qty exceeds the maximum qty allowed in shopping cart"
"You cannot use decimal quantity for this product.","You cannot use decimal quantity for this product."
"The requested qty is not available","The requested qty is not available"
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","No tenemos la cantidad ""%1"" que usted pidió, pero pondremos como pedido pendiente las/los %2 restantes."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","No tenemos ""%1"" de la cantidad solicitada, pondremos como pedido pendiente los/las %2 restantes."
"You can buy %1 only in quantities of %2 at a time.","Usted puede comprar %1 solamente en cantidades de %2 a la vez."
"You can buy this product only in quantities of %1 at a time.","Puede comprar este producto solo en cantidades de %1 a la vez."
"Quantity increments can't use decimals. Enter a new increment and try again.","Quantity increments can't use decimals. Enter a new increment and try again."
"Something went wrong while updating the product(s) attributes.","Something went wrong while updating the product(s) attributes."
"Stock Status","Estado de Stock"
"Quantity","Cantidad"
"Advanced Inventory","Inventario avanzado"
"%1 is available to buy in increments of %2","%1 está disponible para comprar en incrementos de %2"
"Only %1 left","Sólo queda %1"
"Product availability","Disponibilidad del producto"
"Product Name","Nombre del Producto"
"Qty","Cantidad"
"Inventory Section","Sección del inventario"
"Inventory","Inventario"
"Stock Options","Opciones de Stock"
"Decrease Stock When Order is Placed","Disminuir las existencias cuando se realiza un pedido"
"Set Items' Status to be In Stock When Order is Cancelled","Restablecer las existencias cuando la orden de venta se cancele"
"Display Out of Stock Products","Visualizar los artículos agotados"
"Products will still be shown by direct product URLs.","Los artículos se seguirán mostrando por URL de artículo directa."
"Only X left Threshold","Quedan X en almacén desde"
"Display Products Availability in Stock on Storefront","Ver disponibilidad de artículos con stock en tienda"
"Product Stock Options","Opciones de existencias de artículo"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Tenga en cuenta que esta configuración se aplica a los artículos individuales en el carrito de compras, no a todo el carrito de compras."
"Manage Stock","Gestionar existencias"
"Changing can take some time due to processing whole catalog.","Changing can take some time due to processing whole catalog."
"Backorders","Pedidos pendientes"
"Maximum Qty Allowed in Shopping Cart","Cantidad máxima permitida en el carrito de compras"
"Out-of-Stock Threshold","Límite fuera de stock"
"Minimum Qty Allowed in Shopping Cart","Cantidad mínima permitida en el carrito de compras"
"Notify for Quantity Below","Notificar cuando la cantidad sea inferior a"
"Automatically Return Credit Memo Item to Stock","Devolver automáticamente artículo de factura de abono a existencias"
"Enable Qty Increments","Habilitar incrementos de cantidad"
"Qty Increments","Incrementos de cantidad"
"Stock","Disponibilidad"
"Index stock","Index en Stock"
"Done","Done"
"Use Config Settings","Usar opciones de configuración"
"Qty Uses Decimals","La Cantidad Usa Decimales"
"Allow Multiple Boxes for Shipping","Permitir varios paquetes en envíos"
