"Default Config","Standardkonfiguration"
"Save Config","Konfiguration speichern"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[STORE VIEW]"
"Use system value","Systemwert verwenden"
"Use Default","Standard verwenden"
"Use Website","Website nutzen"
"Add","Hinzufügen"
"Delete File","Datei löschen"
"Search String","Suchstring"
"Design Theme","Design-Thema"
"Add \Exception","\Exception hinzufügen"
"-- No Theme --","-- Kein Thema --"
"Enable","Aktivieren"
"Disable","Deaktivieren"
"Configuration","Konfiguration"
"Class for type ""%1"" was not declared","Klasse vom Typ ""%1"" wurde nicht deklariert"
"%1 should implement %2","%1 sollte %2 implementieren"
"The value you set has already been locked. To change the value, use the --%1 option.","Der Wert, den Sie gesetzt haben, wurde bereits gesperrt. Um den Wert zu ändern, verwenden Sie die --%1 -Option."
"%1","%1"
"Configuration for path: ""%1"" doesn't exist","Konfiguration für Pfad: ""%1"" ist nicht vorhanden"
"System","System"
"You saved the configuration.","Die Konfiguration wurde gespeichert."
"Something went wrong while saving this configuration:","Beim Speichern der Einstellungen ist ein Fehler aufgetreten:"
"Page not found.","Seite nicht gefunden."
"Please specify the admin custom URL.","Bitte gebe die benutzerdefiniert Admin URL an."
"Invalid %1. %2","Ungültig %1. %2"
"Value must be a URL or one of placeholders: %1","Wert muss eine URL oder einer der folgenden Platzhalter sein: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Geben Sie eine URL oder einen Pfad an, der mit Platzhalter(n) %1 beginnt und mit ""/"" endet."
"%1 An empty value is allowed as well.","%1 ein leerer Wert ist zulässig."
"Specify a fully qualified URL.","Vollqualifizierte URL angeben."
"Selected allowed currency ""%1"" is not available in installed currencies.","Ausgewählte erlaubte Währung ""%1"" ist nicht in den installierten Währungen verfügbar."
"Default display currency ""%1"" is not available in allowed currencies.","Standardanzeigewährung ""%1"" ist nicht in den installierten Währungen verfügbar."
"Sorry, we haven't installed the base currency you selected.","Entschuldigen Sie, die Basiswährung welche Sie gewählt haben ist nicht verfügbar."
"We can't save the Cron expression.","Der Cron-Ausdruck kann nicht gespeichert werden."
"Sorry, we haven't installed the default display currency you selected.","Entschuldigen Sie, die Anzeigewährung die Sie gewählt haben ist nicht verfügbar."
"Sorry, the default display currency you selected is not available in allowed currencies.","Die gewählte Standardwährung ist nicht in den zulässigen Währungen verfügbar."
"Please correct the email address: ""%1"".","Bitte korrigieren Sie die E-Mail-Adresse ""%1""."
