"Create Permanent Redirect for old URL","Permanente Weiterleitung (301) für die alte URL anlegen"
"URL key for specified store already exists.","URL key for specified store already exists."
"Can not change the visibility of the product with SKU equals ""%1"". URL key ""%2"" for specified store already exists.","Can not change the visibility of the product with SKU equals ""%1"". URL key ""%2"" for specified store already exists."
"Invalid URL key. The ""%1"" URL key can not be used to generate Latin URL key. Please use Latin letters and numbers to avoid generating URL key issues.","Invalid URL key. The ""%1"" URL key can not be used to generate Latin URL key. Please use Latin letters and numbers to avoid generating URL key issues."
"Invalid URL key. The ""%1"" category name can not be used to generate Latin URL key. Please add URL key or change category name using Latin letters and numbers to avoid generating URL key issues.","Invalid URL key. The ""%1"" category name can not be used to generate Latin URL key. Please add URL key or change category name using Latin letters and numbers to avoid generating URL key issues."
"Invalid URL key","Ungültiger URL-Schlüssel"
"Category URL Suffix","Kategorie-URL-Suffix"
"You need to refresh the cache.","Bitte aktualisieren Sie den Cache."
"Product URL Suffix","Produkt-URL-Suffix"
"Use Categories Path for Product URLs","Kategorie-Pfad für Produkt-URLs nutzen"
"Create Permanent Redirect for URLs if URL Key Changed","Permanente Weiterleitung für URLs erzeugen, wenn sich der URL-Schlüssel geändert hat"
"Generate ""category/product"" URL Rewrites","Generate ""category/product"" URL Rewrites"
"<strong class=""colorRed"">Warning!</strong> Turning this option off will result in permanent removal of category/product URL rewrites without an ability to restore them.","<strong class=""colorRed"">Warning!</strong> Turning this option off will result in permanent removal of category/product URL rewrites without an ability to restore them."
