"Make Check payable to:","Lakukan pembayaran cek ke:"
"Send Check to:","Kirim Cek ke:"
"Purchase Order Number","Nomor pesanan pembelian"
"Make Check payable to: %1","Lakukan Pembayaran ke: %1"
"Purchase Order Number: %1","Nomor Pesanan Pembelian: %1"
"Make Check payable to","Lakukan Pembayaran ke"
"Send Check to","Kirim Periksa ke"
"Place Order","Memesan"
"Check / Money Order","Cek / Money Order"
"Enabled","Diaktifkan"
"New Order Status","Status Orde Baru"
"Sort Order","Pengurutan"
"Title","Judul"
"Payment from Applicable Countries","Pembayaran dari Negara yang Berlaku"
"Payment from Specific Countries","Pembayaran dari Negara Tertentu"
"Make Check Payable to","Jadikan Hutang Cek"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maksimum Orderan Total"
"Purchase Order","Pesanan pembelian"
"Bank Transfer Payment","Pembayaran Transfer Bank"
"Instructions","Instruksi"
"Cash On Delivery Payment","Cash On Delivery Payment"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
"Automatically Invoice All Items","Automatically Invoice All Items"
"Purchase order number is a required field.","Nomor PO wajib diisi."
