"All Payment Methods","Всички методи на плащане"
"Specific Payment Methods","Specific Payment Methods"
"B2B Payment Methods","B2B Методи за Плащане"
"All Enabled Payment Methods","Всички Активни Методи за плащане"
" (disabled)"," (деактивиран)"
"Payment Information","Информация за плащане"
"Available Payment Methods","Наличните методи за плащане"
"This company has no payment methods. Please contact store administrator.","Тази компания няма методи за плащане. Обърнете се към администратор на магазина."
"Default B2B Payment Methods","B2B методи на плащане по подразбиране"
"Applicable Payment Methods","Приложими Методи за плащане"
"Payment Methods","Методи на плащане"
"By default, the selected payment methods are available for all new companies. If your Magento site has multiple websites, on a specific website the buyer will be able to pay with the methods available for that website only.","Стандартно, избраните методи за плащане за достъпни за всички нови фирми. Ако вашият Magento сайт съдържа множество уеб сайтове, в конкретен уеб сайт, клиентът ще може да плати с методите достъпни само за тзи уеб сайт."
"Payment Information (View)","Информация за Плащане (Преглед)"
"Use config settings","Използвай настройките на конфигурацията"
