"The page doesn't exist. Verify and try again.","The page doesn't exist. Verify and try again."
"This block no longer exists.","This block no longer exists."
"Future Update already exists in this time range. Set a different range and try again.","Future Update already exists in this time range. Set a different range and try again."
"Currently Active","Currently Active"
"New Theme","New Theme"
"-- Please Select --","-- Ве молиме изберете --"
"Scheduled Changes","Закажи промени"
"Name","Име"
"Description","Опис"
"Action","Акција"
"Update Information","Ажурирај информација"
"Schedule Update","Закажи ажирирање"
"Update Name","Ажирирај име"
"Start Date","Start Date"
"End Date","End Date"
"General Information","General Information"
"Enable Block","Enable Block"
"Block Title","Block Title"
"Identifier","Identifier"
"Store View","Store View"
"Save as a New Update","Зачувај како ново ажурирање"
"Move to Another Update","Move to Another Update"
"Delete the Update","Избриши го ажурирањето"
"The block will be removed from the update and all scheduled changes will be lost.","The block will be removed from the update and all scheduled changes will be lost."
"200","200"
"100","100"
"50","50"
"30","30"
"20","20"
"Start Time","Start Time"
"End Time","End Time"
"Remove CMS page from Update","Remove CMS page from Update"
"Enable Page","Enable Page"
"Page Title","Наслов на страна"
"Content","Содржина"
"Content Heading","Content Heading"
"Search Engine Optimisation","Search Engine Optimisation"
"URL Key","URL Key"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"Page in Websites","Page in Websites"
"Design","Design"
"Layout","Layout"
"Layout Update XML","Layout Update XML"
"Custom Layout Update","Custom Layout Update"
"
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    ","
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    "
"The page will be removed from the update and all scheduled changes will be lost.","The page will be removed from the update and all scheduled changes will be lost."
"CMS Pages","CMS Pages"
"CMS Blocks","CMS Blocks"
"ID","ID"
"Title","Наслов"
"Status","Статус"
