"Widget Insertion","Vložení widgetu"
"Insert Widget","Vložit widget"
"label","označení"
"Choose...","Zvolit..."
"Close","Zavřít‏"
"Not Selected","Nezvoleno"
"Widget","Widget"
"Widget Type","Typ widgetu"
"-- Please Select --","-- Vyberte --"
"Manage Widget Instances","Správa instancí widgetů"
"Add Widget","Přidat widget"
"Save and Continue Edit","Použít"
"Widget ""%1""","Widget ""%1"""
"New Widget Instance","Nová instance widgetu"
"Custom Layouts","Vlastní rozložení"
"Page Layouts","Rozložení stránky"
"Please Select Container First","Nejdříve zvolte kontejner prosím"
"Storefront Properties","Nastavení v obchodu"
"Type","Typ"
"Design Package/Theme","Téma vzhledu"
"Widget Title","Název widgetu"
"Assign to Store Views","Přiřadit k zobrazení"
"Sort Order","Řadit podle"
"Sort Order of widget instances in the same container","Pořadí widgetů ve stejném kontejneru"
"Layout Updates","Úprava rozložení"
"Categories","Kategorie"
"Anchor Categories","Záchytné kategorie"
"Non-Anchor Categories","Nezáchytné kategorie"
"All Product Types","Všechny typy produktů"
"Products","Produkty"
"Generic Pages","Obecné stránky"
"All Pages","Všechny stránky"
"Specified Page","Určená stránka"
"Add Layout Update","Přidat úpravu rozložení"
"Remove Layout Update","Odstranit úpravu rozložení"
"Widget Options","Nastavení widget"
"Settings","Nastavení"
"Design Theme","Téma vzhledu"
"Continue","Pokračovat"
"Please specify a Widget Type.","Zvolte typ widgetu prosím."
"CMS","CMS"
"Please specify a correct widget.","Zvolte správný widget prosím."
"The widget instance has been deleted.","Instance widgetu byla odstraněna."
"New Widget","Nový widget"
"Widgets","Widgety"
"The widget instance has been saved.","Instance widgetu byla uložena."
"name","název"
"description","popis"
"We cannot create the widget instance because it is missing required information.","Widget nelze vytvořit, protože nejsou zadány nezbytné údaje."
"None","Nic"
"%1","%1"
"Container","Kontejner"
"Template","Šablona"
"All","Vše"
"Specific %1","Zvolená %1"
"Open Chooser","Otevřít výběr"
"Apply","Použít"
"Page","Stránka"
"Orders and Returns","Zjistit stav objednávky"
"Orders and Returns Search Form","Formulář ke zjištění stavu objednávky"
"Anchor Custom Title","Vlastní název kotvy"
"CMS Page Link Block Template","Šablona blokového odkazu CMS stránky"
"CMS Page Link Inline Template","Šablona řádkového odkazu CMS stránky"
"Display a Link to Loading a Spreadsheet","Zobrazit odkaz pro načtení tabulky"
"Defines whether a link to My Account","Určuje, zda odkaz bude na Můj účet"
"Link Text","Text odkazu"
"The text of the link to the My Account &gt; Order by SKU page","Text odkazu Můj účet &gt; Objednat podle SKU"
"Load a list of SKUs","Načíst seznam SKU"
"Product","Produkt"
"Select Product...","Vyberte produkt..."
"Conditions","Podmínky"
"Widget ID","ID widgetu"
"We're sorry, an error has occurred while loading widget options.","We're sorry, an error has occurred while loading widget options."
"Cancel","Cancel"
"Inserting a widget does not create a widget instance.","Inserting a widget does not create a widget instance."
