"Integrations","Integraties"
"Add New Integration","Toevoegen van nieuwe integratie"
"API","API"
"Save","Opslaan"
"Save & Activate","Opslaan & activeren"
"New Integration","Nieuwe integratie"
"Edit Integration '%1'","Bewerk integratie '%1'"
"Integration Info","Integratie Info"
"General","Algemeen"
"Name","Naam"
"Email","E-mail"
"Callback URL","Callback-URL"
"Enter URL where Oauth credentials can be sent when using Oauth for token exchange. We strongly recommend using https://.","Voer URL waar Oauth referenties kunnen worden verzonden wanneer je Oauth token uitwisseling gebruikt. Wij raden het gebruik van https:// aan."
"Identity link URL","Identiteit link URL"
"URL to redirect user to link their 3rd party account with this Magento integration credentials.","URL voor het omleiden van de gebruiker om de 3de partij account met deze Magento integratie referenties te koppelen."
"Current User Identity Verification","Huidige gebruiker verificatie"
"Your Password","Je wachtwoord"
"Integration Details","Integratie Details"
"Basic Settings","Basis instellingen"
"Integration Tokens for Extensions","Integratie Tokens voor extensies"
"Consumer Key","Consument-sleutel"
"Consumer Secret","Consument-geheim"
"Access Token","Toegangs-token"
"Access Token Secret","Toegang Token geheim"
"Uninstall the extension to remove this integration","Deinstalleer de extensie om de integratie te verwijderen"
"Remove","Verwijder"
"View","Bekijk"
"Edit","Bewerken"
"Activate","Activeer"
"Reauthorize","Opnieuw autoriseren"
"Integration not secure","Integratie niet veilig"
"Uninstall the extension to remove integration '%1'.","Deïnstalleer de extensie om de integratie '%1' te verwijderen."
"This integration no longer exists.","Deze integratie bestaat niet langer."
"The integration '%1' has been deleted.","De integratie '%1' werd verwijderd."
"Integration ID is not specified or is invalid.","Integratie-ID is niet opgegeven of is ongeldig."
"Internal error. Check exception log for details.","Interne fout. Controleer uitzondering logboek voor meer informatie."
"View ""%1"" Integration","Weergave ""%1"" integratie"
"Edit ""%1"" Integration","""%1"" integratie bewerken"
"Warning! Integrations not using HTTPS are insecure and potentially expose private or personally identifiable information","Waarschuwing! Integraties zonder HTTPS zijn onveilig en kunnen privé of persoonlijk informatie blootstellen"
"The integrations created in the config file can't be edited.","The integrations created in the config file can't be edited."
"The integration '%1' has been saved.","De integratie '%1' is opgeslagen"
"The integration was not saved.","De integratie is niet opgeslagen."
"The integration '%1' has been re-authorized.","De integratie '%1' is opnieuw geautoriseerd."
"The integration '%1' has been activated.","Integratie '%1' werd geactiveerd."
"Integration '%1' has been sent for re-authorization.","Integratie '%1' is opnieuw verzonden voor autorisatie."
"Integration '%1' has been sent for activation.","Integratie '%1' is verstuurd voor activatie."
"A consumer with ""%1"" ID doesn't exist. Verify the ID and try again.","A consumer with ""%1"" ID doesn't exist. Verify the ID and try again."
"title","titel"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"The tokens couldn't be revoked.","The tokens couldn't be revoked."
"An error occurred during the attempt to grant permissions. For details, see the exceptions log.","An error occurred during the attempt to grant permissions. For details, see the exceptions log."
"Something went wrong while deleting roles and permissions. You can find out more in the exceptions log.","Er ging iets mis tijdens het verwijderen van rollen en bevoegdheden. Meer informatie in het exceptions logboek."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"Failed to revoke customer's access tokens","Failed to revoke customer's access tokens"
"Inactive","Inactief"
"Active","Actief"
"Reset","Resetten"
"The integration with name ""%1"" exists.","The integration with name ""%1"" exists."
"The integration with ID ""%1"" doesn't exist.","The integration with ID ""%1"" doesn't exist."
"One or more <a href=""%1"">integrations</a> have been reset because of a change to their xml configs.","Een of meer <a href=""%1""> integraties</a> zijn vanwege een wijziging in de XML-configs gereset."
"Invalid Callback URL","Ongeldige Callback-URL"
"Invalid Rejected Callback URL","Ongeldige afgewezen-Callback-URL"
"Incorrect timestamp value in the oauth_timestamp parameter","Onjuiste timestamp waarde in de oauth_timestamp parameter"
"The nonce is already being used by the consumer with ID %1","De nonce wordt al gebruikt door de gebruiker met ID %1"
"An error occurred validating the nonce","Er is een fout opgetreden bij het valideren van de nonce"
"Cannot convert to access token due to token is not request type","Kan niet converteren naar toegang token gezien de token geen verzoektype is"
"Consumer key has expired","Gebruikerssleutel is verlopen"
"Cannot create request token because consumer token is not a verifier token","Kan geen aanvraag sleutel aanmaken omdat de gebruikerssleutel geen geldig verificatie sleutel is"
"Request token is not associated with the specified consumer","Aanvraag sleutel is niet gekoppeld aan de opgegeven gebruiker"
"Token is already being used","Token wordt al gebruikt"
