"Back","Обратно"
"Reset","Изчисти"
"Delete Role","Изтрий ролята"
"Are you sure you want to do this?","Сигурни ли сте, че искате да направите това?"
"Save Role","Запиши роля"
"Roles","Роли"
"Add New Role","Добавяне на нова роля"
"Role Information","Информация за роля"
"Role Users","Ролята на потребителите"
"User ID","ИД на потребител"
"User Name","Потребителско име"
"First Name","Име"
"Last Name","Фамилия"
"Email","Имейл"
"Status","Статус"
"Active","Активно"
"Inactive","Неактивен"
"Role Resources","Роля ресурси"
"Role Info","Информация за роля"
"Role Name","Име на роля"
"Current User Identity Verification","Верификация на идентичносттта на потребителя"
"Your Password","Вашата парола"
"Add New User","Добавяне на нов потребител"
"Users","Потребители"
"Save User","Запази потребителя"
"Delete User","Изтриване на потребител"
"Are you sure you want to revoke the user's tokens?","Наистина искате да отнемете на клиента точки?"
"Force Sign-In","Принудително влизане"
"Edit User '%1'","Редактиране на потребител ""%1"""
"New User","Нов потребител"
"Account Information","Информация за профила"
"User Email","Потребителски имейл"
"Password","Парола"
"New Password","Нова парола"
"Password Confirmation","Потвърждение на паролата"
"Interface Locale","Локализация на интерфейса"
"This account is","Този профил е"
"Account Status","Състояние на профил"
"User Roles Information","Потребителски роли информация"
"Assigned","Възложен"
"Role","Роля"
"User Information","Информация за потребителя"
"User Info","Информация за потребителя"
"User Role","Потребителска роля"
"Please correct the password reset token.","Моля, поправете маркер за възстановяване на паролата."
"Please specify the correct account and try again.","Задайте правилният профил и опитайте отново."
"Your password reset link has expired.","Вашият линк за обновяване на паролата е изтекъл."
"We're unable to send the password reset email.","Не може да изпрати имейл за възстановяване на паролата."
"We'll email you a link to reset your password.","Ние ще ви изпратим линк да промените паролата си."
"Please correct this email address:","Коригирайте този имейл адрес:"
"Please enter an email address.","Моля, въведете адрес на електронна поща."
"You updated your password.","Вие актуализирахте вашата парола."
"Locked Users","Заключени потребители"
"Unlocked %1 user(s).","Отключен %1 потребител(и)."
"System","Системи"
"Permissions","Разрешения"
"You cannot delete your own account.","Не можете да изтриете своя профил."
"You have entered an invalid password for current user.","You have entered an invalid password for current user."
"You deleted the user.","Изтрили сте потребителя."
"We can't find a user to delete.","Не можем да намерим страница за изтриване."
"This user no longer exists.","Този потребител вече не съществува."
"Edit User","Редактиране на потребител"
