"Entity type model '%1' is not found","Não foi encontrado o modelo de entidade '%1'"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","O modelo do tipo de entidade deve ser uma instância de \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export.","Não existem tipos de produto disponíveis para exportação."
"'Entity type model must be an instance of ' .","'Modelo de tipo de entidade deve ser uma instância de'."
"Wrong attribute set code ""%1"", please correct it and try again.","Conjunto de atributos ""%1"" errado, por favor, corrija-o e tente novamente."
"Category ""%1"" has not been created.","A categoria ""%1"" não foi criada."
"File directory '%1' is not readable.","O diretório de ficheiros '%1' não tem permissões de leitura."
"File directory '%1' is not writable.","O diretório de ficheiros '%1' não tem permissões de escrita."
"Value for 'price' sub attribute in 'store' attribute contains incorrect value","O valor para o sub atributo 'price' dentro do atributo 'store' contém um valor incorreto"
"Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: %1","O valor para o sub atributo 'type' dentro do atributo 'custom_options' contém um valor incorreto, os valores aceites são: 'dropdown', 'checkbox"
"Please enter a value for title.","Por favor insira um valor para o título."
"Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value","O valor para o sub atributo 'price' dentro do atributo 'custom_options' contém um valor incorreto"
"Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value","O valor para o sub atributo 'maximum characters' dentro do atributo 'custom_options' contém um valor incorreto"
"Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value","O valor para o sub atributo 'sort order' dentro do atributo 'custom_options' contém um valor incorreto"
"Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value","O valor para o sub atributo 'value price' dentro do atributo 'custom_options' contém um valor incorreto"
"This name is already being used for custom option. Please enter a different name.","Este nome já está a ser usado para uma opção personalizada. Por favor insira um nome diferente."
"Custom options have different types.","Opções personalizadas têm tipos diferentes."
"Every option entity must have a parent product entity.","Cada entidade opção deve ter uma entidade-pai de produto."
"Please correct the parameters.","Por favor corrija os parâmetros."
"Filename is too long; must be %1 characters or less","O nome do arquivo é muito longo; deve ter %1 caracteres ou menos"
"Could not parse resource url.","Não foi possível analisar a url do recurso."
"Disallowed file type.","Tipo de ficheiro não permitido."
"Import images directory must be writable in order to process remote images.","Diretório de imagens de importação deve ter permissão de escrita para processar imagens remotas."
"File '%1' was not found or has read restriction.","O ficheiro '%1' não foi encontrado ou tem restrições de leitura."
"Invalid Stock data for insert","Dados do stock inválidos para inserir"
