"Entity type model '%1' is not found","Τύπος μοντέλο οντότητας '%1' δεν βρέθηκε"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Ο τύπος μοντέλου οντότητας πρέπει να είναι ένα παράδειγμα του \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export.","Δεν Υπάρχουν τύποι του προϊόντος για εξαγωγή."
"'Entity type model must be an instance of ' .","'Ο τύπος μοντέλου οντότητας πρέπει να είναι ενα αντίγραφο του '."
"Wrong attribute set code ""%1"", please correct it and try again.","Λάθος κωδικός συνόλου χαρακτηριστικών ""%1"", παρακαλώ διορθώστε και δοκιμάστε ξανά."
"Category ""%1"" has not been created.","Η Κατηγορία ""%1"" δεν έχει δημιουργηθεί."
"File directory '%1' is not readable.","Ο κατάλογος του αρχείου '%1' δεν είναι αναγνώσιμος."
"File directory '%1' is not writable.","Ο κατάλογος του αρχείου '%1' δεν είναι εγγράψιμος."
"Value for 'price' sub attribute in 'store' attribute contains incorrect value","Η Τιμή για το υπό-χαρακτηριστικό 'price' στο χαρακτηριστικό 'store' περιέχει εσφαλμένη τιμή"
"Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: 'dropdown', 'checkbox'","Η Τιμή για το υπό-χαρακτηριστικό 'type' στο χαρακτηριστικό 'custom_options' περιέχει εσφαλμένη τιμή, αποδεκτές τιμές: 'dropdown', 'checkbox'"
"Please enter a value for title.","Παρακαλώ εισάγετε μια τιμή για τον τίτλο."
"Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value","Η Τιμή για το υπό-χαρακτηριστικό 'price' στο χαρακτηριστικό 'custom_options' περιέχει εσφαλμένη τιμή"
"Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value","Η Τιμή για το υπό-χαρακτηριστικό 'maximum characters' στο χαρακτηριστικό 'custom_options' περιέχει εσφαλμένη τιμή"
"Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value","Η Τιμή για το υπό-χαρακτηριστικό 'sort order' στο χαρακτηριστικό 'custom_options' περιέχει εσφαλμένη τιμή"
"Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value","Η Τιμή για το υπό-χαρακτηριστικό 'value price' στο χαρακτηριστικό 'custom_options' περιέχει εσφαλμένη τιμή"
"This name is already being used for custom option. Please enter a different name.","Αυτό το όνομα χρησιμοποιείται ήδη για κάποια προσαρμοσμένη επιλογή. Παρακαλώ εισάγετε ένα διαφορετικό όνομα."
"Custom options have different types.","Οι προσαρμοσμένες επιλογές έχουν διαφορετικούς τύπους."
"Every option entity must have a parent product entity.","Κάθε επιλογή οντότητας πρέπει να έχει μια γονική οντότητα προϊόντος."
"Please correct the parameters.","Παρακαλώ διορθώστε τις παραμέτρους."
"File '%1' was not found or has read restriction.","Το αρχείο '%1' δεν βρέθηκε ή έχει περιορισμό ανάγνωσης."
"Entity type model must be an instance of Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType","Ο τύπος μοντέλου οντότητας πρέπει να είναι ένα παράδειγμα του \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"Entity type model must be an instance of '%1'","Ο τύπος μοντέλου οντότητας πρέπει να είναι ενα αντίγραφο του «%1»"
"Disallowed file type.","Μη επιτρεπόμενος τύπος αρχείου."
"Value for multiselect attribute %s contains duplicated values","Τιμή για πολλαπλά χαρακτηριστικά %s περιέχει διπλότυπες τιμές"
"Invalid Stock data for insert","Μη έγκυρα δεδομένα Αποθέματος για εισαγωγή"
"Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: %1","Η Τιμή για το υπό-χαρακτηριστικό 'type' στο χαρακτηριστικό 'custom_options' περιέχει εσφαλμένη τιμή, αποδεκτές τιμές: %1"
