"Entity type model '%1' is not found","Type entiteitsmodel '%1' is niet gevonden"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Entiteitstype model moet onderdeel zijn van\Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export.","Er zijn geen product-typen beschikbaar om te exporteren."
"'Entity type model must be an instance of ' .","'Entiteit type model moet een exemplaar zijn van'."
"Wrong attribute set code ""%1"", please correct it and try again.","Verkeerde attribuut set code ""%1"", corrigeer en probeer het nogmaals."
"Category ""%1"" has not been created.","Categorie ""%1"" is niet gemaakt."
"File directory '%1' is not readable.","Bestandsmap '%1' is niet leesbaar."
"File directory '%1' is not writable.","Bestandsmap '%1' is niet schrijfbaar."
"Value for 'price' sub attribute in 'store' attribute contains incorrect value","Waarde voor 'prijs' subkenmerk in 'winkel' kenmerk bevat onjuiste waarde"
"Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: %1","Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: %1"
"Please enter a value for title.","Voer een titel in."
"Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value","Waarde voor 'prijs' subattribuut in 'custom_options' attribuut bevat een onjuiste waarde"
"Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value","Waarde voor 'maximale karakters' sub attribuut in 'custom_options' kenmerk bevat onjuiste waarde"
"Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value","Waarde voor 'sorteervolgorde' subkenmerk in 'custom_options' kenmerk bevat onjuiste waarde"
"Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value","Waarde voor 'prijs waarde' subkenmerk in 'custom_options' kenmerk bevat onjuiste waarde"
"This name is already being used for custom option. Please enter a different name.","Deze naam wordt al gebruikt voor aangepaste optie. Voer een andere naam in."
"Custom options have different types.","Aangepaste opties hebben verschillende types."
"Every option entity must have a parent product entity.","Elke optie-entiteit moet een bovenliggende product-entiteit hebben."
"Please correct the parameters.","Corrigeer de parameters."
"Filename is too long; must be %1 characters or less","Filename is too long; must be %1 characters or less"
"Could not parse resource url.","Could not parse resource url."
"Disallowed file type.","Disallowed file type."
"Import images directory must be writable in order to process remote images.","Import images directory must be writable in order to process remote images."
"File '%1' was not found or has read restriction.","Bestand '%1' is niet gevonden of beperking heeft gelezen."
"Invalid Stock data for insert","Invalid Stock data for insert"
