"Back","Zurück"
"Backup Log Details","Source Model"
"Create","Anlegen"
"Requested system report has no data to output.","Der angeforderte System Report enthält keine Daten für die Ausgabe."
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","Sind Sie sicher, dass Sie den System Report löschen wollen?"
"Download","Herunterladen"
"Go to Top","Nach Oben"
"Report","Bericht"
"System Report Information","Systemberichtsinformationen"
"Requested system report has no data to display.","Der angeforderte System Report enthält keine Daten für die Ausgabe."
"Output path %1 doesn't exist","Ausgabepfad %1 existiert nicht"
"Unknown DB param: %1","Unbekannter DB Parameter: %1"
"Paths file already exists","Paths Datei existiert bereits"
"Paths file cannot be created","Dateipfad kann nicht erstellt werden"
"Please select item(s).","Bitte Artikel wählen"
"A total of %1 record(s) have been deleted.","Insgesamt wurden %1 Einträge gelöscht."
"Support","Kundendienst"
"Data Collector","Datenkollektor"
"The backup has been saved.","Das Backup wurde gespeichert."
"Failed to save backup with error: %1","Sicherung konnte nicht mit Fehler gespeichert werden: %1"
"An error occurred while saving backup","Beim Speichern der Sicherung ist ein Fehler aufgetreten"
"All processes should be complete","Alle Prozesse sollten abgeschlossen sein"
"Wrong param id","Falsche Parameteridentifikation"
"The backup has been deleted.","Das Backup wurde gelöscht."
"Cannot delete backup","Backup kann nicht gelöscht werden."
"File does not exist","Datei existiert nicht"
"Log Details","Logdetails"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","Bei der Massenlöschung der Datensammlungs-Backups ist ein Fehler aufgetreten. Bitte überprüfen Sie das Protokoll und versuchen Sie es erneut."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","Nachdem Sie Ihre Auswahl vorgenommen haben, klicken Sie auf ""Erstellen"" und halten Sie dann nach der Erstellung des Systemberichts. Dies kann einige Minuten dauern. Sie erhalten eine Benachrichtigung, sobald dieser Schritt abgeschlossen ist."
"Create System Report","Systembericht erstellen"
"Unable to find a system report to delete.","Ein Systembericht zum löschen kann nicht gefunden werden."
"The system report has been deleted.","Der Systemreport wurde gelöscht."
"An error occurred while deleting the system report. Please review log and try again.","Beim Löschen des Systemberichts ist ein Fehler aufgetreten. Bitte überprüfen Sie das Protokoll und versuchen Sie es erneut."
"Requested system report no longer exists.","Angeforderter Systembericht existiert nicht mehr"
"Unable to read system report data to display.","Systemberichtanzeigedaten können nicht gelesen werden."
"No groups were specified to generate system report.","Es wurden keine Gruppen angegeben, um den Systembericht zu generieren."
"The system report has been generated.","Der Systemreport wurde erstellt."
"An error occurred while the system report was being created. Please review the log and try again.","Während der Erstellung des Systemberichts ist ein Fehler aufgetreten. Bitte überprüfen Sie das Protokoll und versuchen Sie es erneut."
"System Reports","Systemberichte"
"An error occurred during mass deletion of system reports. Please review log and try again.","Bei der Massenlöschung der Systemberichte ist ein Fehler aufgetreten. Bitte überprüfen Sie das Protokoll und versuchen Sie es erneut."
"Utility %1 not found","Utility %1 wurde nicht gefunden"
"Unknown utility: %1","Unbekannte Utility: %1"
"Cannot set root directory.","Root-Verzeichnis kann nicht erstellt werden."
"Support Module doesn't support %s operation system","Das Support-Modul unterstützt %s Operationssystem nicht"
