"All","Tous"
"None","Aucun"
"Allowed Scopes","Portées autorisées"
"You need more permissions to delete this item(s): %1.","Permissions insuffisantes pour supprimer l'article(s): %1."
"You need more permissions to apply some of the rule updates.","Permissions insuffisantes pour appliquer certaines règles de mises à jour."
"Please assign this entity to a store view.","Veuillez assigner cette entité à une vue magasin."
"You can create orders only in an active store.","Vous pouvez créer des commandes uniquement dans un store activé."
"Please assign this item to a store view.","S.V.P. lier cet article à une vue du magasin."
"You need more permissions to save this item.","Vous n'avez pas les droits requis pour sauvegarder cet élément."
"You need more permissions to delete this item.","Vous n'avez pas les droits requis pour supprimer cet élément."
"You need more permissions to view this item.","Vous n'avez pas les droits requis pour afficher cet élément."
"Please specify at least one website or one store group.","Veuillez spécifier au moins un site web ou un groupe de magasins."
"You need more permissions to set All Scopes to a Role.","Vous n'avez pas les droits requis pour définir tous les contextes d'un rôle."
"Incorrect website ID: %1","ID de site web incorrect : %1"
"You need more permissions to access website ""%1"".","Vous n'avez pas les droits requis pour accéder au site web « %1 »."
"Incorrect store ID: %1","Id de magasin incorrect: %1"
"You need more permissions to save this setting.","Vous avez besoin de plus d'autorisations pour enregistrer ce paramètre."
"Role Scopes","Portées du rôle"
"Custom","Personnalisé"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","Vous n'avez pas de permissions suffisantes pour enregistrer cet élément dans le champ de magasin ou de site présentement sélectionné. S'il-vous-plaît changez le champ pour un magasin ou un site dans lequel vous avez les droits suffisants pour cette opération"
"More permissions are needed to delete the ""%1"" item.","Plus de permissions sont requises pour supprimer l'article ""%1""."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Cette entité doit être assignée à une vue boutique. Veuillez vérifier l'assignation de l'entité et réessayer."
"Orders can only be completed in an active store. Verify the store and try again.","Les commandes ne peuvent être effectuées que dans un magasin actif. Vérifiez le magasin et réessayez."
"This item needs to be assigned to a store view. Assign item and try again.","Cet élément doit être assigné à une vue boutique. Veuillez assigner cet élément et réessayer."
"More permissions are needed to save this item.","Plus d'autorisations sont nécessaires pour enregistrer cet élément."
"More permissions are needed to delete this item.","Plus d'autorisations sont nécessaires pour supprimer cet élément."
"More permissions are needed to view this item.","Plus d'autorisations sont nécessaires pour afficher cet élément."
"At least one website or store group needs to be selected. Select and try again.","Au moins un site Web ou un groupe de magasins doit être sélectionné. Sélectionnez et réessayez."
"More permissions are needed to set All Scopes to a Role.","Davantage d’autorisations sont nécessaires pour assigner toutes les vues à un rôle."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","L’identifiant du site ""%1"" est incorrect. Veuillez vérifier l’identifiant du site et réessayer."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","L’identifiant de la boutique ""%1"" est incorrect. Veuillez vérifier l’identifiant de la boutique et réessayer."
"More permissions are needed to save this setting.","Plus de permissions sont nécessaires pour enregistrer ce paramètre."
