"All","Összes"
"None","Egyik sem"
"Allowed Scopes","Engedélyezett hatókörök"
"You need more permissions to delete this item(s): %1.","Az elem, tétel(s): %1 törléséhez több jogosultság szükséges."
"You need more permissions to apply some of the rule updates.","Több jogosultságra van szükség egyes szabályok frissítéseinek alkalmazásához."
"Please assign this entity to a store view.","Kérlek, rendeld az entitást egy webáruház nézethez."
"You can create orders only in an active store.","Csak aktív webáruházban lehet létrehozni rendelést."
"Please assign this item to a store view.","Kérlek, rendeld az elemet egy webáruház nézethez."
"You need more permissions to save this item.","Több jogosultságra van szükség az elem elmentéséhez."
"You need more permissions to delete this item.","Több jogosultságra van szükség az elem törléséhez."
"You need more permissions to view this item.","Több jogosultságra van szükség az elem megtekintéséhez."
"Please specify at least one website or one store group.","Kérlek, adj meg legalább egy weboldalt vagy webáruház csoportot."
"You need more permissions to set All Scopes to a Role.","Több jogosultságra van szükség az összes hatókör egy szerepkörhöz való beállításához."
"Incorrect website ID: %1","Helytelen weboldal ID: %1"
"You need more permissions to access website ""%1"".","""%1"" weboldal eléréséhez több jogosultságra van szükség."
"Incorrect store ID: %1","Helytelen webáruház ID: %1"
"You need more permissions to save this setting.","Több jogosultságra van szükség a beállítás elmentéséhez."
"Role Scopes","Szerepkör hatókörök"
"Custom","Egyedi"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","Nincs jogosultsága elmenteni ezt az elemet az aktuális bolt nézetben. Váltson egy engedélyezett bolt nézetre"
"More permissions are needed to delete the ""%1"" item.","További engedélyek szükségesek a ""%1"" elem törléséhez."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Ezt az entitást ki kell rendelni egy bolt nézethez. Ellenőrizze az entitások hozzárendelését, és próbálkozzon újra."
"Orders can only be completed in an active store. Verify the store and try again.","Megrendeléseket csak aktív boltban lehet leadni. Ellenőrizze a bolt állapotát, és próbálkozzon újra."
"This item needs to be assigned to a store view. Assign item and try again.","Ezt a tételt egy áruházi nézethez kell hozzárendelni. Rendelje hozzá, és próbálkozzon újra."
"More permissions are needed to save this item.","További engedélyek szükségesek az elem mentéséhez."
"More permissions are needed to delete this item.","További engedélyek szükségesek az elem törléséhez."
"More permissions are needed to view this item.","További engedélyek szükségesek az elem megtekintéséhez."
"At least one website or store group needs to be selected. Select and try again.","Legalább egy weboldal vagy bolt csoportot ki kell választani. Jelölje ki, majd próbálkozzon újra."
"More permissions are needed to set All Scopes to a Role.","További jogosultságokra van szükség ahhoz, hogy az összes hatókört egy szerephez beállítsa."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","A(z) ""%1"" webhelyazonosító helytelen. Ellenőrizze a webhelyazonosítót, és próbálkozzon újra."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","A ""%1"" boltazonosító érvénytelen. Ellenőrizze az azonosítót, és próbálja újra."
"More permissions are needed to save this setting.","További engedélyek szükségesek a beállítás mentéséhez."
