"All","Alle"
"None","Ingen"
"Allowed Scopes","Tillatte områder"
"You need more permissions to delete this item(s): %1.","Du trenger flere tillatelser til å slette element(et): %1."
"You need more permissions to apply some of the rule updates.","Du trenger flere tillatelser for å utføre noen av regeloppdateringene."
"Please assign this entity to a store view.","Vennligst tilordne denne enheten til en butikk."
"You can create orders only in an active store.","Du kan kun opprette ordre i en aktiv butikk."
"Please assign this item to a store view.","Du må tilordne dette elementet til en butikkvisning."
"You need more permissions to save this item.","Du trenger mer tillatelse for å lagre dette elementet."
"You need more permissions to delete this item.","Du trenger flere tillatelser for å slette dette elementet."
"You need more permissions to view this item.","Du trenger mer tillatelse til å vise dette elementet."
"Please specify at least one website or one store group.","Angi minst ett nettsted eller en gruppe."
"You need more permissions to set All Scopes to a Role.","Du trenger flere tillatelser for å sette alle rolleomfang til en rolle."
"Incorrect website ID: %1","Feil nettsted-ID: %1"
"You need more permissions to access website ""%1"".","Du trenger flere tillatelser for å få tilgang til nettside ""%1""."
"Incorrect store ID: %1","Feil butikk ID: %1"
"You need more permissions to save this setting.","Du trenger flere tillatelser for å lagre denne innstillingen."
"Role Scopes","Rolleområder"
"Custom","Egendefinert"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","Du har ikke tillatelse til å lagre dette elementet i nåværende butikk-visning. Vennligst bytt til tillatt butikk-visning"
"More permissions are needed to delete the ""%1"" item.","Flere tillatelser er nødvendig for å slette elementet ""%1""."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Enheten må tilordnes til en butikk. Kontroller enhets-oppgaven og prøv igjen."
"Orders can only be completed in an active store. Verify the store and try again.","Bestillinger kan kun fullføres i en aktiv butikk. Bekreft butikken å prøv igjen."
"This item needs to be assigned to a store view. Assign item and try again.","Dette elementet må tilordnes til en butikk. Tilordne varen og prøv på nytt."
"More permissions are needed to save this item.","Flere tillatelser nødvendig for å lagre dette elementet."
"More permissions are needed to delete this item.","Flere tillatelser er nødvendig for å slette elementet."
"More permissions are needed to view this item.","Flere tillatelser nødvendig for å vise dette elementet."
"At least one website or store group needs to be selected. Select and try again.","Minst én nettside eller butikkgruppe må velges. Velg og prøv igjen."
"More permissions are needed to set All Scopes to a Role.","Flere tillatelser nødvendig for å sette Alle Scopes til en rolle."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","ID'en til ""%1""-nettsted er feil. Kontroller nettsted ID'en og prøv igjen."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","ID'en til ""%1""-butikken er feil. Kontroller nettsted ID'en og prøv igjen."
"More permissions are needed to save this setting.","Flere tillatelser nødvendig for å lagre denne innstillingen."
