"All","Всички"
"None","Не"
"Allowed Scopes","Допустим обхват"
"You need more permissions to delete this item(s): %1.","You need more permissions to delete this item(s): %1."
"You need more permissions to apply some of the rule updates.","Вие трябва да имате повече правомощия, за да може да промените част от правилата."
"Please assign this entity to a store view.","Please assign this entity to a store view."
"You can create orders only in an active store.","You can create orders only in an active store."
"Please assign this item to a store view.","Please assign this item to a store view."
"You need more permissions to save this item.","You need more permissions to save this item."
"You need more permissions to delete this item.","You need more permissions to delete this item."
"You need more permissions to view this item.","You need more permissions to view this item."
"Please specify at least one website or one store group.","Please specify at least one website or one store group."
"You need more permissions to set All Scopes to a Role.","You need more permissions to set All Scopes to a Role."
"Incorrect website ID: %1","Incorrect website ID: %1"
"You need more permissions to access website ""%1"".","Вие имате нужда от повече правомощия, за да достъпите сайт ""%1""."
"Incorrect store ID: %1","Incorrect store ID: %1"
"You need more permissions to save this setting.","You need more permissions to save this setting."
"Role Scopes","Обхвати на роля"
"Custom","По избор"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view"
"More permissions are needed to delete the ""%1"" item.","Правата ви не са достатъчни за да се изтрие ""%1"" елемент."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Този обект трябва да бъде зададен към изгледа на магазина. Проверете дали обекта е зададен правилно и опитайте отново."
"Orders can only be completed in an active store. Verify the store and try again.","Поръчките могат да бъдат завършени само в активен магазин. Проверете магазина и опитайте отново."
"This item needs to be assigned to a store view. Assign item and try again.","Този елемент трябва да бъде асоцииран към даден магазин. Насочете елемент и опитайте отново."
"More permissions are needed to save this item.","Повече права са необходими за да запазите този елемент."
"More permissions are needed to delete this item.","Повече права са необходими за да изтриете този елемент."
"More permissions are needed to view this item.","Повече права са необходими за да разгледате този елемент."
"At least one website or store group needs to be selected. Select and try again.","Необходимо е да бъде избран поне един уебсайт или група магазини. Изберете и опитайте отново."
"More permissions are needed to set All Scopes to a Role.","Необходими са повече права, за да зададете правата на потребителските роли."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","Идентификационният номер ""%1"" на уеб сайта е неправилен. Проверете идентификационния номер на уеб сайта и опитайте отново."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","Идентификационният номер на магазина ""%1"" е неправилен. Проверете идентификационния номер на магазина и опитайте отново."
"More permissions are needed to save this setting.","Повече права са необходими за да запазите тази настройка."
