"All","Visi"
"None","Neviens"
"Allowed Scopes","Atļautie parametri"
"You need more permissions to delete this item(s): %1.","Jums nav nepieciešamās atļaujas dzēst šo produktu(s): %1."
"You need more permissions to apply some of the rule updates.","Jums nepieciešamas papildus tiesības, lai apstiprinātu noteikumu izmaiņas."
"Please assign this entity to a store view.","Iestatīt šo produktu veikala skatam."
"You can create orders only in an active store.","Jūs varat izveidot pasūtījumus tikai aktīvā veikalā."
"Please assign this item to a store view.","Iestatīt šo produktu veikala skatam."
"You need more permissions to save this item.","Jums nav nepieciešamās atļaujas saglabāt šo produktu."
"You need more permissions to delete this item.","Jums nav nepieciešamās atļaujas dzēst šo produktu."
"You need more permissions to view this item.","Jums nav nepieciešamās atļaujas apskatīt šo produktu."
"Please specify at least one website or one store group.","Norādiet vismaz vinu lapu vai veikalu grupu."
"You need more permissions to set All Scopes to a Role.","Jums nav nepieciešamās atļaujas iestatīt Visus Parametrus Funkcijai."
"Incorrect website ID: %1","Nepareizs lapas ID: %1"
"You need more permissions to access website ""%1"".","Jums nepieciešama atļauja lai piekļūtu lapai ""%1""."
"Incorrect store ID: %1","Nepareizs veikala ID: %1"
"You need more permissions to save this setting.","Jums nepieciešama atļauja lai saglabātu šos iestatījumus."
"Role Scopes","Funkciju Parametri"
"Custom","Pielāgots"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","Jums nav atļaujas saglabāt šo produktu šajā veikala skatā. Pārslēdzieties uz atļautu veikala skatu"
"More permissions are needed to delete the ""%1"" item.","Lai nodzēstu produktu ""%1"" nepieciešamas lielākas atļaujas."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Uzņēmumu ir jāpievieno veikala skatam. Pārbaudiet vai uzņēmums ir pievienots un mēģiniet vēlreiz."
"Orders can only be completed in an active store. Verify the store and try again.","Pasutījumus var veikt tikai aktīvā veikalā. Pārbaudiet un mēģiniet vēlreiz."
"This item needs to be assigned to a store view. Assign item and try again.","Šo produktu ir jāpievieno veikala skatam. Pievienojiet un mēģiniet vēlreiz."
"More permissions are needed to save this item.","Nepieciešamas lielākas atļaujas lai saglabātu šo produktu."
"More permissions are needed to delete this item.","Nepieciešamas lielākas atļaujas lai nodzēstu šo produktu."
"More permissions are needed to view this item.","Nepieciešamas lielākas atļaujas lai apskatītu šo produktu."
"At least one website or store group needs to be selected. Select and try again.","Jāizvēlas vismaz viena mājas lapa vai veikalu grupa. Izvēlieties un mēģiniet vēlreiz."
"More permissions are needed to set All Scopes to a Role.","Nepieciešamas lielākas piekļuves tiesības lai iestatītu Darbības jomu."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","Lapai ""%1"" ir nepareizs ID. Pārbaudiet lapas ID un mēģiniet vēlreiz."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","Veikalam ""%1"" ir nepareizs ID. Pārbaudiet lapas ID un mēģiniet vēlreiz."
"More permissions are needed to save this setting.","Nepieciešamas lielākas piekļuves tiesības lai saglabātu šo iestatījumu."
