"All","Default Category"
"None","なし"
"Allowed Scopes","許可されたスコープ"
"You need more permissions to delete this item(s): %1.","You need more permissions to delete this item(s): %1."
"You need more permissions to apply some of the rule updates.","いくつかのルールアップデートを適用するには、さらに多くの権限が必要です。"
"Please assign this entity to a store view.","Please assign this entity to a store view."
"You can create orders only in an active store.","You can create orders only in an active store."
"Please assign this item to a store view.","Please assign this item to a store view."
"You need more permissions to save this item.","You need more permissions to save this item."
"You need more permissions to delete this item.","You need more permissions to delete this item."
"You need more permissions to view this item.","You need more permissions to view this item."
"Please specify at least one website or one store group.","Please specify at least one website or one store group."
"You need more permissions to set All Scopes to a Role.","You need more permissions to set All Scopes to a Role."
"Incorrect website ID: %1","Incorrect website ID: %1"
"You need more permissions to access website ""%1"".","ウェブサイト""%1"" にアクセスする権限がありません。権限の設定を変更する必要があります。"
"Incorrect store ID: %1","Incorrect store ID: %1"
"You need more permissions to save this setting.","You need more permissions to save this setting."
"Role Scopes","権限範囲"
"Custom","カスタム"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view"
"More permissions are needed to delete the ""%1"" item.","""%1"" を削除するための権限が不足しています。"
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","このエンティティはストアビューに割り当てられる必要があります。割当を確認してやり直してください。"
"Orders can only be completed in an active store. Verify the store and try again.","注文はアクティブなストアでのみ完了できます。ストアを確認してやり直してください。"
"This item needs to be assigned to a store view. Assign item and try again.","このアイテムはストアビューに割り当てる必要があります。アイテムを割り当てて再度お試し下さい。"
"More permissions are needed to save this item.","このアイテムを保存するための権限が不足しています。"
"More permissions are needed to delete this item.","このアイテムを削除するための権限が不足しています。"
"More permissions are needed to view this item.","このアイテムを閲覧するための権限が不足してます"
"At least one website or store group needs to be selected. Select and try again.","最低でも1つのウェブサイトかストアグループが選択されていなければなりません。選択した上でやり直してください。"
"More permissions are needed to set All Scopes to a Role.","すべてのスコープに権限を付与するための権限が不足しています。"
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","ウェブサイト ""%1"" のIDが不正です。ウェブサイトIDを確認してやり直してください。"
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","ストア ""%1"" のIDが不正です。ストアIDを確認してやり直してください。"
"More permissions are needed to save this setting.","この設定を保存するための権限が不足しています。"
