"All","Tutti"
"None","Nessuno"
"Allowed Scopes","Ambiti consentiti"
"You need more permissions to delete this item(s): %1.","Non hai sufficienti diritti per eliminare gli elementi seguenti: %1."
"You need more permissions to apply some of the rule updates.","Non hai permessi sufficienti per applicare alcuni aggiornamenti alle regole."
"Please assign this entity to a store view.","Si prega di assegnare l'entità a una vista negozio."
"You can create orders only in an active store.","È possibile creare ordini solo in un negozio attivo."
"Please assign this item to a store view.","Si prega di assegnare l'elemento a una vista negozio."
"You need more permissions to save this item.","Non si dispone di diritti sufficienti per salvare l'elemento."
"You need more permissions to delete this item.","Non si dispone di diritti sufficienti per eliminare l'elemento."
"You need more permissions to view this item.","Non si dispone di diritti sufficienti per visualizzare l'elemento."
"Please specify at least one website or one store group.","Si prega di specificare un website o uno store group."
"You need more permissions to set All Scopes to a Role.","Non si dispone di diritti sufficienti per assegnare tutti gli ambiti al ruolo."
"Incorrect website ID: %1","ID Sito Web errato: %1"
"You need more permissions to access website ""%1"".","Non hai permessi sufficienti per accedere al sito web: ""%1""."
"Incorrect store ID: %1","ID negozio errato: %1"
"You need more permissions to save this setting.","Non si dispone di diritti sufficienti per salvare le impostazioni."
"Role Scopes","Ambiti del ruolo"
"Custom","Personalizzato"
"More permissions are needed to save this item.","Non hai i permessi necessari per salvare questo elemento."
"Please select a website for this product in ""Product in Websites"".","Please select a website for this product in ""Product in Websites""."
