"All","Wszystko"
"None","Brak"
"Allowed Scopes","Dopuszczalne zakresy"
"You need more permissions to delete this item(s): %1.","Potrzebujesz więcej uprawnień, aby usunąć te pozycje: %1."
"You need more permissions to apply some of the rule updates.","Potrzebujesz więcej uprawnień do stosowania niektórych reguł aktualizacji."
"Please assign this entity to a store view.","Przypisz obiekt do widoku sklepu."
"You can create orders only in an active store.","Możesz tworzyć zamówienia tylko w aktywnym sklepie."
"Please assign this item to a store view.","Należy przypisać tę pozycję do widoku sklepu."
"You need more permissions to save this item.","Potrzebujesz więcej uprawnień do zapisania tego elementu."
"You need more permissions to delete this item.","Potrzebujesz więcej uprawnień do usunięcia tego elementu."
"You need more permissions to view this item.","Potrzebujesz więcej uprawnień do wyświetlenia tego elementu."
"Please specify at least one website or one store group.","Podaj co najmniej jedną stronę lub grupę sklepów."
"You need more permissions to set All Scopes to a Role.","Potrzebujesz więcej uprawnień aby przypisać Wszystkie Zakresy do roli."
"Incorrect website ID: %1","Nieprawidłowe ID witryny: %1"
"You need more permissions to access website ""%1"".","Potrzebujesz więcej uprawnień do dostępu do witryny ""%1""."
"Incorrect store ID: %1","Niepoprawne ID sklepu: %1"
"You need more permissions to save this setting.","Potrzebujesz więcej uprawnień, aby zapisać to ustawienie."
"Role Scopes","Zakresy ról"
"Custom","Niestandardowe"
"More permissions are needed to save this item.","Więcej uprawnień jest potrzebnych do zapisania tego elementu."
"Please select a website for this product in ""Product in Websites"".","Please select a website for this product in ""Product in Websites""."
