"All","Wszystko"
"None","Brak"
"Allowed Scopes","Dopuszczalne zakresy"
"More permissions are needed to delete the ""%1"" item.","Więcej uprawnień jest potrzebnych do usunięcia elementu ""%1""."
"You need more permissions to apply some of the rule updates.","Potrzebujesz więcej uprawnień do stosowania niektórych reguł aktualizacji."
"More permissions are needed to view this item.","Dodatkowe uprawnienia są potrzebne do wyświetlenia tego elementu."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Ten obiekt musi być przypisany do widoku sklepu. Sprawdź przypisanie i spróbuj ponownie."
"This item needs to be assigned to a store view.
                Please select a website for this product in ""Product in Websites"".","Ten element musi być przypisany do widoku sklepu.
                Wybierz stronę internetową dla tego produktu w ""Produkt w witrynach internetowych""."
"Orders can only be completed in an active store. Verify the store and try again.","Zamówienia mogą być realizowane tylko w aktywnym sklepie. Zweryfikuj sklep i spróbuj ponownie."
"This item needs to be assigned to a store view. Assign item and try again.","Ten element musi być przypisany do widoku sklepu. Przypisz element i spróbuj ponownie."
"More permissions are needed to save this item.","Więcej uprawnień jest potrzebnych do zapisania tego elementu."
"More permissions are needed to delete this item.","Dodatkowe uprawnienia są potrzebne do usunięcia tego elementu."
"Not allowed to edit the category's design attributes","Brak uprawnień do edycji atrybutów wyglądu kategorii"
"At least one website or store group needs to be selected. Select and try again.","Co najmniej jedna witryna lub grupa sklepów musi być zaznaczona. Wybierz i spróbuj ponownie."
"More permissions are needed to set All Scopes to a Role.","Więcej uprawnień jest potrzebnych, aby ustawić wszystkie zakresy na rolę."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","Identyfikator witryny %1"" jest błędny. Zweryfikuj identyfikator witryny i spróbuj ponownie."
"You need more permissions to access website ""%1"".","Potrzebujesz więcej uprawnień do dostępu do witryny ""%1""."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","Identyfikator sklepu ""%1"" jest błędny. Zweryfikuj identyfikator sklepu i spróbuj ponownie."
"More permissions are needed to save this setting.","Potrzeba większych uprawnień, aby zapisać te ustawienia."
"Role Scopes","Zakresy ról"
"Custom","Niestandardowe"
