"All","همه"
"None","هیچ یک"
"Allowed Scopes","محدوده های مجاز"
"More permissions are needed to delete the ""%1"" item.","برای حذف %1 آیتم، به سطح دسترسی بالاتری نیاز دارید."
"You need more permissions to apply some of the rule updates.","برای اعمال تغییرات بر روی برخی از قوانین، نیاز به دسترسی بالاتری دارید."
"More permissions are needed to view this item.","دسترسی های بیشتر برای مشاهده این مورد لازم است."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","این مورد باید به نمای فروشگاه اختصاص داده شود. آن را تأیید کرده و دوباره امتحان کنید."
"This item needs to be assigned to a store view.
                Please select a website for this product in ""Product in Websites"".","این مورد باید به نمای فروشگاه اختصاص داده شود.
                 لطفاً یک وب سایت برای این محصول در ""محصول در وب سایت ها"" انتخاب کنید."
"Orders can only be completed in an active store. Verify the store and try again.","سفارشات تنها در یک فروشگاه فعال می تواند تکمیل شود. فروشگاه را بررسی کرده و دوباره امتحان کنید."
"This item needs to be assigned to a store view. Assign item and try again.","این مورد باید به نمای فروشگاه اختصاص داده شود. پس از انجام، دوباره امتحان کنید."
"More permissions are needed to save this item.","دسترسی بالاتری برای ذخیره این مورد لازم است."
"More permissions are needed to delete this item.","دسترسی بالاتری برای حذف این مورد لازم است."
"Not allowed to edit the category's design attributes","Not allowed to edit the category's design attributes"
"At least one website or store group needs to be selected. Select and try again.","حداقل یک وب سایت یا گروه فروشگاهی باید انتخاب شود. انتخاب کرده و دوباره امتحان کنید."
"More permissions are needed to set All Scopes to a Role.","دسترسی بالاتری برای تنظیم تمامی زمینه ها به یک نقش لازم است."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","شناسه فروشگاه ""%1"" اشتباه است. شناسه مورد نظر را بررسی کرده و دوباره امتحان کنید."
"You need more permissions to access website ""%1"".","برای دسترسی به وبسایت نیاز به مجوزهای بیشتر دارید: %1."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","شناسه فروشگاه ""%1"" اشتباه است. شناسه مورد نظر را بررسی کرده و دوباره امتحان کنید."
"More permissions are needed to save this setting.","دسترسی بالاتری برای ذخیره این تنظیمات لازم است."
"Role Scopes","محدوده‌های نقش"
"Custom","سفارشی"
