"All","全部"
"None","无"
"Allowed Scopes","允许的范围"
"You need more permissions to delete this item(s): %1.","您需要更多权限才能删除此项：%1"
"You need more permissions to apply some of the rule updates.","你需要更高的权限应用一些规则的更新。"
"Please assign this entity to a store view.","请将此项目分配给一个店铺视图。"
"You can create orders only in an active store.","只能在有效店铺中创建订单。"
"Please assign this item to a store view.","请将此项分配给一个店铺视图。"
"You need more permissions to save this item.","您需要更多的权限来保存此项。"
"You need more permissions to delete this item.","您需要更多的权限才能删除此项。"
"You need more permissions to view this item.","您需要更多的权限才能查看此项"
"Please specify at least one website or one store group.","请至少指定一个网站或一个商店组。"
"You need more permissions to set All Scopes to a Role.","您需要更多的权限来将所有范围设置为一个角色"
"Incorrect website ID: %1","错误的网站编号ID：%1"
"You need more permissions to access website ""%1"".","你需要更多的权限来访问网站""%1""。"
"Incorrect store ID: %1","错误的商店编号 ID:%1"
"You need more permissions to save this setting.","您需要更多的权限才能保存此设置"
"Role Scopes","角色作用范围"
"Custom","自定义"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","您无权在当前存储视图的范围内保存此项。请切换到允许的存储视图"
"More permissions are needed to delete the ""%1"" item.","删除 ""%1"" 项需要更多权限。"
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","需要将此实体分配给商店视图。验证实体分配，然后重试。"
"Orders can only be completed in an active store. Verify the store and try again.","订单只能在正式运营的商店中完成。验证商店然后重试。"
"This item needs to be assigned to a store view. Assign item and try again.","此项目需要分配给商店视图。分配此项，然后重试。"
"More permissions are needed to save this item.","保存此设置需要更多权限。"
"More permissions are needed to delete this item.","删除此项需要更多权限。"
"More permissions are needed to view this item.","需要更多权限才能查看。"
"At least one website or store group needs to be selected. Select and try again.","至少需要选择一个网站或商店群组。选择然后重试。"
"More permissions are needed to set All Scopes to a Role.","将所有作用范围设置给角色需要更多权限。"
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","""%1"" 商店ID不正确。验证商店ID，然后重试。"
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","""%1"" 商店ID不正确。验证商店ID，然后重试。"
"More permissions are needed to save this setting.","保存此设置需要更多权限。"
