"All","എല്ലാം"
"None","ഒന്നുമില്ല"
"Allowed Scopes","അനുവദനീയമായ സ്കോപ്പുകൾ"
"You need more permissions to delete this item(s): %1.","ഈ ഇനം (കൾ) ഇല്ലാതാക്കാൻ നിങ്ങൾക്ക് കൂടുതൽ അനുമതികൾ ആവശ്യമാണ്: %1."
"You need more permissions to apply some of the rule updates.","ചില റൂളുകൾ അപ്ഡേറ്റ് ചെയ്യുന്നതിന് നിങ്ങൾക്ക് കൂടുതൽ‌ അനുമതികൾ‌ ആവശ്യമാണ്."
"Please assign this entity to a store view.","ഒരു സ്റ്റോർ വ്യൂയിലേക്ക് ഈ എന്റിറ്റി നൽകുക."
"You can create orders only in an active store.","നിങ്ങൾക്ക് ഒരു സജീവ സ്റ്റോറിൽ മാത്രമേ ഓർഡറുകൾ സൃഷ്ടിക്കാൻ കഴിയൂ."
"Please assign this item to a store view.","ഒരു സ്റ്റോർ വ്യൂയിലേക്ക് ഈ ഇനം നൽകുക."
"You need more permissions to save this item.","ഈ ഇനം സേവ് ചെയ്യുന്നതിന് നിങ്ങൾക്ക് കൂടുതൽ അനുമതികൾ ആവശ്യമാണ്."
"You need more permissions to delete this item.","ഈ ഇനം ഇല്ലാതാക്കാൻ നിങ്ങൾക്ക് കൂടുതൽ അനുമതികൾ ആവശ്യമാണ്."
"You need more permissions to view this item.","ഈ ഇനം വ്യൂ ചെയ്യുന്നതിന് നിങ്ങൾക്ക് കൂടുതൽ അനുമതികൾ ആവശ്യമാണ്."
"Please specify at least one website or one store group.","കുറഞ്ഞത് ഒരു വെബ്‌സൈറ്റ് അല്ലെങ്കിൽ ഒരു സ്റ്റോർ ഗ്രൂപ്പെങ്കിലും വ്യക്തമാക്കുക."
"You need more permissions to set All Scopes to a Role.","എല്ലാ സ്കോപ്പുകളും ഒരു റോളായി സജ്ജീകരിക്കുന്നതിന് നിങ്ങൾക്ക് കൂടുതൽ അനുമതികൾ ആവശ്യമാണ്."
"Incorrect website ID: %1","തെറ്റായ വെബ്‌സൈറ്റ് ഐഡി: %1"
"You need more permissions to access website ""%1"".","""%1"" വെബ്‌സൈറ്റ് ആക്‌സസ് ചെയ്യുന്നതിന് നിങ്ങൾക്ക് കൂടുതൽ അനുമതികൾ ആവശ്യമാണ്."
"Incorrect store ID: %1","തെറ്റായ സ്റ്റോർ ഐഡി: %1"
"You need more permissions to save this setting.","ഈ സെറ്റിങ്സ് സേവ് ചെയ്യാൻ നിങ്ങൾക്ക് കൂടുതൽ അനുമതികൾ ആവശ്യമാണ്."
"Role Scopes","റോൾ സ്കോപ്പുകൾ"
"Custom","കസ്റ്റം"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","നിലവിലെ സ്റ്റോർ വ്യൂയുടെ പരിധിയിൽ ഈ ഇനം സേവ് ചെയ്യാൻ നിങ്ങൾക്ക് അനുമതികളില്ല. ദയവായി, അനുവദനീയമായ സ്റ്റോർ വ്യൂ യിലേക്ക് മാറുക"
"More permissions are needed to delete the ""%1"" item.","""%1"" ഇല്ലാതാക്കാൻ കൂടുതൽ അനുമതികൾ ആവശ്യമാണ്."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","ഈ എന്റിറ്റി ഒരു സ്റ്റോർ വ്യൂ യിലേക്ക് നിയോഗിക്കേണ്ടതുണ്ട്. എന്റിറ്റി അസൈൻമെന്റ് പരിശോധിച്ച് വീണ്ടും ശ്രമിക്കുക."
"Orders can only be completed in an active store. Verify the store and try again.","ഒരു സജീവ സ്റ്റോറിൽ മാത്രമേ ഓർഡറുകൾ പൂർത്തിയാക്കാൻ കഴിയൂ. സ്റ്റോർ പരിശോധിച്ച് വീണ്ടും ശ്രമിക്കുക."
"This item needs to be assigned to a store view. Assign item and try again.","ഈ ഇനം ഒരു സ്റ്റോർ വ്യൂ യിലേക്ക് നിയോഗിക്കേണ്ടതുണ്ട്. ഇനം നൽകി വീണ്ടും ശ്രമിക്കുക."
"More permissions are needed to save this item.","ഈ ഇനം സേവ് ചെയ്യാൻ കൂടുതൽ അനുമതികൾ ആവശ്യമാണ്."
"More permissions are needed to delete this item.","ഈ ഇനം ഇല്ലാതാക്കാൻ കൂടുതൽ അനുമതികൾ ആവശ്യമാണ്."
"More permissions are needed to view this item.","ഈ ഇനം കാണുന്നതിന് കൂടുതൽ അനുമതികൾ ആവശ്യമാണ്."
"At least one website or store group needs to be selected. Select and try again.","കുറഞ്ഞത് ഒരു വെബ്‌സൈറ്റ് അല്ലെങ്കിൽ സ്റ്റോർ ഗ്രൂപ്പെങ്കിലും തിരഞ്ഞെടുക്കേണ്ടതുണ്ട്. തിരഞ്ഞെടുത്ത് വീണ്ടും ശ്രമിക്കുക."
"More permissions are needed to set All Scopes to a Role.","എല്ലാ സ്കോപ്പുകളും ഒരു റോളായി സജ്ജീകരിക്കുന്നതിന് കൂടുതൽ അനുമതികൾ ആവശ്യമാണ്."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","""%1"" വെബ്‌സൈറ്റ് ഐഡി തെറ്റാണ്. വെബ്‌സൈറ്റ് ഐഡി പരിശോധിച്ച് വീണ്ടും ശ്രമിക്കുക."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","""%1"" സ്റ്റോർ ഐഡി തെറ്റാണ്. സ്റ്റോർ ഐഡി പരിശോധിച്ച് വീണ്ടും ശ്രമിക്കുക."
"More permissions are needed to save this setting.","സെറ്റിങ്സ് സേവ് ചെയ്യാൻ കൂടുതൽ അനുമതികൾ ആവശ്യമാണ്."
