"All","Sve"
"None","Ništa"
"Allowed Scopes","Dozvoljena stanja"
"You need more permissions to delete this item(s): %1.","Potrebno vam je više dozvola da obrišete ovaj artikal(artikle): %1."
"You need more permissions to apply some of the rule updates.","Potrebne su Vam dozvole višeg nivoa da primenite neku od pravila dopune."
"Please assign this entity to a store view.","Molim vas da dodelite ovaj entitet prikazu radnje."
"You can create orders only in an active store.","Porudžbine možete praviti samo u aktivnoj prodavnici."
"Please assign this item to a store view.","Додели ову ставку приказа радње."
"You need more permissions to save this item.","Potrebne su Vam više administrativne dozvole da sačuvate ovaj artikal."
"You need more permissions to delete this item.","Potrebne su Vam više dozvole da obrišete ovaj artikal."
"You need more permissions to view this item.","Potrebne su Vam više dozvole da pogledate ovaj artikal."
"Please specify at least one website or one store group.","Molimo da navedete barem jedan websajt ili grupu prodavnica."
"You need more permissions to set All Scopes to a Role.","Potrebne su Vam više dozvole da postavite Sve Oblasti ovoj Ulozi."
"Incorrect website ID: %1","Neispravan websajt ID: %1"
"You need more permissions to access website ""%1"".","Potrebne su Vam više dozvole da pristupite websajtu ""%1""."
"Incorrect store ID: %1","Neispravan ID prodavnice: %1"
"You need more permissions to save this setting.","Potrebne su Vam više dozvole da sačuvate ovo podešavanje."
"Role Scopes","Sve Oblasti"
"Custom","Izborno"
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","Nemate dozvolu da sačuvate ovaj artikal na trenutnom nivou prikaza prodavnice. Molimo vas, prebacite se na dozvoljeni prikaz prodavnice"
"More permissions are needed to delete the ""%1"" item.","Više dozvola je potrebno da biste izbrisali stavku ""%1”."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Ovaj entitet mora biti dodeljen prikazu prodavnice. Proverite kome je dodeljen entitet i pokušajte ponovo."
"Orders can only be completed in an active store. Verify the store and try again.","Porudžbine mogu biti izvršene samo u aktivnoj prodavnici. Proverite prodavnicu i pokušajte ponovo."
"This item needs to be assigned to a store view. Assign item and try again.","Ovaj artikal mora biti dodeljen prikayu prodavnice. Dodelite artikal i pokušajte ponovo."
"More permissions are needed to save this item.","Treba vam više dozvola da biste sačuvali ovaj artikal."
"More permissions are needed to delete this item.","Treba vam više dozvola da biste izbrisali ovaj artikal."
"More permissions are needed to view this item.","Treba vam više dozvola da biste videli ovaj artikal."
"At least one website or store group needs to be selected. Select and try again.","Barem jedan vebsajt ili grupa prodavnica mora biti izabrana. Izaberite i pokušajte ponovo."
"More permissions are needed to set All Scopes to a Role.","Treba vam više dozvola da biste dodelili sve opsege Ulozi."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","""%1"" ID prodavnice je netačan. Proverite ID vebsajta i pokušajte ponovo."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","""%1"" ID prodavnice je netačan. Proverite ID prodavnice i pokušajte ponovo."
"More permissions are needed to save this setting.","Više dozvola je potrebno da biste sačuvali ovu stavku."
