"Invitations","uitnodigingen"
"Add Invitations","Voeg uitnodigingen toe"
"New Invitations","nieuwe uitnodigingen"
"Invitations Information","uitnodigingsinformatie"
"Enter Each Email on New Line","Vul elk e-mailadres op nieuwe regel in"
"Message","Bericht"
"Send From","Verzenden van"
"Invitee Group","genodigdengroep"
"Reset","Resetten"
"Save","Opslaan"
"View Invitation for %1 (ID: %2)","Bekijk Uitnodiging voor %1 (ID: %2)"
"Back","Terug"
"Discard Invitation","Verwijder uitnodiging"
"Are you sure you want to discard this invitation?","Weet u zeker dat u deze uitnodiging wilt verwijderen?"
"Save Invitation","Sla uitnodiging op"
"Send Invitation","Verzend uitnodiging"
"General","Algemeen"
"Default from System Configuration","Standaard vanaf systeem configuratie"
"N/A","n.v.t."
"Status History","Status geschiedenis"
"Customers","Klanten"
"Order Conversion Rate","bestellings wisselkoersen"
"We can't find this invitation.","Uitnodiging niet gevonden."
"Please select invitations.","Selecteer uitnodigingen."
"We discarded %1 of %2 invitations.","We hebben  %1 van %2 uitnodigingen verwijderd."
"We skipped %1 of the selected invitations.","We hebben %1 van de geselecteerde uitnodigingen overgeslagen."
"Something went wrong while sending invitations.","Er ging iets mis tijdens het verzenden van uitnodigingen."
"No invitations have been resent.","Er zijn geen uitnodigingen opnieuw verzonden."
"You sent %1 of %2 invitation(s).","U hebt  %1 van %2 uitnodiging(en) verzonden ."
"Something went wrong while sending %1 invitations.","Er ging iets mis tijdens het verzenden van uitnodigingen voor %1."
"We discarded %1 invitation(s) addressed to current customers.","Wij verwerpen %1 invitatie(s) gericht aan de klanten."
"Please specify at least one email address.","Geef ten minste één e-mailadres op."
"We sent %1 invitation(s).","Wij hebben %1 van de uitnodigingen verzonden."
"Something went wrong while sending %1 of %2 invitations.","Er ging iets mis tijdens het verzenden van %1 van %2 uitnodigingen."
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.","%1 uitnodiging(en) zijn niet verzonden, omdat er reeds klantaccounts bestaan voor deze e-mailadressen."
"The invitation has been saved.","De uitnodiging is opgeslagen"
"Reports","Rapportages"
"Invitation Report by Customers","Uitnodigingsrapport door klanten"
"Invited Customers Report","Uitgenodigde klanten rapport"
"General Report","Algemeen rapport"
"Invitations Report","Uitnodigingen verslag"
"Invitation Report by Order Conversion Rate","Uitnodigingsrapport door bestelling wisselkoers"
"Conversion Rate Report","Conversie ratio verslag"
"The wrong customer account is specified.","Een onjuiste klant account is opgegeven."
"Please enter a correct confirmation key.","Voer een juiste confirmatie sleutel in."
"Bad request.","Foute aanvraag"
"Your invitation is not valid. Please create an account.","Uw uitnodiging is niet geldig. Maak een account aan."
"Your invitation is not valid. Please contact us at %1.","Uw uitnodiging is niet geldig. Contacteer ons op %1."
"We can't save this customer.","We kunnen de klant niet opslaan."
"Page not found.","Pagina niet gevonden."
"My Invitations","Uitnodigingen"
"Invalid Form Key. Please refresh the page.","Ongeldige formuliersleutel. Ververs de pagina."
"You sent the invitation for %1.","U heeft de uitnodiging voor %1 verzonden."
"Something went wrong while sending an email to %1.","Er ging iets mis tijdens het verzenden van een e-mail naar %1."
"We did not send %1 invitation(s) addressed to current customers.","We verzonden niet %1 uitnodiging(en) gericht aan de klanten."
"Send Invitations","Verzend uitnodigingen"
"Max Invitations Allowed to be Sent at One Time","maximaal aantal uitnodigingen om tegelijkertijd te verzenden toegestaan"
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","Pas de waarde voor ""%1"" parameter aan, anders gebruiken we de opgeslagen waarde."
"Same as Inviter","Hetzelfde als uitnodiger"
"Default Customer Group from System Configuration","Standaard klantgroep van systeem configuratie"
"By Invitation Only","Alleen op uitnodiging"
"Available to All","Beschikbaar voor iedereen"
"Please correct the invitation code.","Please correct the invitation code."
"You need to specify a customer ID group.","You need to specify a customer ID group."
"The wrong store is specified.","The wrong store is specified."
"You can't update this message.","You can't update this message."
"We can't generate encrypted code.","We can't generate encrypted code."
"We can't find an ID for this invitation.","We can't find an ID for this invitation."
"You can't send an invitation with status ""%1"".","You can't send an invitation with status ""%1""."
"Please enter a valid invitation email.","Please enter a valid invitation email."
"We can't identify the proper website.","We can't identify the proper website."
"Please specify an email.","Please specify an email."
"This invitation is addressed to a current customer: ""%1"".","This invitation is addressed to a current customer: ""%1""."
"This invitation is not valid.","Deze uitnodiging is niet geldig."
"Please correct the invitation email.","Corrigeer de uitnodigingsemail."
"Invitation for same email address","Uitnodiging voor hetzelfde email adres"
"Not Sent","Niet verstuurd"
"Sent","Verstuurd"
"Accepted","Geaccepteerd"
"Discarded","Verwijderd"
"Invitation Information","Uitnodigingsinformatie"
"Send At","Verzend op"
"Invitation Message","Uitnodigingsbericht"
"Email","E-mail"
"Status","status"
"Website","Website"
"Store View","Winkelaanzicht"
"Signed Up At","Geregistreerd op"
"Invitation URL","UitnodigingsURL"
"Link","link"
"Invitee Information","genodigdeninformatie"
"Customer ID","Klant ID"
"Customer Group","Klantengroep"
"First Name","Voornaam"
"Last Name","Achternaam"
"Sign Up At","Registreer op"
"Inviter Information","informatie over uitnodiger"
"Admin","Beheerder"
"* Required Fields","* Verplichte velden"
"Invite your friends by entering their email addresses","Vrienden uitnodigen door het invoeren van hun email adressen"
"Maximum %1 email addresses allowed.","Maximum %1 email adressen toegestaan."
"Add","Toevoegen"
"Back to Invitations","Terug naar uitnodigingen"
"Remove","Verwijder"
"Enter Email","Voer email in"
"You cannot send more invitations","U kunt geen uitnodigingen meer verzenden"
"There are no sent invitations.","Er zijn geen verzonden uitnodigingen."
"%inviter_name invites you to join Private Sales Site","%inviter_name invites you to join Private Sales Site"
"Invite to join Private Sales Site","Invite to join Private Sales Site"
"Please accept this invitation to join %store_name.","Accepteer deze uitnodiging om toe te treden tot %store_name."
"%store_name offers limited time sales of products only to members.","%store_name biedt tijdelijke koopjes aan voor leden."
"Please use the following link to create an account and view the deals:","Gebruik de volgende link om een account aan te maken en de aanbiedingen te bekijken:"
"Private Sales","Privé verkoop"
"Invited Customers","Uitgenodigde klanten"
"Conversion","Conversie"
"Invitation Section","Uitnodigings sectie"
"Conversions","Conversies"
"Customer Invitation Email Sender","Afzender Klant Uitnodiging E-mail"
"Customer Invitation Email Template","Klant uitnodigings e-mail template"
"Enable Invitations Functionality","E-mail uitnodigingen functionaliteit"
"Enable Invitations on Storefront","Schakel uitnodigingen in voor winkelaanzicht"
"Referred Customer Group","Gerefereerde klantgroep"
"New Accounts Registration","Nieuwe account registraties"
"Allow Customers to Add Custom Message to Invitation Email","Sta klanten toe om een eigen bericht aan uitnodigingsmail toe te voegen"
"Customer Invitations","Klant-uitnodigingen"
"Discard Selected","Verwijder geselecteerde"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
"Send Selected","Zend geselecteerde"
"ID","ID"
"Invitee","genodigde"
"Registered","geregistreerd"
"Valid Website","Geldige Website"
"Name","Naam"
"Group","Groep"
"Invitations Sent","uitnodigingen verzonden"
"Invitations Accepted","uitnodigingen geaccepteerd"
"Accept Rate","Tarief accepteren"
"Discard Rate","Verwijder ratio"
"Accepted and Purchased","Geaccepteerd en gekocht"
"Conversion Rate","Wisselkoers"
"Invitation","Uitnodiging"
"The invitation code is incorrect. Verify the code and try again.","The invitation code is incorrect. Verify the code and try again."
"A customer ID group is missing. Enter a group and try again.","A customer ID group is missing. Enter a group and try again."
