"Invitations","Invitaciones"
"Add Invitations","Añadir invitaciones"
"New Invitations","Nuevas invitaciones"
"Invitations Information","Información de invitaciones"
"Enter Each Email on New Line","Introduce cada Email en nueva línea"
"Message","Mensaje"
"Send From","Enviar desde"
"Invitee Group","Grupo invitado"
"Reset","Restablecer"
"Save","Guardar"
"View Invitation for %1 (ID: %2)","Ver invitación para %1 (ID: %2)"
"Back","Atrás"
"Discard Invitation","Descartar invitación"
"Are you sure you want to discard this invitation?","¿Está seguro que desea eliminar esta invitación?"
"Save Invitation","Guardar invitación"
"Send Invitation","Enviar Invitación"
"General","General"
"Default from System Configuration","Predeterminado de configuración del sistema"
"N/A","N/D"
"Status History","Historial de estados"
"Customers","Clientes"
"Order Conversion Rate","Tasa conversión pedido"
"We can't find this invitation.","No podemos encontrar esta invitación."
"Please select invitations.","Por favor seleccione invitaciones."
"We discarded %1 of %2 invitations.","Descartamos %1 de %2 invitaciones."
"We skipped %1 of the selected invitations.","Nos hemos saltado %1 de las invitaciones seleccionadas."
"Something went wrong while sending invitations.","Algo salió mal durante el envío de invitaciones."
"No invitations have been resent.","Ninguna invitación ha sido reenviada."
"You sent %1 of %2 invitation(s).","Enviamos %1 de %2 invitacion(es)."
"Something went wrong while sending %1 invitations.","Algo salió mal durante el envío de %1 invitaciones."
"We discarded %1 invitation(s) addressed to current customers.","Descartamos %1 invitation(s) dirigida a clientes actuales."
"Please specify at least one email address.","Por favor especificar al menos un correo electrónico."
"We sent %1 invitation(s).","Enviamos %1 invitación(es)."
"Something went wrong while sending %1 of %2 invitations.","Algo salió mal durante el envío de %1 de %2 invitaciones."
"%1 invitation(s) were not sent, because customer accounts already exist for these email addresses.","%1 invitation(s) no se enviaron, porque ya existen cuentas de clientes de correo electrónico."
"The invitation has been saved.","La invitación se ha guardado."
"Reports","Informes"
"Invitation Report by Customers","Informe de Invitaciones por cliente"
"Invited Customers Report","Informe de clientes invitados"
"General Report","Informe general"
"Invitations Report","Informe de invitaciones"
"Invitation Report by Order Conversion Rate","Informe de Invitaciones por indice de conversión de orden"
"Conversion Rate Report","Reporte de tasa de conversión"
"The wrong customer account is specified.","Se especificó una cuenta de cliente incorrecta."
"Please enter a correct confirmation key.","Introduce una clave de confirmación correcta."
"Bad request.","Solicitud incorrecta."
"Your invitation is not valid. Please create an account.","Su invitación no es válida. Por favor crea una cuenta."
"Your invitation is not valid. Please contact us at %1.","Su invitación no es válido. Por favor contáctenos en %1."
"We can't save this customer.","No podemos guardar este cliente."
"Page not found.","Página no encontrada."
"My Invitations","Mis invitaciones"
"Invalid Form Key. Please refresh the page.","Clave de formulario inválida. Por favor actualice la página."
"You sent the invitation for %1.","Envió la invitación para %1."
"Something went wrong while sending an email to %1.","Algo salió mal al enviar un correo electrónico a %1."
"We did not send %1 invitation(s) addressed to current customers.","No hemos enviado %1 invitaciones formuladas a los clientes actuales."
"Send Invitations","Enviar invitaciones"
"Max Invitations Allowed to be Sent at One Time","Max invitaciones que permite enviar de una sola vez"
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","Por favor, corregir el valor de parámetro ""%1"", de lo contrario, usaremos el valor guardado en su lugar."
"Same as Inviter","Igual que el invitante"
"Default Customer Group from System Configuration","Grupo de cliente predeterminado de configuración del sistema"
"By Invitation Only","Sólo por invitación"
"Available to All","Disponible para todos"
"Please correct the invitation code.","Por favor, corregir el código de invitación."
"You need to specify a customer ID group.","Debe especificar un grupo de ID de cliente."
"The wrong store is specified.","Se especifica la tienda equivocada."
"You can't update this message.","No se puede actualizar este mensaje."
"We can't generate encrypted code.","No podemos generar código encriptado."
"We can't find an ID for this invitation.","No podemos encontrar el ID de esta invitación."
"You can't send an invitation with status ""%1"".","No puedes enviar una invitacion con estatus ""%1"""
"Please enter a valid invitation email.","Por favor ingrese un email de invitación válido."
"We can't identify the proper website.","No podemos identificar el sitio apropiado."
"Please specify an email.","Por favor especifique un correo electrónico."
"This invitation is addressed to a current customer: ""%1"".","Esta invitación está dirigida a un cliente actual de: ""%1""."
"This invitation is not valid.","Esta invitación no es válida."
"Please correct the invitation email.","Por favor, corregir el email de invitación."
"Invitation for same email address","Invitación para la misma dirección de email"
"Not Sent","No enviado"
"Sent","Enviado"
"Accepted","Aceptado"
"Discarded","Descartar"
"Invitation Information","Información de la invitación"
"Send At","Enviar a"
"Invitation Message","Mensaje de invitación"
"Email","Correo electrónico"
"Status","Estatus"
"Website","Página web"
"Store View","Vista de la tienda"
"Signed Up At","Inscrito en el"
"Invitation URL","URL de invitación"
"Link","Enlace"
"Invitee Information","Información de invitado"
"Customer ID","Kundenidentifikationsbezeichnung"
"Customer Group","Grupo del cliente"
"First Name","Nombre"
"Last Name","Apellidos"
"Sign Up At","Registrarse en"
"Inviter Information","Información del invitante"
"Admin","Administrar"
"* Required Fields","* Campos obligatorios"
"Invite your friends by entering their email addresses","Invite a sus amigos introduciendo sus direcciones de correo electrónico"
"Maximum %1 email addresses allowed.","Máximo %1 direcciones de correo electrónico permitidas."
"Add","Agregar"
"Back to Invitations","Volver a invitaciones"
"Remove","Eliminar"
"Enter Email","Ingresar el email"
"You cannot send more invitations","Usted no puede enviar más invitaciones"
"There are no sent invitations.","No hay invitaciones enviadas."
"%inviter_name invites you to join Private Sales Site","%inviter_name te invita a unirte al sitio Private Sales"
"Invite to join Private Sales Site","Invita para unirse al sitio de ventas privadas"
"Please accept this invitation to join %store_name.","Por favor acepte esta invitación a unirse a %store_name."
"%store_name offers limited time sales of products only to members.","%store_name oferta de venta de tiempo limitado de productos sólo a los miembros."
"Please use the following link to create an account and view the deals:","Por favor utilice el siguiente enlace para crear una cuenta y ver las ofertas:"
"Private Sales","Ventas privadas"
"Invited Customers","Clientes invitados"
"Conversion","Conversión"
"Invitation Section","Sección de invitación"
"Conversions","Conversión"
