"Condition type ""%1"" is not allowed","Rodzaj warunku ""%1"" nie jest dozwolony"
"The configuration parameter ""formElement"" is a required for ""%1"" field.","The configuration parameter ""formElement"" is a required for ""%1"" field."
"Remove %1","Usuń %1"
"Add New %1","Dodaj nowy %1"
"New %1","Nowy %1"
"Please select item(s).","Please select item(s)."
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","."
"Unsupported bookmark action.","Nieobsługiwana zakładka działania."
"UI component could not be rendered because of system exception","UI component could not be rendered because of system exception"
"Parameter ""class"" must be present.","Parameter ""class"" must be present."
"Parameter ""sortOrder"" must be present.","Parameter ""sortOrder"" must be present."
"Invalid UI Component element name: '%1'","Invalid UI Component element name: '%1'"
"Bookmark with id ""%1"" does not exist.","Bookmark with id ""%1"" does not exist."
"Invalid UI Component element name: ''","Invalid UI Component element name: ''"
"Cancel","Anuluj"
"Back","Powrót"
"Next","Następne"
"Changes have been made to this section that have not been saved.","Wprowadzono zmiany do tej sekcji, które nie zostały zapisane."
"This tab contains invalid data. Please resolve this before saving.","Ta karta zawiera nieprawidłowe dane. Proszę rozwiązać ten problem przed zapisaniem."
"Assign","Przyporządkuj"
"Options","Opcje"
"records found","znalezione rekordy"
"selected","wybrane"
"of","z"
"Filters","Filtry"
"Add","Dodaj"
"Something went wrong.","Coś poszło nie tak."
"Yes","Tak"
"No","Nie"
"Done","Gotowe"
"options","opcje"
"Select...","Wybierz..."
"Selected","Wybrane"
"Select All","Zaznacz wszystko"
"Deselect All","Odznacz wszystko"
"Select All on This Page","Zaznacz wszystko na tej stronie"
"Deselect All on This Page","Usuń zaznaczenia na tej stronie"
"On","Włączone"
"Off","Włączone"
"Go to Details Page","Przejdź do strony szczegółów"
"New View","Nowy widok"
"Default View","Widok domyślny"
"${ $.visible } out of ${ $.total } visible","Włączone: ${ $.visible } / ${ $.total }"
"You have successfully saved your edits.","Zmiany zostały pomyślnie zapisane."
"There are {placeholder} messages requires your attention.","There are {placeholder} messages requires your attention."
"from","od"
"to","do"
"You haven't selected any items!","Nie wybrano żadnych elementów!"
"Search by keyword","Szukaj wg słów kluczowych"
"Keyword","Słowo kluczowe"
"Select Date","Wybierz datę"
"Please enter more or equal than {0} symbols.","Podaj więcej lub dokładnie {0} symboli."
"Please enter less or equal than {0} symbols.","Podaj więcej lub dokładnie {0} symboli."
"Please enter {0} words or less.","Podaj {0} słów lub mniej."
"Please enter at least {0} words.","Podaj co najmniej {0} słów."
"Please enter between {0} and {1} words.","Proszę wprowadzić między {0} a {1} słów."
"Letters or punctuation only please","Tylko litery lub znaki interpunkcyjne"
"Letters, numbers, spaces or underscores only please","Tylko litery, cyfry, spacje lub podkreślenia"
"Letters only please","Tylko litery"
"No white space please","Bez pustych miejsc"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","Kod pocztowy musi być z zakresu 902xx-xxxx do 905-xx-xxxx"
"A positive or negative non-decimal number please","Proszę o liczby dodatnie lub ujemne, nie dziesiętne"
"The specified vehicle identification number (VIN) is invalid.","Numer identyfikacyjny określony pojazdu (VIN) jest nieprawidłowy."
"Please enter a correct date","Wpisz poprawną datę"
"Vul hier een geldige datum in.","Proszę podać poprawną datę tutaj."
"Please enter a valid time, between 00:00 and 23:59","Wprowadź poprawną godzinę, od 00:00 do 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","Wprowadź poprawną godzinę, między 00:00 do 24:00"
"Please specify a valid phone number","Podaj poprawny numer telefonu"
"Please specify a valid mobile number","Proszę podać prawidłowy numer telefonu komórkowego"
"Please enter at least {0} characters","Podaj co najmniej {0} znaków"
"Please enter a valid credit card number.","Prosimy o wprowadzenie poprawnego numeru karty kredytowej."
"Please enter a valid IP v4 address.","Podaj prawidłowy adres IP v4."
"Please enter a valid IP v6 address.","Podaj prawidłowy adres IP v6."
"Invalid format.","Nieprawidłowy format."
"HTML tags are not allowed.","Znaczniki HTML są niedozwolone."
"Please select an option.","Prosimy o wybranie opcji."
"Empty Value.","Puste wartości."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","Prosimy o używanie jedynie liter (a-z lub A-Z), cyfr (0-9) oraz spacji w tym polu."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Prosimy o używanie jedynie liter (a-z lub A-Z), cyfr (0-9) lub podkreślnika (_) w tym polu, pierwszy znak powinien być literą."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","Proszę używać tylko liter (a-z lub A-Z), liczby (0-9), spacje i ""#"" w tym polu."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Prosimy o wprowadzenie poprawnego numeru telefonu. Dla przykładu: (012) 345 67 89 lub 012 345 6789."
"Please enter a valid fax number (Ex: 123-456-7890).","Prosimy o wprowadzenie poprawnego numer faksu. przykład: +48 123-456-7890."
"Please enter a valid email address (Ex: johndoe@domain.com).","Podaj poprawny adres email (Ex: johndoe@domain.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","Prosimy o wprowadzenie 6 lub więcej znaków. Początkowe lub końcowe spacje zostaną zignorowane."
"Please enter 7 or more characters, using both numeric and alphabetic.","Proszę wpisać 7 lub więcej znaków, zarówno litery i cyfry."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","Minimalna ilość znaków w tym polu musi być równa lub większa %1. Spacje początkowe i końcowe są ignorowane."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Minimalna różność klas w haśle to %1. Klasy postaci: małe znaki, wielkie znaki, cyfry, znaki specjalne."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","Prosimy o wprowadzenie poprawnego URL. Wymagany jest protokół (http://, https:// lub ftp://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","Prosimy o wprowadzenie poprawnego URL. Dla przykładu: http://www.strona.pl lub www.strona.pl."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","Wprowadź prawidłowy identyfikator XML (Np: something_1, block5, id-4)."
"Please enter a valid social security number (Ex: 123-45-6789).","Wprowadź prawidłowy numer Pesel (np: 88123456789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","Podaj prawidłowy kod pocztowy (Np: 11-111)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Prosimy o użycie następującego formatu daty: dd/mm/rrrr. Dla przykładu: 17/03/2006."
"Please enter a valid $ amount. For example $100.00.","Prosimy o wprowadzenie poprawnej kwoty w $. Na przykład $100.00."
"Please enter a number 0 or greater in this field.","Prosimy o podanie cyfry 0 lub większej w tym polu."
"Please enter a number greater than 0 in this field.","Prosimy o podanie numeru większego od 0 w tym polu."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","Podaj prawidłową długość CSS (np: 100px, 77pt, 20em, .5ex lub 50%)."
"Please enter a valid number in this field.","Prosimy o wprowadzenie poprawnego numeru w tym polu."
"Please enter a valid integer in this field.","Wprowadź prawidłową liczbę całkowitą."
