"Dynamic Blocks","Blocos Dinâmicos"
"Add Dynamic Block","Adicionar Bloco Dinâmico"
"Save Dynamic Block","Salvar Bloco Dinâmico"
"Delete Dynamic Block","Excluir Bloco Dinâmico"
"Save and Continue Edit","Salvar e Continuar a Editar"
"New Dynamic Block","Novo Bloco Dinâmico"
"Delete","Excluir"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Reset","Reset"
"Save","Save"
"Content","Conteúdo"
"Default Content","Conteúdo Padrão"
"No Default Content","Nenhum Conteúdo Padrão"
"Dynamic Block Default Content for All Store Views","Conteúdo Padrão do Bloco Dinâmico para Todas as Visões de Loja"
"Store View Specific Content","Conteúdo Específico para Visão de Loja"
"Use Default","Usar Padrão"
"Related Promotions","Promoções Relacionadas"
"ID","ID"
"Rule","Regra"
"Start Date","Data de Início"
"End Date","Data de Término"
"Status","Situação"
"Dynamic Block Properties","Propriedades do Bloco Dinâmico"
"Dynamic Block Name","Nome do Bloco Dinâmico"
"Active","Ativo"
"Inactive","Inativo"
"Applies To","Aplica-se a"
"Any Dynamic Block Type","Qualquer tipo de bloco dinâmico"
"Specified Dynamic Block Types","Tipos de Bloco Dinâmico Especificados"
"Specify Types","Especificar tipos"
"Dynamic Block Information","Informação do Bloco Dinâmico"
"Dynamic Block","Bloco dinâmico"
"Dynamic Block Type","Tipo de bloco dinâmico"
"Are you sure you want to delete these dynamic blocks?","Tem certeza que deseja excluir estes blocos dinâmicos?"
"Related Dynamic Blocks","Blocos Dinâmicos Relacionados"
"Position","Posição"
"This rule no longer exists.","Esta regra não existe mais."
"You deleted the dynamic block.","Você excluiu o bloco dinâmico."
"Something went wrong while deleting dynamic block data. Please review the action log and try again.","Algo deu errado ao excluir dados de bloco dinâmico. Por favor, revise o log de ação e tente novamente."
"We cannot find a dynamic block to delete.","Não encontramos um bloco dinâmico para excluir."
"This dynamic block no longer exists.","Este bloco dinâmico não existe mais."
"Edit Dynamic Block","Editar Bloco Dinâmico"
"Please select a dynamic block(s).","Por favor, selecione um bloco(s) dinâmico(s)."
"You deleted %1 record(s).","Você excluiu %1 registro (s)."
"Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.","Algo deu errado ao excluir blocos dinâmicos em massa. Por favor, revise o log de ação e tente novamente."
"This dynamic block does not exist.","Este bloco dinâmico não existe."
"You saved the dynamic block.","Você salvou o bloco dinâmico."
"We cannot save the dynamic block.","Não podemos salvar o bloco dinâmico."
"Invalid Request","Invalid Request"
"Please enter a name.","Por favor digite um nome."
"Content includes restricted HTML elements. %1","Content includes restricted HTML elements. %1"
"Make sure that dynamic blocks rotator does not reference the dynamic block itself.","Make sure that dynamic blocks rotator does not reference the dynamic block itself."
"-- None --","-- Nenhum --"
"Error","Erro"
"Invalid content","Invalid content"
"Content Area","Área de conteúdo"
"Footer","Rodapé"
"Header","Cabeçalho"
"Left Column","Coluna Esquerda"
"Right Column","Coluna Direita"
"Manage Dynamic Blocks","Gerenciar Blocos Dinâmicos"
"Dynamic Blocks Rotator","Rotador de Blocos Dinâmicos"
"Displays Specified or Promotion Dynamic Blocks","Exibe blocos dinâmicos especificados ou promocionais"
"Dynamic Blocks to Display","Blocos dinâmicos para exibir"
"Specified Dynamic Blocks","Blocos Dinâmicos Especificados"
"Cart Price Rule Related","Regra relacionada ao preço de carrinho"
"Catalog Price Rule Related","Regra relacionada ao preço do catálogo"
"Restrict by Dynamic Block Types","Restringir por tipos de bloco dinâmico"
"Rotation Mode","Modo de rotação"
"Display all instead of rotating","Mostrar todos em vez de ir rodando"
"One at the time, Random","Um de cada vez, Aleatório"
"One at the time, Series","Um de cada vez, Séries"
"One at the time, Shuffle","Um de cada vez, Baralhar"
"Specify Dynamic Blocks","Especificar Blocos Dinâmicos"
"Dynamic Block Template","Dynamic Block Template"
"Dynamic Block Inline Template","Modelo Inline de Bloco Dinâmico"
"Name","Name"
"Status Label","Status Label"
"General Information","General Information"
"Back","Back"
"Enable Dynamic Block","Enable Dynamic Block"
"Use Default Value","Use Default Value"
"Cart price rules allows you to setup promotions for items that are in the shopping cart.","Cart price rules allows you to setup promotions for items that are in the shopping cart."
"Add Cart Price Rules","Add Cart Price Rules"
"Related Catalog Price Rule","Related Catalog Price Rule"
"Catalog price rules allows you to setup promotions for an items in catalog.","Catalog price rules allows you to setup promotions for an items in catalog."
"Cancel","Cancel"
"Add Selected","Add Selected"
"Visibility","Visibilidade"
