"Dynamic Blocks","Dynamic Blocks"
"Add Dynamic Block","Add Dynamic Block"
"Save Dynamic Block","Save Dynamic Block"
"Delete Dynamic Block","Delete Dynamic Block"
"Save and Continue Edit","저장하고 계속 편집하기"
"New Dynamic Block","New Dynamic Block"
"Delete","삭제"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Reset","Reset"
"Save","Save"
"Content","콘텐츠"
"Default Content","기본 콘텐츠"
"No Default Content","기본 콘텐츠가 없습니다."
"Dynamic Block Default Content for All Store Views","Dynamic Block Default Content for All Store Views"
"Store View Specific Content","특정 스토어뷰를 위한 콘텐츠"
"Use Default","기본값 사용"
"Related Promotions","관련된 프로모션"
"ID","ID"
"Rule","규칙"
"Start Date","시작 날짜"
"End Date","종료 날짜"
"Status","상태"
"Dynamic Block Properties","Dynamic Block Properties"
"Dynamic Block Name","Dynamic Block Name"
"Active","활성화"
"Inactive","비활성화"
"Applies To","에 적용 됩니다."
"Any Dynamic Block Type","Any Dynamic Block Type"
"Specified Dynamic Block Types","Specified Dynamic Block Types"
"Specify Types","특정 타입"
"Dynamic Block Information","Dynamic Block Information"
"Dynamic Block","Dynamic Block"
"Dynamic Block Type","Dynamic Block Type"
"Are you sure you want to delete these dynamic blocks?","Are you sure you want to delete these dynamic blocks?"
"Related Dynamic Blocks","Related Dynamic Blocks"
"Position","기본"
"This rule no longer exists.","이 규칙은 더이상 존재하지 않습니다."
"You deleted the dynamic block.","You deleted the dynamic block."
"Something went wrong while deleting dynamic block data. Please review the action log and try again.","Something went wrong while deleting dynamic block data. Please review the action log and try again."
"We cannot find a dynamic block to delete.","We cannot find a dynamic block to delete."
"This dynamic block no longer exists.","This dynamic block no longer exists."
"Edit Dynamic Block","Edit Dynamic Block"
"Please select a dynamic block(s).","Please select a dynamic block(s)."
"You deleted %1 record(s).","%1 레코드를 삭제했습니다."
"Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.","Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again."
"This dynamic block does not exist.","This dynamic block does not exist."
"You saved the dynamic block.","You saved the dynamic block."
"We cannot save the dynamic block.","We cannot save the dynamic block."
"Invalid Request","Invalid Request"
"Please enter a name.","이름을 입력해 주십시오."
"Content includes restricted HTML elements. %1","Content includes restricted HTML elements. %1"
"Make sure that dynamic blocks rotator does not reference the dynamic block itself.","Make sure that dynamic blocks rotator does not reference the dynamic block itself."
"-- None --","-- 없음 --"
"Error","에러"
"Invalid content","Invalid content"
"Content Area","콘텐츠"
"Footer","꼬리말"
"Header","머리말"
"Left Column","왼쪽컬럼"
"Right Column","오른쪽 칼럼"
"Manage Dynamic Blocks","Manage Dynamic Blocks"
"Dynamic Blocks Rotator","Dynamic Blocks Rotator"
"Displays Specified or Promotion Dynamic Blocks","Displays Specified or Promotion Dynamic Blocks"
"Dynamic Blocks to Display","Dynamic Blocks to Display"
"Specified Dynamic Blocks","Specified Dynamic Blocks"
"Cart Price Rule Related","Cart Price Rule Related"
"Catalog Price Rule Related","Catalog Price Rule Related"
"Restrict by Dynamic Block Types","Restrict by Dynamic Block Types"
"Rotation Mode","로테이션 모드"
"Display all instead of rotating","Display all instead of rotating"
"One at the time, Random","한번에 하나, 랜덤"
"One at the time, Series","한번에 하나, 시리즈"
"One at the time, Shuffle","한번에 하나, 섞어서"
"Specify Dynamic Blocks","Specify Dynamic Blocks"
"Dynamic Block Template","Dynamic Block Template"
"Dynamic Block Inline Template","Dynamic Block Inline Template"
"Name","Name"
"Status Label","Status Label"
"General Information","General Information"
"Back","Back"
"Enable Dynamic Block","Enable Dynamic Block"
"Use Default Value","Use Default Value"
"Cart price rules allows you to setup promotions for items that are in the shopping cart.","Cart price rules allows you to setup promotions for items that are in the shopping cart."
"Add Cart Price Rules","Add Cart Price Rules"
"Related Catalog Price Rule","Related Catalog Price Rule"
"Catalog price rules allows you to setup promotions for an items in catalog.","Catalog price rules allows you to setup promotions for an items in catalog."
"Cancel","Cancel"
"Add Selected","Add Selected"
"Visibility","가시성"
