"Banners","Διαφημίσεις"
"Add Banner","Προσθήκη Banner"
"Save Banner","Αποθήκευση Banner"
"Delete Banner","Διαγραφή Banner"
"Save and Continue Edit","Αποθήκευση και συνεχίση επεξεργασίας"
"New Banner","Νέo Banner"
"Content","Περιεχόμενο"
"Default Content","Προεπιλεγμένο περιεχόμενο"
"No Default Content","Δεν υπάρχει προεπιλεγμένο περιεχόμενο"
"Banner Default Content for All Store Views","Προεπιλεγμένο Περιεχόμενο Banner για όλες τις Προβολές Καταστημάτων"
"Store View Specific Content","Συγκεκριμένο Περιεχόμενο για την Προβολή Καταστήματος"
"Use Default","Χρήση Προεπιλογής"
"Related Promotions","Σχετιζόμενες Προσφορές"
"ID","ID"
"Rule","Κανόνας"
"Start Date","Ημερομηνία έναρξης"
"End Date","Ημερομηνία λήξης"
"Status","Κατάσταση"
"Banner Properties","Ιδιότητες Banner"
"Banner Name","Όνομα Banner"
"Active","Ενεργό"
"Inactive","Ανενεργό"
"Applies To","Ισχύει Για"
"Any Banner Type","Οποιοδήποτε Tύπο Banner"
"Specified Banner Types","Καθορισμένοι Τύποι Banner"
"Specify Types","Καθορίστε Tύπους"
"Banner Information","Πληροφορίες Banner"
"Banner","Διαφήμιση"
"Banner Type","Τύπος Banner"
"Visibility","Ορατότητα"
"Delete","Διαγραφή"
"Are you sure you want to delete these banners?","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτά τα banners;"
"Related Banners","Σχετικά Banner"
"Position","Θέσης"
"This rule no longer exists.","Ο κανόνας αυτός δεν υπάρχει πια."
"This banner does not exist.","To Banner αυτό δεν υπάρχει πια."
"You deleted the banner.","Διαγράψατε το banner."
"Something went wrong while deleting banner data. Please review the action log and try again.","Κάτι πήγε στραβά κατά τη διαγραφή δεδομένων των banner. Παρακαλώ εξετάστε το αρχείο καταγραφής και προσπαθήστε ξανά."
"We cannot find a banner to delete.","Δεν μπορούμε να βρούμε κάποιο Banner για διαγραφή."
"This banner no longer exists.","Αυτό το Banner δεν υπάρχει πια."
"Edit Banner","Επεξεργασία Banner"
"Please select a banner(s).","Παρακαλώ επιλέξτε ένα banner(s)."
"You deleted %1 record(s).","Διαγράψατε %1 εγγραφή(ες)."
"Something went wrong while mass-deleting banners. Please review the action log and try again.","Κάτι πήγε στραβά κατά την μάζική-διαγραφή banners. Παρακαλώ εξετάστε το αρχείο καταγραφής και προσπαθήστε ξανά."
"You saved the banner.","Αποθηκεύσατε το banner."
"We cannot save the banner.","Δεν μπορούμε να αποθηκεύσουμε το banner."
"Please enter a name.","Παρακαλώ εισάγετε ένα όνομα."
"Please specify default content for at least one store view.","Παρακαλώ προσδιορίσετε το προεπιλεγμένο περιεχόμενο για μια τουλάχιστον προβολή καταστήματος."
"-- None --","--Κανένα--"
"Error","Σφάλμα"
"Related Cart Price Rules","Σχετικοί Κανόνες Τιμών Καλαθιού"
"Related Catalog Price Rules","Σχετικοί Κανόνες Τιμών Καταλόγου"
"Content Area","Περιοχή Περιεχομένου"
"Footer","Υποσέλιδο"
"Header","Κεφαλίδα"
"Left Column","Αριστερή Στήλη"
"Right Column","Δεξιά Στήλη"
"Manage Banners","Διαχείριση Banner"
"Banner Rotator","Περιστροφή Banner"
"Displays Specified or Promotion Banners","Προβάλλει Συγκεκριμένα ή Προωθητικά Banner"
"Banners to Display","Banners για προβολή"
"Specified Banners","Καθορισμένα Banner"
"Shopping Cart Promotions Related","Σχετιζόμενα με Προωθητικές Ενέργειες του Καλαθιού Αγορών"
"Catalog Promotions Related","Σχετιζόμενες με Προωθήσεις Καταλόγου"
"Restrict by Banner Types","Περιορισμός ανά τύπο Banner"
"Rotation Mode","Λειτουργία Περιστροφής"
"Display all instead of rotating","Εμφάνιση όλων αντί για περιστροφή"
"One at the time, Random","Ένα κάθε φορά, Τυχαίο"
"One at the time, Series","Ένα κάθε φορά, Σειρά"
"One at the time, Shuffle","Ένα κάθε φορά, Ανάμικτα"
"Specify Banners","Καθορισμός Banner"
"Banner Block Template","Πρότυπο Μπλοκ για Banner"
"Banner Inline Template","Πρότυπο Inline για Banner"
"Dynamic Blocks","Δυναμικά Τμήματα"
"Add Dynamic Block","Προσθήκη Δυναμικού Τμήματος"
"Save Dynamic Block","Αποθήκευση Δυναμικού Τμήματος"
"Delete Dynamic Block","Διαγραφή Δυναμικού Τμήματος"
"New Dynamic Block","Νέο Δυναμικό Τμήμα"
"Are you sure you want to do this?","Είστε βέβαιοι ότι θέλετε να το κάνετε αυτό;"
"Reset","Επαναφορά"
"Save","Αποθήκευση"
"Dynamic Block Default Content for All Store Views","Προεπιλεγμένο Περιεχόμενο Δυναμικού Τμήματος για όλες τις Προβολές Καταστημάτων"
"Dynamic Block Properties","Ιδιότητες Δυναμικού Τμήματος"
"Dynamic Block Name","Όνομα Δυναμικού Τμήματος"
"Any Dynamic Block Type","Κάθε Τύπος Δυναμικού Τμήματος"
"Specified Dynamic Block Types","Καθορισμένοι Τύποι Δυναμικού Τμήματος"
"Dynamic Block Information","Πληροφορίες Δυναμικού Τμήματος"
"Dynamic Block","Δυναμικό Τμήμα"
"Dynamic Block Type","Τύπος Δυναμικού Τμήματος"
"Are you sure you want to delete these dynamic blocks?","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτά τα δυναμικά τμήματα;"
"Related Dynamic Blocks","Σχετικά Δυναμικά Τμήματα"
"You deleted the dynamic block.","Διαγράψατε το δυναμικό τμήμα."
"Something went wrong while deleting dynamic block data. Please review the action log and try again.","Κάτι πήγε στραβά κατά τη διαγραφή δεδομένων των δυναμικών τμημάτων. Παρακαλώ εξετάστε το αρχείο καταγραφής και προσπαθήστε ξανά."
"We cannot find a dynamic block to delete.","Δεν βρέθηκε ένα δυναμικό τμήμα για διαγραφή."
"This dynamic block no longer exists.","Αυτό το δυναμικό τμήμα δεν υπάρχει πλέον."
"Edit Dynamic Block","Διόρθωση Δυναμικού Τμήματος"
"Please select a dynamic block(s).","Παρακαλώ επιλέξτε δυναμικό τμήμα(τα)."
"Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.","Κάτι πήγε στραβά κατά την μάζική-διαγραφή δυναμικών τμημάτων. Παρακαλώ εξετάστε το αρχείο καταγραφής και προσπαθήστε ξανά."
"This dynamic block does not exist.","Αυτό το δυναμικό τμήμα δεν υπάρχει."
"You saved the dynamic block.","Αποθηκεύσατε το δυναμικό τμήμα."
"We cannot save the dynamic block.","Δεν μπορούμε να σώσουμε το δυναμικό τμήμα."
"Manage Dynamic Blocks","Διαχείριση Δυναμικών Τμημάτων"
"Dynamic Blocks Rotator","Περιστροφέας Δυναμικών Τμημάτων"
"Displays Specified or Promotion Dynamic Blocks","Προβάλλει Συγκεκριμένα ή Προωθητικά Δυναμικά Τμήματα"
"Dynamic Blocks to Display","Δυναμικά Τμήματα προς Προβολή"
"Specified Dynamic Blocks","Καθορισμένα Δυναμικά Τμήματα"
"Restrict by Dynamic Block Types","Περιορισμός ανά Τύπους Δυναμικών Τμημάτων"
"Specify Dynamic Blocks","Καθορίστε Δυναμικά Τμήματα"
"Dynamic Block Template","Δυναμικό Τμήμα για Banner"
"Dynamic Block Inline Template","Εσωτερικό Πρότυπο Δυναμικού Τμήματος"
"Name","Όνομα"
"Status Label","Ετικέτα Κατάστασης"
"General Information","Γενικές Πληροφορίες"
"Back","Πίσω"
"Enable Dynamic Block","Ενεργοποίηση Δυναμικού Τμήματος"
"Use Default Value","Χρησιμοποιήστε την Προεπιλεγμένη Τιμή"
"Cart price rules allows you to setup promotions for items that are in the shopping cart.","Κανόνες τιμών καλαθιού σας επιτρέπουν να διαμορφώσετε προωθητικές ενέργειες για στοιχεία που είναι στο καλάθι αγορών."
"Add Cart Price Rules","Προσθήκη Κανόνα Τιμών Καλαθιού"
"Related Catalog Price Rule","Σχετικός Κανόνας Τιμών Καταλόγου"
"Catalog price rules allows you to setup promotions for an items in catalog.","Κανόνες τιμών καταλόγου σας επιτρέπουν να διαμορφώσετε προωθητικές ενέργειες για στοιχεία που είναι στο κατάλογο."
"Cancel","Άκυρο"
"Add Selected","Προσθήκη επιλεγμένων"
"Remove","Διαγραφή"
"Make sure that dynamic blocks rotator does not reference the dynamic block itself.","Βεβαιωθείτε ότι το περιστροφέας δυναμικού τμήματος δεν παραπέμπει στο ίδιο το δυναμικό τμήμα."
"Cart Price Rule Related","Σχετικοί Κανόνες Τιμών Καλαθιού"
"Catalog Price Rule Related","Σχετικοί Κανόνες Τιμών Καταλόγου"
