"Sign Out","Log ud"
"Sign In","Log ind"
"You are subscribed to our newsletter.","Du er tilmeldt vores nyhedsbrev."
"You aren't subscribed to our newsletter.","Du er ikke tilmeldt vores nyhedsbrev."
"You have not set a default shipping address.","Du har ikke angivet en standard forsendelsesadresse."
"You have not set a default billing address.","Du har ikke angivet en standard faktureringsadresse."
"Address Book","Adresser"
"Edit Address","Rediger adresse"
"Add New Address","Tilføj ny adresse"
"region","region"
"Create Order","Opret ordre"
"Save Customer","Gem kunde"
"Delete Customer","Slet kunde"
"Reset Password","Nulstil adgangskode"
"Are you sure you want to revoke the customer's tokens?","Are you sure you want to revoke the customer's tokens?"
"Force Sign-In","Force Sign-In"
"New Customer","Ny kunde"
"Save and Continue Edit","Gem og fortsæt redigering"
"Back","Tilbage"
"Please select","Vælg venligst"
"Reset","Nulstil"
"ID","ID"
"Product","Produkt"
"SKU","Varenummer"
"Quantity","Antal"
"Price","Pris"
"Total","I alt"
"Action","Handling"
"Configure","Konfigurer"
"Delete","Slet"
"Shopping Cart from %1","Indkøbskurv fra %1"
"Newsletter","Nyhedsbrev"
"Newsletter Information","Oplysnigner om nyhedsbrevet"
"Subscribed to Newsletter","Tilmeldt nyhedsbrev"
"Last Date Subscribed","Last Date Subscribed"
"Last Date Unsubscribed","Last Date Unsubscribed"
"No Newsletter Found","Intet nyhedsbrev fundet"
"Start date","Startdato"
"End Date","Slutdato"
"Receive Date","Modtag dato"
"Subject","Emne"
"Status","Status"
"Sent","Sendt"
"Cancel","Annuller"
"Not Sent","Ikke sendt"
"Sending","Sender"
"Paused","På pause"
"View","Vis"
"Unknown","Ukendt"
"Order","Bestil"
"Purchased","Købt"
"Bill-to Name","Fakturanavn"
"Ship-to Name","Leveringsnavn"
"Order Total","Ordretotal"
"Purchase Point","Purchase Point"
"Customer View","Kunde visning"
"There are no items in customer's shopping cart.","Der er ingen varer i kundens indkøbskurv."
"Qty","Antal"
"Confirmed","Bekræftet"
"Confirmation Required","Bekræftelse påkrævet"
"Confirmation Not Required","Confirmation Not Required"
"Indeterminate","Indeterminate"
"The customer does not have default billing address.","The customer does not have default billing address."
"Offline","Offline"
"Online","Online"
"Never","Aldrig"
"Unlocked","Låst op"
"Locked","Låst"
"Deleted Stores","Deleted Stores"
"Add Locale","Add Locale"
"Add Date","Tilføj dato"
"Days in Wish List","Days in Wish List"
"Unlock","Lås op"
"No","Nej"
"Yes","Ja"
"Delete File","Slet fil"
"Download"," Download"
