"Sign Out","Вийти"
"Sign In","Увійти"
"You are subscribed to our newsletter.","Ви підписалися на нашу розсилку новин."
"You aren't subscribed to our newsletter.","У Вас немає підписки на розсилку новин."
"You have not set a default shipping address.","Ви не налаштували адресу доставки за промовчанням."
"You have not set a default billing address.","Ви не налаштували адресу виставлення рахунка за промовчанням."
"Address Book","Адресна книга"
"Edit Address","Редагувати адресу"
"Add New Address","Додати нову адресу"
"Customer not logged in","Customer not logged in"
"region","регіон"
"Create Order","Створити Замовлення"
"Save Customer","Зберегти покупця"
"Delete Customer","Видалити покупця"
"Reset Password","Скинути пароль"
"Are you sure you want to revoke the customer's tokens?","Are you sure you want to revoke the customer's tokens?"
"Force Sign-In","Примусовий вхід"
"New Customer","Новий покупець"
"Save and Continue Edit","Зберегти та Продовжити Редагування"
"Cancel","Скасувати"
"Delete","Видалити"
"Save","Зберегти"
"Back","Назад"
"Please select","Будь ласка, виберіть"
"Reset","Очистити"
"ID","Ідентифікатор"
"Product","Продукт"
"SKU","Артикул"
"Quantity","Кількість"
"Price","Ціна"
"Total","Загалом"
"Action","Дія"
"Configure","Налаштувати"
"Shopping Cart from %1","Shopping Cart from %1"
"Newsletter","Розсилка новин"
"Newsletter Information","Розсилка інформації"
"Subscribed to Newsletter","Підписка на розсилку"
"Subscribed on Store View","Subscribed on Store View"
"Last Date Subscribed","Дата останньої підписки"
"Last Date Unsubscribed","Last Date Unsubscribed"
"No Newsletter Found","No Newsletter Found"
"Start date","Start date"
"End Date","Дата Закінчення"
"Receive Date","Receive Date"
"Subject","Тема"
"Store View","Вид Магазину"
"Status","Статус"
"Sent","Надіслано"
"Not Sent","Не надіслано"
"Sending","Sending"
"Paused","Paused"
"View","View"
"Unknown","Unknown"
"Order #","Order #"
"Purchased","Purchased"
"Bill-to Name","Bill-to Name"
"Ship-to Name","Ім'я отримувача"
"Order Total","Вартість замовлення"
"Purchase Point","Purchase Point"
"Customer View","Очима Покупця"
"There are no items in customer's shopping cart.","There are no items in customer's shopping cart."
"Qty","Кіл-ть"
"Confirmed","Confirmed"
"Confirmation Required","Confirmation Required"
"Confirmation Not Required","Confirmation Not Required"
"Indeterminate","Indeterminate"
"The customer does not have default billing address.","Покупець не має адреси виставлення рахунка за промовчанням."
"Offline","Не в мережі"
"Online","Онлайн"
"Never","Ніколи"
"Unlocked","Unlocked"
"Locked","Locked"
"Deleted Stores","Deleted Stores"
"Add Locale","Add Locale"
"Add Date","Add Date"
"Days in Wish List","Днів у Списку Бажань"
"Unlock","Unlock"
"No","Ні"
"Yes","Так"
