"Credit Memos","Gutschriften"
"Orders","Bestellungen"
"Invoices","Rechnungen"
"We can't get the order instance right now.","Postleitzahl"
"Create New Order","Neue Bestellung erstellen"
"Save Order Address","Bestelladresse speichern"
"Shipping","Versand"
"Billing","Rechnungstellung"
"Edit Order %1 %2 Address","Bestellung %1 %2 Adresse bearbeiten"
"Order Address Information","Adressinformationen"
"Please correct the parent block for this block.","Bitte korrigieren Sie den übergeordneten Block für diesen Block."
"Submit Comment","Kommentar erstellen"
"Submit Order","Zur Kasse"
"Are you sure you want to cancel this order?","Sind Sie sicher, dass Sie diese Bestellung stornieren möchten?"
"Cancel","Stornieren"
"Billing Address","Rechnungsadresse"
"Payment Method","Zahlungsart"
"Order Comment","Kommentar"
"Coupons","Gutscheine"
"Please select a customer","Bitte wählen Sie einen Kunden"
"Create New Customer","Neuen Kunden erstellen"
"Account Information","Kontoinformation"
"From","Von"
"To","Bis"
"Message","Nachricht"
"Edit Order #%1","Bestellung #%1 bearbeiten"
"Create New Order for %1 in %2","Neue Bestellung für %1 in %2 erstellen"
"Create New Order in %1","Neue Bestellung in %1 erstellen"
"Create New Order for %1","Neue Bestellung für %1 erstellen"
"Create New Order for New Customer","Neue Bestellung für neuen Kunden erstellen"
"Items Ordered","Bestellte Artikel"
"This product is disabled.","Dieser Artikel ist deaktiviert."
"Buy %1 for price %2","Kaufe %1 für den Preis %2"
"Item ordered qty","Bestellte Stückzahl"
"%1 with %2 discount each","%1 mit jeweils %2 Rabatt"
"%1 for %2","%1 für %2"
"* - Enter custom price including tax","* - Bitte individuellen Preis inklusive Steuern eingeben"
"* - Enter custom price excluding tax","* - Bitte individuellen Preis ohne Steuern eingeben"
"Configure","Konfigurieren"
"This product does not have any configurable options","Dieser Artikel besitzt keine konfigurierbaren Optionen"
"Newsletter Subscription","Newsletter Abonnement"
"Please select products","Bitte Artikel auswählen"
"Add Selected Product(s) to Order","Gewählte Artikel der Bestellung hinzufügen"
"ID","Id"
"Product","Produkt"
"SKU","Artikelnummer"
"Price","Preis"
"Select","Auswählen"
"Quantity","Menge"
"Shipping Address","Lieferadresse"
"Shipping Method","Versandart"
"Update Changes","Änderungen anwenden"
"Shopping Cart","Warenkorb"
"Are you sure you want to delete all items from shopping cart?","Sind Sie sicher, dass alle Artikel aus Ihrem Warenkorb entfernt werden sollen?"
"Clear Shopping Cart","Warenkorb leeren"
"Products in Comparison List","Artikel in Vergleichsliste"
"Recently Compared Products","Zuletzt verglichene Artikel"
"Recently Viewed Products","Kürzlich angesehene Produkte"
"Last Ordered Items","Zuletzt bestellte Artikel"
"Recently Viewed","Kürzlich angesehen"
"Wish List","Wunschliste"
"Please select a store","Bitte einen Store auswählen"
"Order Totals","Bestellsummen"
"Shipping Incl. Tax (%1)","Versand inkl. MwSt. (%1)"
"Shipping Excl. Tax (%1)","Versand zzgl. Steuer (%1)"
"New Credit Memo for Invoice #%1","Neue Rechnungskorrektur für Rechnung Nr. %1"
"New Credit Memo for Order #%1","Neue Rechnungskorrektur für Bestellung Nr. %1"
"Refund Shipping (Incl. Tax)","Versandkosten erstatten (inkl. MwSt.)"
"Refund Shipping (Excl. Tax)","Versandkosten erstatten (Exkl. Steuern)"
"Refund Shipping","Versandkosten erstatten"
"Update Qty's","Menge aktualisieren"
"Update Totals","Gesamtsumme aktualisieren"
"Refund","Erstatten"
"Refund Offline","Erstattung (offline)"
"Paid Amount","Bezahlter Betrag"
"Refund Amount","Erstattungsbetrag"
"Shipping Amount","Versandbetrag"
"Shipping Refund","Versanderstattung"
"Order Grand Total","Bestellung Gesamtbetrag"
"Adjustment Refund","Berichtigungserstattung"
"Adjustment Fee","Anpassungsgebühr"
"Send Email","E-Mail Senden"
"Are you sure you want to send a credit memo email to customer?","Sind Sie sicher, dass Sie die Rechnungskorrektur per E-Mail an den Kunden senden wollen?"
"Void","Aufheben"
"Print","Drucken"
"The credit memo email was sent.","Die Rechnungskorrektur-E-Mail wurde versandt."
