"Subscription status","Előfizetés állapota"
"Sorry, there has been an error processing your request. Please try again later.","Sajnáljuk, de hiba történt a kérés feldolgozása során! Kérjük, próbálja meg később újra!"
"Time value has an unsupported format","Az idő nem támogatott formátumban van megadva"
"Cron settings can't be saved","Nem lehet menteni a cron beállításokat"
"There was an error save new configuration value.","Hiba történt az új konfigurációs érték mentése során!"
"Please select a vertical.","Kérjük, válasszon egy függőlegest!"
"--Please Select--","--Kérem, válasszon--"
"Command was not found.","A parancs nem található!"
"Input data must be string or convertible into string.","A megadott adat nem karakterlánc, vagy nem konvertálható azzá."
"Input data must be non-empty string.","A megadott adatnak nem üres karakterláncnak kell lennie."
"Not valid cipher method.","Nem érvényes titkosító eljárás."
"Encryption key can't be empty.","Titkosító kulcs nem lehet üres."
"Source ""%1"" is not exist","""%1"" forrás nem létezik"
"These arguments can't be empty ""%1""","Ezek az értékek nem lehetnek üresek ""%1"""
"Cannot find predefined integration user!","Nem található az előre definiált felhasználóintegráció!"
"File is not ready yet.","A fájl még nincs kész."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later."
"Failed to synchronize data to the Magento Business Intelligence service. ","Failed to synchronize data to the Magento Business Intelligence service. "
"<a href=""%1"">Retry Synchronization</a>","<a href=""%1"">Újraszinkronizálás</a>"
"TestMessage","Tesztüzenet"
"Apps and Games","Alkalmazások és játékok"
"Athletic/Sporting Goods","Sportszerek"
"Art and Design","Művészet és dizájn"
"Advanced Reporting","Fejlett jelentéskészítés"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data."
"Go to Advanced Reporting","Ugrás a fejlett jelentéskészítésre"
"Analytics","Analitika"
"API","API"
"Configuration","Konfiguráció"
"Business Intelligence","Üzleti intelligencia"
"BI Essentials","BI Essentials"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>."
"Advanced Reporting Service","Fejlett jelentési szolgáltatás"
"Time of day to send data","Napon belüli időpont az adatok küldésére"
"Industry","Ipar"
"In order to personalize your Advanced Reporting experience, please select your industry.","Válassza ki az iparágat a fejlett jelentéskészítő testreszabásához."
"<strong>Get more insights from Magento Business Intelligence</strong>","<strong>További részletek a Magento Business Intelligence-ről</strong>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers."
"Auto Parts","Autó alkatrészek"
"Baby/Children’s Apparel, Gear and Toys","Baba/gyermek ruházat, felszerelés és játékok"
"Beauty and Cosmetics","Szépségápolás és kozmetika"
"Books, Music and Magazines","Könyvek, a zene és a magazinok"
"Crafts and Stationery","Kézművesség és irodaszerek"
"Consumer Electronics","Szórakoztató elektronika"
"Deal Site","Akció oldal"
"Fashion Apparel and Accessories","Ruházati cikkek és kiegészítők"
"Food, Beverage and Grocery","Élelmiszer és ital"
"Home Goods and Furniture","Lakberendezés és bútorok"
"Home Improvement","Lakásfelújítás"
"Jewelry and Watches","Ékszerek és órák"
"Mass Merchant","Tömegtermék kereskedés"
"Office Supplies","Irodai kellékek"
"Outdoor and Camping Gear","Kültéri és kemping felszerelés"
"Pet Goods","Kisállat termékek"
"Pharma and Medical Devices","Gyógyszeripari és orvostechnikai eszközök"
"Technology B2B","Technológia B2B"
"Other","Egyéb"
"The time value is using an unsupported format. Enter a supported format and try again.","Az idő nem támogatott formátumban lett megadva. Kérem adjon meg megfelelő formátumot, és próbálkozzon újra."
"Please select an industry.","Válassza ki az iparágat."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","Az érték érvénytelen. Adja meg az adatokat karakterláncként vagy úgy hogy karakterlánccá lehessen alakítani, majd próbálkozzon újra."
"The data is invalid. Enter the data as a string and try again.","Az érték érvénytelen. Adja meg az értéket karakterláncként, és próbálkozzon újra."
"The data is invalid. Use a valid cipher method and try again.","Az adat érvénytelen. Használjon érvényes titkosító eljárást és próbálja újra."
"Enter the encryption key and try again.","Adja meg a titkosítási kulcsot, és próbálkozzon újra."
"The ""%1"" source doesn't exist.","A ""%1"" forrás nem létezik."
"Retry Synchronization","Újraszinkronizálás"
